X,Y
146.000,280.000
146.460,280.060
147.006,280.450
147.633,281.155
148.339,282.158
149.120,283.444
149.972,284.995
150.893,286.797
151.878,288.832
152.924,291.086
154.027,293.541
155.185,296.181
156.393,298.991
157.649,301.954
158.948,305.055
160.287,308.276
161.663,311.602
163.073,315.017
164.512,318.504
165.977,322.048
167.465,325.633
168.973,329.241
170.496,332.858
172.032,336.466
173.576,340.051
175.126,343.595
176.678,347.083
178.228,350.498
179.774,353.829
181.313,357.076
182.845,360.242
184.368,363.328
185.881,366.336
187.381,369.269
188.869,372.130
190.341,374.919
191.798,377.639
193.237,380.293
194.657,382.882
196.056,385.408
197.434,387.875
198.789,390.283
200.119,392.635
201.422,394.934
202.699,397.180
203.946,399.377
205.163,401.527
206.348,403.632
207.500,405.693
208.617,407.713
209.698,409.695
210.742,411.640
211.747,413.550
212.711,415.428
213.634,417.275
214.516,419.096
215.357,420.894
216.159,422.673
216.924,424.436
217.651,426.189
218.344,427.934
219.002,429.676
219.627,431.419
220.220,433.166
220.782,434.922
221.315,436.690
221.820,438.475
222.297,440.279
222.748,442.108
223.175,443.966
223.578,445.855
223.958,447.780
224.317,449.744
224.651,451.736
224.954,453.746
225.224,455.760
225.456,457.765
225.644,459.750
225.785,461.701
225.873,463.606
225.905,465.453
225.876,467.229
225.782,468.922
225.617,470.519
225.379,472.007
225.061,473.374
224.659,474.608
224.170,475.695
223.589,476.625
222.918,477.398
222.165,478.022
221.336,478.503
220.438,478.850
219.478,479.070
218.462,479.171
217.397,479.160
216.289,479.045
215.146,478.834
213.970,478.536
212.764,478.160
211.530,477.715
210.271,477.212
208.988,476.661
207.683,476.069
206.359,475.448
205.018,474.807
203.663,474.155
202.294,473.502
200.916,472.857
199.528,472.231
198.135,471.632
196.735,471.059
195.328,470.506
193.910,469.964
192.481,469.428
191.039,468.888
189.581,468.338
188.107,467.770
186.615,467.178
185.103,466.553
183.568,465.888
182.011,465.176
180.428,464.409
178.818,463.580
177.179,462.682
175.510,461.707
173.811,460.653
172.087,459.527
170.342,458.336
168.583,457.088
166.813,455.790
165.038,454.450
163.262,453.075
161.491,451.673
159.729,450.252
157.983,448.819
156.255,447.382
154.552,445.947
152.879,444.524
151.240,443.118
149.640,441.739
148.085,440.393
146.579,439.088
145.127,437.831
143.735,436.631
142.407,435.493
141.148,434.418
139.961,433.395
138.850,432.412
137.820,431.460
136.873,430.526
136.015,429.600
135.248,428.671
134.577,427.729
134.005,426.761
133.536,425.757
133.175,424.707
132.923,423.599
132.773,422.431
132.695,421.216
132.659,419.966
132.633,418.694
132.589,417.412
132.494,416.133
132.320,414.870
132.035,413.636
131.609,412.443
131.011,411.304
130.212,410.232
129.185,409.237
127.942,408.315
126.514,407.454
124.930,406.641
123.222,405.866
121.419,405.114
119.551,404.375
117.650,403.636
115.744,402.885
113.865,402.110
112.043,401.299
110.308,400.439
108.690,399.519
107.220,398.527
105.927,397.450
104.843,396.276
103.997,394.994
103.412,393.594
103.080,392.081
102.986,390.465
103.115,388.754
103.450,386.955
103.978,385.079
104.683,383.132
105.548,381.125
106.560,379.065
107.702,376.960
108.960,374.820
110.318,372.653
111.760,370.467
113.273,368.271
114.839,366.074
116.444,363.883
118.072,361.708
119.709,359.557
121.339,357.439
122.946,355.361
124.515,353.334
126.037,351.358
127.509,349.428
128.930,347.536
130.299,345.676
131.614,343.840
132.873,342.021
134.076,340.212
135.221,338.406
136.307,336.595
137.333,334.773
138.296,332.931
139.197,331.064
140.032,329.164
140.802,327.223
141.504,325.234
142.138,323.191
142.701,321.086
143.194,318.911
143.613,316.661
143.958,314.327
144.230,311.906
144.433,309.414
144.578,306.877
144.674,304.318
144.729,301.763
144.754,299.235
144.757,296.760
144.748,294.361
144.736,292.064
144.729,289.893
144.738,287.872
144.772,286.026
144.839,284.379
144.948,282.957
145.110,281.784
145.333,280.883
145.627,280.280
146.000,280.000
