X	Y
48.473	26.954
48.484	26.843
48.493	26.737
48.501	26.636
48.507	26.539
48.513	26.445
48.519	26.355
48.524	26.267
48.529	26.181
48.535	26.097
48.542	26.013
48.549	25.930
48.559	25.848
48.570	25.764
48.583	25.680
48.599	25.594
48.618	25.507
48.639	25.417
48.664	25.324
48.691	25.230
48.722	25.134
48.755	25.036
48.791	24.936
48.829	24.835
48.870	24.733
48.914	24.630
48.959	24.526
49.007	24.422
49.057	24.318
49.109	24.213
49.163	24.109
49.219	24.004
49.276	23.901
49.336	23.797
49.396	23.695
49.459	23.594
49.522	23.494
49.588	23.395
49.654	23.298
49.722	23.201
49.792	23.105
49.863	23.010
49.935	22.915
50.010	22.820
50.086	22.726
50.163	22.631
50.243	22.536
50.324	22.441
50.407	22.346
50.492	22.249
50.579	22.152
50.668	22.054
50.759	21.954
50.853	21.854
50.948	21.751
51.045	21.647
51.145	21.541
51.247	21.433
51.351	21.323
51.458	21.211
51.567	21.096
51.678	20.980
51.791	20.861
51.906	20.741
52.023	20.619
52.141	20.496
52.262	20.371
52.384	20.246
52.507	20.119
52.632	19.992
52.758	19.864
52.886	19.736
53.014	19.608
53.143	19.479
53.274	19.351
53.405	19.223
53.536	19.095
53.669	18.968
53.801	18.842
53.935	18.716
54.068	18.592
54.202	18.469
54.335	18.347
54.469	18.227
54.603	18.109
54.736	17.992
54.869	17.878
55.002	17.766
55.134	17.656
55.266	17.549
55.397	17.445
55.527	17.343
55.656	17.244
55.786	17.147
55.914	17.053
56.043	16.960
56.171	16.870
56.299	16.781
56.427	16.695
56.555	16.609
56.683	16.526
56.811	16.443
56.940	16.362
57.069	16.281
57.198	16.202
57.327	16.123
57.458	16.045
57.589	15.968
57.720	15.891
57.853	15.814
57.986	15.737
58.121	15.660
58.256	15.583
58.393	15.506
58.531	15.428
58.670	15.349
58.810	15.270
58.952	15.190
59.096	15.109
59.241	15.028
59.387	14.945
59.534	14.863
59.683	14.780
59.832	14.697
59.982	14.615
60.133	14.532
60.284	14.450
60.435	14.369
60.587	14.289
60.740	14.209
60.892	14.131
61.044	14.054
61.196	13.978
61.348	13.904
61.499	13.832
61.650	13.762
61.800	13.694
61.950	13.629
62.098	13.565
62.246	13.505
62.392	13.448
62.537	13.393
62.681	13.342
62.824	13.294
62.965	13.249
63.104	13.208
63.241	13.172
63.377	13.139
63.510	13.109
63.641	13.084
63.771	13.063
63.898	13.045
64.023	13.031
64.146	13.021
64.267	13.014
64.385	13.011
64.501	13.011
64.615	13.015
64.726	13.022
64.834	13.032
64.940	13.046
65.044	13.063
65.144	13.083
65.242	13.106
65.337	13.132
65.430	13.162
65.519	13.194
65.606	13.230
65.690	13.268
65.771	13.309
65.851	13.354
65.928	13.402
66.004	13.454
66.079	13.508
66.152	13.567
66.224	13.629
66.296	13.695
66.367	13.764
66.438	13.837
66.509	13.915
66.580	13.996
66.652	14.082
66.725	14.171
66.798	14.265
66.873	14.364
66.948	14.466
67.024	14.572
67.099	14.682
67.174	14.795
67.248	14.910
67.321	15.029
67.391	15.149
67.459	15.272
67.524	15.397
67.586	15.522
67.644	15.649
67.697	15.777
67.746	15.906
67.789	16.034
67.827	16.163
67.858	16.291
67.883	16.418
67.901	16.545
67.911	16.670
67.912	16.793
67.906	16.915
67.890	17.035
67.865	17.152
67.832	17.267
67.790	17.380
67.742	17.491
67.688	17.601
67.627	17.709
67.563	17.816
67.494	17.921
67.423	18.026
67.349	18.130
67.273	18.233
67.197	18.337
67.121	18.440
67.046	18.543
66.973	18.646
66.902	18.749
66.834	18.854
66.770	18.959
66.712	19.065
66.658	19.172
66.612	19.281
66.572	19.391
66.540	19.502
66.515	19.615
66.497	19.730
66.485	19.845
66.478	19.962
66.478	20.079
66.482	20.197
66.491	20.316
66.504	20.434
66.520	20.553
66.540	20.672
66.563	20.791
66.588	20.910
66.616	21.028
66.645	21.145
66.675	21.262
66.706	21.378
66.737	21.492
66.769	21.606
66.799	21.718
66.829	21.828
66.858	21.938
66.886	22.046
66.913	22.153
66.938	22.260
66.962	22.367
66.984	22.473
67.005	22.580
67.024	22.688
67.041	22.796
67.057	22.906
67.070	23.017
67.082	23.130
67.091	23.245
67.099	23.362
67.103	23.482
67.106	23.604
67.106	23.730
67.103	23.859
67.098	23.992
67.090	24.129
67.079	24.269
67.065	24.413
67.049	24.560
67.030	24.710
67.009	24.862
66.985	25.016
66.959	25.171
66.930	25.328
66.899	25.485
66.865	25.642
66.830	25.799
66.792	25.955
66.752	26.111
66.710	26.264
66.665	26.417
66.619	26.567
66.571	26.714
66.521	26.858
66.470	26.999
66.416	27.136
66.361	27.269
66.304	27.397
66.246	27.520
66.185	27.637
66.124	27.749
66.061	27.854
65.996	27.953
65.930	28.045
65.862	28.132
65.791	28.212
65.718	28.287
65.642	28.356
65.563	28.420
65.481	28.479
65.395	28.533
65.305	28.582
65.211	28.627
65.112	28.667
65.009	28.703
64.901	28.735
64.788	28.764
64.669	28.789
64.545	28.810
64.414	28.829
64.278	28.844
64.134	28.857
63.985	28.867
63.830	28.875
63.669	28.881
63.502	28.884
63.330	28.886
63.152	28.885
62.969	28.884
62.781	28.880
62.588	28.876
62.391	28.870
62.189	28.863
61.983	28.856
61.772	28.848
61.558	28.840
61.339	28.831
61.117	28.822
60.891	28.813
60.662	28.805
60.430	28.796
60.195	28.789
59.957	28.782
59.716	28.775
59.472	28.770
59.226	28.766
58.978	28.764
58.728	28.763
58.476	28.764
58.222	28.766
57.967	28.771
57.710	28.777
57.453	28.786
57.194	28.798
56.934	28.812
56.673	28.829
56.412	28.849
56.150	28.873
55.888	28.899
55.626	28.929
55.365	28.963
55.103	28.999
54.843	29.038
54.583	29.079
54.325	29.122
54.069	29.167
53.814	29.213
53.562	29.259
53.312	29.306
53.065	29.353
52.821	29.400
52.581	29.445
52.344	29.490
52.111	29.534
51.883	29.576
51.659	29.615
51.440	29.652
51.227	29.686
51.019	29.717
50.816	29.745
50.620	29.768
50.430	29.787
50.247	29.802
50.071	29.811
49.902	29.815
49.740	29.813
49.587	29.805
49.441	29.791
49.304	29.769
49.176	29.741
49.057	29.704
48.947	29.660
48.847	29.607
48.757	29.546
48.676	29.476
48.607	29.396
48.547	29.308
48.496	29.213
48.454	29.110
48.419	29.000
48.392	28.885
48.372	28.765
48.359	28.641
48.350	28.513
48.347	28.382
48.348	28.249
48.353	28.115
48.362	27.979
48.372	27.844
48.385	27.709
48.400	27.576
48.415	27.445
48.431	27.316
48.446	27.191
48.460	27.070
48.473	26.954
