X	Y
24.262	38.407
24.286	38.368
24.320	38.334
24.362	38.305
24.412	38.279
24.469	38.257
24.532	38.238
24.601	38.221
24.673	38.207
24.749	38.194
24.827	38.182
24.908	38.171
24.989	38.160
25.070	38.149
25.150	38.137
25.229	38.124
25.306	38.110
25.382	38.096
25.456	38.080
25.529	38.063
25.600	38.046
25.670	38.028
25.740	38.009
25.808	37.990
25.876	37.971
25.944	37.952
26.011	37.933
26.077	37.913
26.144	37.894
26.210	37.875
26.277	37.857
26.344	37.839
26.411	37.821
26.478	37.804
26.545	37.787
26.613	37.769
26.681	37.752
26.749	37.735
26.817	37.718
26.886	37.700
26.954	37.682
27.023	37.664
27.092	37.645
27.161	37.626
27.231	37.606
27.300	37.586
27.370	37.565
27.440	37.542
27.510	37.520
27.581	37.496
27.652	37.472
27.724	37.446
27.796	37.421
27.868	37.394
27.942	37.367
28.016	37.339
28.090	37.310
28.166	37.281
28.242	37.251
28.320	37.220
28.398	37.189
28.478	37.157
28.558	37.124
28.640	37.091
28.722	37.057
28.806	37.022
28.890	36.987
28.974	36.952
29.058	36.916
29.143	36.880
29.227	36.843
29.311	36.806
29.395	36.769
29.478	36.732
29.560	36.694
29.641	36.656
29.721	36.618
29.799	36.580
29.876	36.542
29.952	36.504
30.025	36.465
30.097	36.427
30.166	36.389
30.233	36.352
30.299	36.314
30.364	36.277
30.427	36.241
30.490	36.205
30.552	36.170
30.614	36.136
30.675	36.102
30.737	36.070
30.800	36.039
30.863	36.009
30.928	35.981
30.993	35.954
31.060	35.929
31.129	35.905
31.200	35.883
31.272	35.862
31.346	35.843
31.421	35.825
31.496	35.808
31.573	35.791
31.650	35.776
31.727	35.761
31.805	35.747
31.882	35.732
31.960	35.719
32.037	35.705
32.114	35.691
32.189	35.676
32.264	35.661
32.338	35.646
32.411	35.630
32.482	35.614
32.552	35.598
32.620	35.583
32.687	35.568
32.753	35.555
32.817	35.543
32.880	35.534
32.941	35.526
33.001	35.521
33.059	35.519
33.115	35.520
33.170	35.525
33.223	35.534
33.274	35.547
33.323	35.564
33.369	35.585
33.413	35.609
33.453	35.637
33.490	35.667
33.524	35.701
33.553	35.737
33.577	35.776
33.597	35.817
33.613	35.860
33.623	35.905
33.629	35.951
33.632	35.997
33.630	36.043
33.625	36.089
33.617	36.134
33.606	36.178
33.593	36.219
33.577	36.258
33.561	36.294
33.546	36.325
33.535	36.350
33.529	36.367
33.530	36.377
33.540	36.377
33.558	36.370
33.584	36.357
33.615	36.340
33.652	36.322
33.694	36.304
33.738	36.288
33.784	36.276
33.830	36.269
33.875	36.266
33.917	36.268
33.954	36.274
33.984	36.286
34.005	36.302
34.016	36.322
34.017	36.347
34.007	36.377
33.988	36.409
33.961	36.445
33.928	36.483
33.889	36.522
33.846	36.563
33.800	36.605
33.752	36.646
33.703	36.688
33.654	36.728
33.605	36.767
33.557	36.806
33.508	36.844
33.460	36.881
33.413	36.918
33.366	36.955
33.319	36.992
33.272	37.028
33.227	37.065
33.182	37.102
33.137	37.139
33.093	37.176
33.050	37.214
33.007	37.251
32.964	37.289
32.922	37.327
32.879	37.364
32.835	37.400
32.791	37.436
32.746	37.470
32.700	37.503
32.653	37.535
32.604	37.565
32.554	37.593
32.501	37.618
32.447	37.642
32.391	37.664
32.334	37.685
32.276	37.704
32.216	37.722
32.156	37.739
32.095	37.755
32.033	37.771
31.970	37.785
31.908	37.800
31.845	37.815
31.782	37.829
31.720	37.844
31.657	37.859
31.596	37.873
31.535	37.888
31.475	37.902
31.416	37.916
31.359	37.929
31.303	37.942
31.249	37.953
31.197	37.963
31.147	37.972
31.099	37.979
31.054	37.985
31.012	37.990
30.971	37.993
30.932	37.996
30.894	37.998
30.856	38.001
30.819	38.004
30.781	38.008
30.742	38.013
30.701	38.020
30.660	38.028
30.617	38.038
30.572	38.049
30.526	38.061
30.479	38.074
30.430	38.087
30.380	38.101
30.328	38.115
30.275	38.130
30.220	38.144
30.164	38.159
30.106	38.173
30.047	38.188
29.987	38.203
29.926	38.217
29.863	38.232
29.799	38.247
29.734	38.263
29.668	38.278
29.601	38.294
29.533	38.310
29.464	38.326
29.395	38.343
29.324	38.360
29.253	38.377
29.181	38.394
29.108	38.412
29.035	38.430
28.961	38.449
28.887	38.467
28.812	38.486
28.736	38.504
28.660	38.523
28.584	38.542
28.507	38.561
28.430	38.580
28.352	38.598
28.275	38.617
28.197	38.635
28.118	38.654
28.040	38.672
27.961	38.690
27.883	38.707
27.805	38.725
27.728	38.742
27.651	38.758
27.576	38.774
27.501	38.790
27.428	38.805
27.356	38.820
27.286	38.834
27.217	38.848
27.151	38.861
27.086	38.873
27.024	38.885
26.964	38.895
26.907	38.905
26.852	38.915
26.799	38.924
26.747	38.932
26.695	38.940
26.645	38.947
26.594	38.955
26.543	38.962
26.492	38.968
26.439	38.975
26.385	38.982
26.329	38.988
26.272	38.995
26.213	39.002
26.154	39.009
26.094	39.016
26.034	39.023
25.974	39.030
25.914	39.038
25.855	39.045
25.797	39.053
25.741	39.060
25.686	39.068
25.633	39.076
25.582	39.085
25.533	39.093
25.486	39.102
25.440	39.110
25.395	39.119
25.351	39.129
25.308	39.138
25.266	39.148
25.223	39.158
25.181	39.169
25.139	39.179
25.096	39.190
