X	Y
353.333	157.333
354.495	156.022
355.796	154.736
357.078	153.392
358.188	151.912
359.113	150.303
359.982	148.664
360.933	147.096
362.072	145.677
363.373	144.375
364.768	143.125
366.190	141.863
367.603	140.555
369.017	139.215
370.443	137.858
371.896	136.500
373.397	135.150
374.974	133.814
376.658	132.496
378.471	131.202
380.386	129.925
382.331	128.650
384.237	127.365
386.033	126.054
387.686	124.715
389.247	123.366
390.779	122.028
392.342	120.723
393.972	119.460
395.647	118.223
397.336	116.989
399.010	115.739
400.661	114.460
402.320	113.162
404.030	111.856
405.829	110.553
407.742	109.260
409.745	107.972
411.804	106.680
413.884	105.376
415.954	104.051
417.993	102.697
419.996	101.304
421.960	99.865
423.880	98.369
425.754	96.810
427.602	95.203
429.456	93.575
431.347	91.950
433.304	90.356
435.345	88.814
437.417	87.334
439.452	85.921
441.384	84.580
443.143	83.318
444.675	82.217
445.945	81.493
446.925	81.369
447.788	81.529
449.034	80.774
450.727	78.877
452.469	76.668
453.839	75.021
454.425	74.798
454.267	76.149
454.088	78.152
454.656	79.803
456.155	80.495
457.890	80.218
459.111	79.020
459.619	77.159
459.847	75.136
460.261	73.466
461.247	72.546
462.762	72.133
464.616	71.771
466.631	71.051
468.731	69.954
470.883	68.626
473.053	67.217
475.209	65.876
477.327	64.706
479.414	63.666
481.480	62.694
483.536	61.723
485.593	60.694
487.649	59.608
489.695	58.513
491.719	57.457
493.711	56.491
495.665	55.633
497.583	54.833
499.468	54.033
501.325	53.175
503.161	52.234
504.993	51.265
506.837	50.336
508.712	49.514
510.628	48.833
512.578	48.252
514.550	47.720
516.536	47.186
518.528	46.621
520.524	46.033
522.523	45.437
524.522	44.847
526.516	44.268
528.485	43.685
530.411	43.086
532.275	42.454
534.080	41.794
535.864	41.142
537.670	40.534
539.536	40.007
541.473	39.578
543.470	39.253
545.516	39.035
547.603	38.926
549.729	38.905
551.896	38.935
554.106	38.984
556.360	39.017
558.647	39.041
560.942	39.087
563.222	39.190
565.464	39.383
567.644	39.684
569.745	40.081
571.745	40.555
573.628	41.089
575.396	41.671
577.116	42.306
578.860	43.002
580.699	43.765
582.623	44.615
584.553	45.578
586.409	46.682
588.109	47.954
589.607	49.403
590.884	51.016
591.926	52.781
592.721	54.684
593.301	56.697
593.744	58.775
594.126	60.875
594.522	62.953
594.958	64.992
595.400	67.001
595.813	68.991
596.161	70.975
596.424	72.939
596.594	74.849
596.665	76.667
596.635	78.372
596.533	80.031
596.399	81.752
596.273	83.640
596.161	85.723
596.031	87.946
595.852	90.255
595.591	92.594
595.234	94.915
594.793	97.185
594.285	99.373
593.729	101.449
593.140	103.393
592.527	105.242
591.897	107.054
591.256	108.889
590.603	110.789
589.910	112.747
589.145	114.752
588.277	116.792
587.294	118.852
586.253	120.917
585.225	122.975
584.280	125.008
583.478	127.002
582.772	128.927
582.040	130.744
581.162	132.416
580.039	133.917
578.716	135.308
577.296	136.681
575.881	138.130
574.550	139.713
573.318	141.374
572.182	143.038
571.141	144.629
570.187	146.106
569.286	147.509
568.403	148.890
567.499	150.295
566.510	151.732
565.367	153.200
564.004	154.697
562.446	156.206
560.816	157.694
559.245	159.129
557.861	160.477
556.697	161.752
555.651	163.036
554.609	164.411
553.477	165.938
552.230	167.580
550.855	169.284
549.339	170.995
547.682	172.663
545.932	174.258
544.150	175.754
542.396	177.124
540.727	178.346
539.139	179.461
537.582	180.560
536.001	181.738
534.350	183.076
532.633	184.555
530.877	186.114
529.111	187.690
527.360	189.219
525.624	190.654
523.863	191.966
522.031	193.128
520.084	194.111
517.992	194.919
515.758	195.627
513.390	196.328
510.896	197.113
508.289	198.071
505.622	199.199
503.012	200.370
500.579	201.452
498.441	202.310
496.716	202.815
495.330	203.015
493.962	203.196
492.290	203.645
490.236	204.422
487.915	205.413
485.449	206.495
482.957	207.549
480.544	208.470
478.214	209.238
475.935	209.866
473.677	210.369
471.409	210.757
469.109	211.057
466.780	211.314
464.421	211.576
462.037	211.891
459.629	212.302
457.217	212.798
454.827	213.335
452.486	213.869
450.221	214.356
448.053	214.766
445.986	215.111
444.021	215.413
442.158	215.693
440.384	215.961
438.650	216.181
436.898	216.316
435.077	216.327
433.186	216.240
431.255	216.111
429.316	215.999
427.397	215.950
425.516	215.952
423.689	215.981
421.931	216.013
420.228	216.057
418.533	216.158
416.796	216.364
414.982	216.695
413.100	217.090
411.163	217.474
409.189	217.775
407.201	217.939
405.233	217.946
403.319	217.773
401.496	217.403
399.802	216.822
398.278	216.025
396.966	215.006
395.846	213.786
394.794	212.432
393.678	211.014
392.418	209.597
391.146	208.217
390.052	206.900
389.306	205.679
388.713	204.632
387.760	203.882
386.146	203.475
384.072	203.280
381.809	203.139
379.625	202.900
377.664	202.479
375.878	201.911
374.203	201.237
372.579	200.495
371.016	199.674
369.565	198.732
368.275	197.627
367.129	196.367
365.997	195.037
364.739	193.733
363.312	192.529
362.112	191.407
361.667	190.326
362.281	189.244
363.374	188.137
364.158	186.981
364.196	185.790
363.649	184.641
362.727	183.625
361.601	182.887
360.432	182.568
359.273	182.508
358.073	182.234
356.834	181.455
355.689	180.302
354.787	178.960
354.174	177.540
353.712	176.017
353.241	174.354
352.672	172.542
352.079	170.642
351.559	168.728
351.207	166.872
351.068	165.105
351.130	163.417
351.374	161.794
351.798	160.229
352.437	158.736
353.333	157.333
