X,Y
352.000,212.000
352.380,214.303
352.921,216.529
353.598,218.683
354.386,220.769
355.261,222.792
356.198,224.758
357.173,226.672
358.160,228.537
359.136,230.360
360.076,232.146
360.964,233.898
361.818,235.617
362.657,237.303
363.505,238.957
364.383,240.578
365.312,242.168
366.314,243.725
367.411,245.252
368.624,246.747
369.945,248.220
371.338,249.687
372.769,251.167
374.201,252.676
375.598,254.232
376.923,255.852
378.141,257.553
379.215,259.353
380.110,261.269
380.808,263.306
381.339,265.435
381.743,267.624
382.060,269.838
382.328,272.045
382.588,274.210
382.877,276.300
383.236,278.282
383.704,280.121
384.319,281.786
385.088,283.283
385.988,284.658
386.992,285.959
388.075,287.233
389.212,288.528
390.377,289.892
391.544,291.373
392.689,293.010
393.790,294.730
394.831,296.372
395.796,297.775
396.668,298.776
397.431,299.213
398.068,298.923
398.574,297.834
398.975,296.120
399.306,294.000
399.596,291.693
399.881,289.419
400.190,287.397
400.558,285.846
401.016,284.986
401.591,284.969
402.288,285.711
403.108,287.074
404.049,288.918
405.113,291.105
406.299,293.497
407.607,295.953
409.038,298.336
410.592,300.506
412.262,302.335
413.996,303.777
415.714,304.834
417.336,305.504
418.784,305.787
419.978,305.684
420.839,305.193
421.297,304.320
421.370,303.102
421.122,301.599
420.619,299.868
419.925,297.969
419.106,295.959
418.225,293.897
417.349,291.841
416.538,289.848
415.804,287.930
415.115,286.068
414.439,284.240
413.744,282.425
412.998,280.600
412.170,278.746
411.226,276.841
410.135,274.862
408.865,272.789
407.408,270.617
405.828,268.382
404.202,266.132
402.607,263.915
401.122,261.777
399.823,259.766
398.789,257.928
398.095,256.310
397.820,254.960
398.041,253.924
398.801,253.230
400.039,252.847
401.673,252.733
403.620,252.846
405.799,253.143
408.129,253.581
410.526,254.119
412.910,254.714
415.201,255.324
417.363,255.938
419.401,256.570
421.324,257.233
423.137,257.944
424.849,258.716
426.466,259.564
427.995,260.504
429.443,261.550
430.818,262.716
432.130,264.001
433.389,265.392
434.608,266.876
435.798,268.442
436.970,270.077
438.137,271.766
439.309,273.499
440.498,275.262
441.716,277.042
442.972,278.812
444.270,280.535
445.617,282.175
447.020,283.693
448.483,285.054
450.013,286.220
451.616,287.153
453.298,287.817
455.065,288.177
456.913,288.242
458.837,288.051
460.828,287.647
462.879,287.072
464.982,286.367
467.130,285.574
469.314,284.734
471.528,283.889
473.763,283.081
476.013,282.345
478.274,281.681
480.541,281.076
482.814,280.517
485.087,279.992
487.359,279.488
489.626,278.992
491.886,278.491
494.135,277.974
496.371,277.427
498.589,276.838
500.790,276.199
502.975,275.510
505.148,274.773
507.311,273.988
509.467,273.158
511.618,272.284
513.768,271.368
515.918,270.410
518.073,269.412
520.234,268.375
522.405,267.301
524.581,266.191
526.755,265.045
528.919,263.864
531.067,262.648
533.191,261.396
535.283,260.111
537.336,258.792
539.343,257.439
541.296,256.054
543.187,254.636
545.010,253.186
546.767,251.706
548.469,250.200
550.126,248.671
551.749,247.123
553.350,245.559
554.939,243.983
556.526,242.398
558.123,240.808
559.741,239.217
561.389,237.628
563.071,236.042
564.771,234.456
566.470,232.863
