X,Y
657.000,234.000
658.025,233.010
659.052,232.029
660.085,231.056
661.131,230.089
662.197,229.129
663.286,228.175
664.407,227.226
665.564,226.282
666.764,225.343
668.012,224.407
669.314,223.474
670.677,222.543
672.100,221.616
673.581,220.692
675.116,219.773
676.700,218.859
678.330,217.952
680.001,217.053
681.711,216.162
683.455,215.280
685.229,214.410
687.029,213.551
688.851,212.704
690.692,211.871
692.547,211.052
694.414,210.248
696.286,209.461
698.164,208.690
700.042,207.933
701.921,207.189
703.797,206.456
705.669,205.733
707.534,205.018
709.390,204.310
711.236,203.608
713.068,202.910
714.884,202.215
716.683,201.520
718.463,200.826
720.221,200.129
721.955,199.429
723.663,198.725
725.345,198.015
727.005,197.301
728.648,196.583
730.278,195.863
731.898,195.141
733.512,194.418
735.126,193.695
736.742,192.973
738.366,192.252
740.000,191.534
741.650,190.820
743.319,190.109
745.011,189.404
746.731,188.705
748.479,188.012
750.255,187.323
752.055,186.637
753.877,185.952
755.720,185.267
757.581,184.581
759.457,183.891
761.348,183.197
763.250,182.497
765.162,181.789
767.082,181.073
769.006,180.345
770.934,179.606
772.862,178.853
774.790,178.085
776.714,177.300
778.635,176.500
780.554,175.682
782.472,174.849
784.389,174.001
786.306,173.136
788.224,172.257
790.143,171.362
792.065,170.453
793.989,169.530
795.918,168.592
797.851,167.640
799.790,166.675
801.735,165.696
803.686,164.704
805.645,163.700
807.613,162.682
809.590,161.653
811.576,160.613
813.573,159.565
815.582,158.509
817.603,157.448
819.636,156.383
821.683,155.315
823.744,154.246
825.820,153.179
827.912,152.114
830.020,151.052
832.145,149.997
834.289,148.948
836.450,147.909
838.632,146.879
840.833,145.862
843.055,144.858
845.299,143.870
847.565,142.897
849.855,141.938
852.169,140.989
854.510,140.048
856.878,139.113
859.274,138.180
861.700,137.247
864.157,136.311
866.647,135.369
869.170,134.419
871.728,133.457
874.322,132.482
876.953,131.490
879.623,130.479
882.332,129.445
885.083,128.387
887.876,127.301
890.712,126.185
893.593,125.036
896.520,123.851
899.494,122.627
902.517,121.363
905.586,120.057
908.698,118.715
911.848,117.338
915.032,115.931
918.245,114.498
921.484,113.041
924.744,111.564
928.020,110.072
931.308,108.567
934.604,107.052
937.904,105.532
941.202,104.011
944.496,102.490
947.779,100.975
951.049,99.468
954.301,97.974
957.530,96.495
960.732,95.035
963.902,93.598
967.037,92.187
970.132,90.806
973.183,89.458
976.185,88.147
979.134,86.876
982.025,85.650
984.855,84.470
987.619,83.342
990.316,82.264
992.949,81.234
995.519,80.250
998.029,79.307
1000.479,78.405
1002.874,77.539
1005.214,76.708
1007.501,75.908
