X,Y
655.000,254.000
656.582,252.887
658.329,251.911
660.231,251.063
662.278,250.335
664.460,249.717
666.766,249.202
669.186,248.781
671.709,248.446
674.327,248.188
677.027,247.998
679.800,247.868
682.636,247.790
685.525,247.755
688.456,247.755
691.418,247.780
694.402,247.824
697.398,247.876
700.395,247.929
703.382,247.974
706.351,248.002
709.292,248.008
712.204,247.989
715.087,247.946
717.940,247.878
720.764,247.785
723.557,247.666
726.319,247.521
729.051,247.351
731.751,247.154
734.419,246.931
737.056,246.680
739.659,246.403
742.231,246.098
744.768,245.764
747.273,245.403
749.743,245.014
752.179,244.595
754.581,244.148
756.948,243.671
759.279,243.164
761.575,242.628
763.837,242.063
766.071,241.472
768.280,240.858
770.469,240.221
772.641,239.565
774.801,238.893
776.952,238.205
779.099,237.505
781.247,236.795
783.398,236.077
785.558,235.354
787.730,234.627
789.918,233.899
792.127,233.173
794.361,232.450
796.624,231.733
798.919,231.025
801.250,230.326
803.615,229.640
806.007,228.966
808.422,228.307
810.856,227.663
813.304,227.036
815.762,226.426
818.224,225.836
820.686,225.267
823.144,224.719
825.592,224.194
828.026,223.692
830.442,223.217
832.834,222.768
835.198,222.346
837.529,221.954
839.823,221.592
842.075,221.261
844.280,220.964
846.436,220.699
848.547,220.462
850.619,220.251
852.656,220.060
854.663,219.886
856.647,219.723
858.612,219.568
860.563,219.417
862.506,219.264
864.446,219.107
866.388,218.940
868.338,218.760
870.300,218.562
872.280,218.341
874.282,218.095
876.313,217.818
878.373,217.511
880.460,217.179
882.573,216.826
884.711,216.456
886.872,216.072
889.054,215.678
891.255,215.280
893.475,214.881
895.711,214.484
897.962,214.095
900.227,213.716
902.504,213.353
904.791,213.009
907.086,212.688
909.389,212.394
911.698,212.132
914.011,211.905
916.326,211.715
918.644,211.557
920.964,211.430
923.284,211.329
925.605,211.252
927.926,211.195
930.246,211.156
932.564,211.131
934.880,211.117
937.193,211.110
939.502,211.109
941.807,211.108
944.108,211.106
946.403,211.099
948.692,211.084
950.975,211.058
953.250,211.017
955.517,210.959
957.776,210.885
960.031,210.797
962.281,210.699
964.530,210.593
966.777,210.484
969.026,210.374
