X,Y
25.190,16.170
24.988,16.106
24.761,16.075
24.517,16.072
24.264,16.091
24.008,16.126
23.759,16.170
23.522,16.219
23.296,16.267
23.079,16.313
22.869,16.351
22.663,16.380
22.460,16.395
22.257,16.397
22.053,16.392
21.844,16.386
21.630,16.384
21.409,16.393
21.178,16.415
20.940,16.448
20.695,16.488
20.444,16.530
20.188,16.571
19.928,16.608
19.667,16.636
19.407,16.657
19.155,16.674
18.916,16.688
18.694,16.702
18.494,16.719
18.320,16.739
18.162,16.764
18.010,16.793
17.850,16.824
17.672,16.858
17.475,16.895
17.261,16.933
17.033,16.974
16.793,17.017
16.544,17.062
16.288,17.108
16.027,17.156
15.763,17.205
15.497,17.256
15.232,17.306
14.967,17.357
14.706,17.408
14.450,17.459
14.198,17.511
13.952,17.563
13.712,17.615
13.479,17.669
13.252,17.724
13.033,17.781
12.821,17.840
12.616,17.901
12.420,17.965
12.231,18.032
12.049,18.103
11.871,18.178
11.689,18.259
11.498,18.348
11.293,18.445
11.068,18.553
10.829,18.669
10.588,18.792
10.357,18.920
10.149,19.050
9.975,19.181
9.846,19.310
9.764,19.440
9.716,19.579
9.688,19.734
9.668,19.911
9.650,20.113
9.632,20.338
9.615,20.582
9.597,20.843
9.578,21.118
9.557,21.404
9.537,21.697
9.520,21.990
9.510,22.278
9.511,22.554
9.526,22.812
9.558,23.045
9.612,23.250
9.685,23.431
9.774,23.598
9.875,23.764
9.984,23.938
10.098,24.130
10.214,24.340
10.329,24.561
10.440,24.787
10.545,25.013
10.642,25.232
10.727,25.440
10.801,25.637
10.866,25.827
10.924,26.015
10.977,26.204
11.028,26.401
11.079,26.605
11.131,26.816
11.188,27.034
11.252,27.258
11.325,27.487
11.410,27.720
11.503,27.954
11.600,28.184
11.697,28.406
11.790,28.616
11.876,28.810
11.951,28.986
12.026,29.148
12.110,29.304
12.216,29.462
12.355,29.629
12.531,29.809
12.735,29.999
12.956,30.195
13.183,30.392
13.405,30.587
13.610,30.774
13.788,30.949
13.934,31.111
14.059,31.264
14.176,31.412
14.298,31.558
14.437,31.707
14.601,31.862
14.787,32.021
14.992,32.180
15.210,32.337
15.437,32.489
15.669,32.634
15.901,32.768
16.127,32.883
16.336,32.970
16.521,33.018
16.673,33.016
16.783,32.956
16.862,32.842
16.931,32.692
17.010,32.521
17.121,32.344
17.268,32.170
17.442,32.001
17.636,31.837
17.841,31.679
18.048,31.531
18.250,31.392
18.442,31.260
18.625,31.132
18.799,31.000
18.965,30.861
19.122,30.709
19.272,30.539
19.415,30.355
19.550,30.161
19.679,29.964
19.802,29.767
19.918,29.576
20.029,29.394
20.136,29.217
20.238,29.039
20.337,28.853
20.435,28.655
20.531,28.439
20.627,28.207
20.725,27.964
20.825,27.717
20.928,27.471
21.035,27.232
21.149,27.005
21.268,26.793
21.393,26.591
21.522,26.396
21.654,26.202
21.788,26.005
21.923,25.799
22.058,25.584
22.190,25.364
22.319,25.142
22.442,24.925
22.558,24.717
22.664,24.522
22.761,24.344
22.851,24.178
22.941,24.021
23.033,23.866
23.133,23.709
23.245,23.546
23.365,23.380
23.493,23.211
23.629,23.040
23.769,22.869
23.912,22.700
24.053,22.531
24.186,22.364
24.305,22.197
24.403,22.032
24.478,21.868
24.538,21.704
24.598,21.537
24.672,21.367
24.775,21.192
24.915,21.012
25.079,20.834
25.253,20.666
25.425,20.516
25.579,20.390
25.704,20.295
25.805,20.226
25.902,20.165
26.015,20.097
26.144,20.011
26.268,19.902
26.367,19.768
26.420,19.602
26.422,19.411
26.384,19.205
26.316,18.997
26.230,18.799
26.137,18.623
26.046,18.469
25.963,18.325
25.894,18.177
25.844,18.014
25.816,17.826
25.802,17.620
25.791,17.403
25.776,17.182
25.745,16.966
25.691,16.761
25.610,16.573
25.500,16.408
25.361,16.272
25.190,16.170
