X,Y
42.802,19.250
42.917,19.105
43.043,18.974
43.181,18.856
43.329,18.750
43.486,18.656
43.653,18.573
43.828,18.500
44.010,18.437
44.200,18.382
44.396,18.335
44.597,18.296
44.804,18.263
45.015,18.236
45.229,18.214
45.447,18.197
45.666,18.183
45.888,18.173
46.111,18.164
46.333,18.157
46.556,18.151
46.778,18.146
47.000,18.141
47.222,18.137
47.444,18.133
47.665,18.130
47.887,18.127
48.109,18.124
48.332,18.121
48.555,18.119
48.778,18.117
49.002,18.115
49.227,18.113
49.452,18.110
49.679,18.108
49.906,18.106
50.135,18.103
50.365,18.100
50.596,18.097
50.829,18.094
51.063,18.090
51.299,18.085
51.537,18.081
51.776,18.075
52.017,18.069
52.259,18.062
52.503,18.055
52.747,18.047
52.993,18.039
53.239,18.030
53.485,18.021
53.732,18.010
53.979,18.000
54.227,17.988
54.474,17.976
54.721,17.963
54.967,17.950
55.213,17.936
55.458,17.922
55.702,17.906
55.945,17.890
56.186,17.874
56.427,17.856
56.665,17.838
56.902,17.820
57.137,17.800
57.370,17.780
57.600,17.760
57.829,17.740
58.055,17.720
58.279,17.702
58.500,17.685
58.719,17.670
58.936,17.659
59.151,17.650
59.363,17.646
59.573,17.646
59.780,17.651
59.985,17.662
60.188,17.678
60.388,17.701
60.585,17.731
60.780,17.769
60.972,17.815
61.162,17.870
61.350,17.934
61.534,18.007
61.716,18.091
61.895,18.184
62.071,18.286
62.243,18.396
62.412,18.513
62.576,18.635
62.736,18.763
62.891,18.895
63.041,19.031
63.185,19.169
63.324,19.309
63.457,19.450
63.584,19.591
63.704,19.731
63.817,19.869
63.923,20.004
64.022,20.137
64.113,20.264
64.195,20.387
64.270,20.504
64.336,20.618
64.393,20.729
64.442,20.839
64.483,20.948
64.515,21.060
64.539,21.174
64.554,21.291
64.560,21.415
64.558,21.545
64.547,21.683
64.527,21.831
64.498,21.988
64.461,22.155
64.416,22.331
64.363,22.514
64.302,22.704
64.234,22.900
64.158,23.101
64.076,23.306
63.987,23.513
63.893,23.724
63.792,23.935
63.685,24.147
63.573,24.359
63.456,24.569
63.334,24.777
63.207,24.982
63.076,25.183
62.941,25.379
62.802,25.570
62.660,25.753
62.515,25.929
62.366,26.097
62.216,26.256
62.063,26.408
61.908,26.552
61.752,26.688
61.595,26.819
61.438,26.943
61.281,27.061
61.125,27.174
60.969,27.282
60.815,27.385
60.663,27.485
60.512,27.580
60.365,27.672
60.220,27.761
60.079,27.848
59.942,27.933
59.809,28.015
59.681,28.097
59.558,28.178
59.438,28.257
59.322,28.333
59.208,28.407
59.094,28.478
58.981,28.546
58.867,28.609
58.751,28.668
58.633,28.722
58.511,28.770
58.384,28.812
58.252,28.847
58.114,28.875
57.968,28.896
57.816,28.909
57.658,28.916
57.495,28.915
57.326,28.908
57.154,28.894
56.978,28.874
56.800,28.849
56.619,28.817
56.437,28.780
56.254,28.737
56.071,28.690
55.888,28.638
55.706,28.581
55.526,28.519
55.348,28.454
55.173,28.385
55.002,28.312
54.835,28.235
54.670,28.156
54.508,28.074
54.348,27.990
54.189,27.904
54.031,27.817
53.874,27.728
53.717,27.639
53.559,27.550
53.401,27.460
53.241,27.371
53.079,27.283
52.914,27.197
52.747,27.111
52.576,27.028
52.401,26.947
52.222,26.869
52.038,26.794
51.848,26.722
51.655,26.653
51.456,26.587
51.254,26.522
51.048,26.459
50.838,26.398
50.626,26.338
50.410,26.279
50.192,26.220
49.972,26.162
49.749,26.103
49.525,26.044
49.300,25.984
49.074,25.923
48.847,25.860
48.619,25.796
48.392,25.729
48.164,25.660
47.937,25.588
47.711,25.513
47.486,25.435
47.263,25.352
47.041,25.266
46.821,25.177
46.604,25.084
46.389,24.990
46.177,24.893
45.968,24.795
45.762,24.696
45.561,24.597
45.363,24.498
45.170,24.399
44.982,24.302
44.798,24.206
44.620,24.112
44.447,24.021
44.280,23.933
44.119,23.849
43.965,23.768
43.817,23.693
43.676,23.622
43.543,23.558
43.417,23.499
43.298,23.444
43.187,23.391
43.083,23.339
42.985,23.284
42.895,23.226
42.810,23.161
42.732,23.088
42.660,23.005
42.594,22.909
42.533,22.798
42.478,22.672
42.428,22.529
42.385,22.371
42.347,22.200
42.317,22.018
42.293,21.826
42.277,21.627
42.269,21.421
42.269,21.211
42.277,20.999
42.295,20.785
42.321,20.573
42.358,20.362
42.405,20.156
42.462,19.956
42.530,19.764
42.609,19.581
42.699,19.409
42.802,19.250
