X,Y
2.431,1.587
2.440,1.581
2.449,1.574
2.460,1.569
2.472,1.564
2.484,1.559
2.497,1.555
2.511,1.552
2.526,1.549
2.541,1.546
2.556,1.544
2.571,1.542
2.586,1.540
2.601,1.538
2.616,1.537
2.630,1.535
2.645,1.534
2.659,1.533
2.672,1.532
2.686,1.531
2.700,1.530
2.713,1.529
2.727,1.528
2.740,1.527
2.754,1.527
2.767,1.526
2.781,1.526
2.795,1.525
2.809,1.524
2.824,1.524
2.838,1.523
2.853,1.523
2.868,1.522
2.883,1.522
2.898,1.522
2.913,1.522
2.929,1.522
2.945,1.522
2.961,1.522
2.977,1.523
2.993,1.523
3.009,1.524
3.026,1.525
3.043,1.526
3.059,1.528
3.076,1.529
3.093,1.531
3.110,1.533
3.128,1.535
3.145,1.537
3.162,1.539
3.179,1.541
3.196,1.544
3.213,1.546
3.230,1.548
3.247,1.550
3.264,1.552
3.280,1.554
3.297,1.555
3.313,1.557
3.329,1.558
3.345,1.559
3.360,1.560
3.376,1.561
3.391,1.562
3.407,1.563
3.422,1.564
3.437,1.565
3.452,1.566
3.467,1.568
3.482,1.569
3.497,1.570
3.512,1.572
3.528,1.574
3.543,1.576
3.558,1.578
3.573,1.581
3.589,1.583
3.604,1.586
3.619,1.589
3.634,1.592
3.650,1.596
3.665,1.599
3.680,1.602
3.695,1.605
3.710,1.608
3.724,1.611
3.739,1.614
3.754,1.617
3.768,1.620
3.782,1.622
3.796,1.624
3.809,1.626
3.823,1.628
3.836,1.630
3.850,1.632
3.863,1.633
3.876,1.635
3.889,1.637
3.902,1.639
3.915,1.640
3.928,1.642
3.940,1.644
3.953,1.646
3.966,1.649
3.978,1.651
3.991,1.653
4.003,1.656
4.016,1.659
4.028,1.661
4.040,1.664
4.052,1.667
4.064,1.669
4.076,1.672
4.087,1.675
4.099,1.678
4.110,1.681
4.121,1.683
4.132,1.687
4.142,1.690
4.153,1.694
4.163,1.698
4.173,1.702
4.182,1.707
4.192,1.713
4.201,1.719
4.210,1.727
4.218,1.734
4.226,1.743
4.234,1.751
4.241,1.761
4.248,1.770
4.253,1.780
4.259,1.790
4.263,1.800
4.267,1.811
4.269,1.821
4.271,1.831
4.272,1.841
4.272,1.852
4.271,1.862
4.270,1.872
4.268,1.882
4.265,1.892
4.262,1.902
4.259,1.912
4.255,1.922
4.251,1.931
4.247,1.941
4.242,1.951
4.237,1.961
4.232,1.970
4.226,1.980
4.220,1.989
4.214,1.998
4.208,2.007
4.202,2.016
4.196,2.025
4.189,2.033
4.182,2.041
4.176,2.049
4.169,2.056
4.162,2.064
4.155,2.071
4.148,2.078
4.141,2.085
4.133,2.092
4.126,2.098
4.119,2.105
4.112,2.111
4.104,2.117
4.097,2.122
4.089,2.128
4.081,2.133
4.074,2.138
4.066,2.142
4.058,2.146
4.050,2.150
4.041,2.153
4.033,2.156
4.024,2.159
4.014,2.161
4.005,2.162
3.994,2.163
3.984,2.163
3.972,2.162
3.961,2.161
3.948,2.159
3.935,2.157
3.922,2.154
3.909,2.151
3.896,2.148
3.882,2.144
3.869,2.141
3.856,2.137
3.843,2.133
3.831,2.130
3.819,2.127
3.807,2.124
3.796,2.121
3.786,2.119
3.776,2.117
3.766,2.115
3.756,2.113
3.746,2.111
3.736,2.110
3.726,2.109
3.715,2.107
3.704,2.106
3.693,2.105
3.680,2.103
3.668,2.102
3.655,2.100
3.642,2.098
3.629,2.096
3.616,2.094
3.603,2.091
3.590,2.088
3.577,2.085
3.565,2.081
3.553,2.076
3.542,2.072
3.532,2.066
3.522,2.061
3.512,2.055
3.503,2.049
3.494,2.042
3.485,2.036
3.477,2.030
3.468,2.024
3.459,2.018
3.450,2.013
3.441,2.008
3.432,2.003
3.423,1.999
3.413,1.995
3.403,1.992
3.393,1.988
3.382,1.985
3.371,1.982
3.360,1.980
3.348,1.977
3.335,1.975
3.322,1.972
3.309,1.970
3.295,1.967
3.282,1.965
3.267,1.963
3.253,1.961
3.238,1.959
3.223,1.958
3.209,1.956
3.194,1.954
3.179,1.953
3.164,1.952
3.150,1.951
3.136,1.950
3.121,1.949
3.108,1.949
3.094,1.948
3.080,1.948
3.067,1.947
3.054,1.946
3.041,1.946
3.028,1.945
3.015,1.944
3.003,1.943
2.990,1.941
2.978,1.939
2.965,1.937
2.953,1.934
2.941,1.931
2.929,1.928
2.916,1.924
2.904,1.920
2.892,1.916
2.880,1.912
2.867,1.907
2.855,1.903
2.843,1.898
2.830,1.894
2.818,1.889
2.805,1.885
2.792,1.881
2.779,1.876
2.767,1.872
2.754,1.868
2.741,1.864
2.728,1.861
2.715,1.857
2.703,1.854
2.690,1.851
2.677,1.849
2.665,1.846
2.653,1.844
2.641,1.842
2.629,1.841
2.617,1.839
2.606,1.838
2.594,1.837
2.583,1.835
2.572,1.833
2.561,1.831
2.550,1.828
2.540,1.825
2.529,1.821
2.519,1.816
2.509,1.810
2.499,1.804
2.489,1.797
2.480,1.790
2.471,1.782
2.462,1.774
2.454,1.766
2.447,1.758
2.440,1.749
2.434,1.741
2.428,1.733
2.423,1.725
2.419,1.717
2.416,1.709
2.413,1.701
2.410,1.693
2.408,1.685
2.407,1.676
2.406,1.668
2.406,1.659
2.406,1.649
2.407,1.640
2.408,1.630
2.411,1.621
2.414,1.612
2.419,1.603
2.424,1.595
2.431,1.587
