X	Y
260.667	170.833
261.366	172.937
262.325	175.320
263.427	177.752
264.553	180.004
265.592	181.865
266.547	183.396
267.516	184.878
268.597	186.597
269.831	188.721
271.136	191.174
272.417	193.851
273.577	196.646
274.520	199.454
275.205	202.207
275.707	204.915
276.113	207.598
276.511	210.275
276.988	212.966
277.611	215.668
278.408	218.337
279.404	220.928
280.624	223.393
282.090	225.687
283.777	227.823
285.588	229.893
287.425	231.995
289.187	234.225
290.776	236.680
292.172	239.365
293.459	242.167
294.725	244.966
296.060	247.642
297.553	250.075
299.269	252.184
301.189	254.034
303.273	255.720
305.482	257.339
307.775	258.987
310.099	260.677
312.372	262.231
314.507	263.443
316.416	264.110
318.031	264.076
319.438	263.596
320.801	263.136
322.243	263.013
323.762	263.101
325.334	263.195
326.930	263.203
328.517	263.175
330.066	263.167
331.610	263.206
333.232	263.300
334.998	263.444
336.811	263.539
338.489	263.439
339.862	263.017
340.943	262.377
341.862	261.775
342.812	261.291
344.053	260.780
345.631	260.166
347.307	259.476
348.828	258.745
350.146	258.024
351.520	257.387
353.217	256.902
355.244	256.538
357.393	256.184
359.454	255.728
361.252	255.079
362.803	254.269
364.194	253.376
365.507	252.476
366.814	251.654
368.180	250.995
369.663	250.548
371.301	250.211
373.126	249.843
375.133	249.343
377.174	248.775
379.057	248.246
380.598	247.859
381.831	247.533
383.056	246.967
384.507	245.935
386.131	244.546
387.814	242.976
389.442	241.405
390.947	239.929
392.352	238.498
393.689	237.048
394.984	235.521
396.232	233.930
397.399	232.341
398.453	230.823
399.392	229.392
400.297	227.929
401.261	226.291
402.368	224.366
403.630	222.203
405.041	219.898
406.593	217.550
408.279	215.253
410.057	213.050
411.824	210.874
413.467	208.646
414.874	206.289
415.935	203.725
416.604	200.968
416.955	198.187
417.070	195.568
417.031	193.296
416.915	191.529
416.708	190.111
416.341	188.693
415.773	187.008
415.085	185.173
414.392	183.403
413.793	181.893
413.220	180.600
412.489	179.316
411.471	177.888
410.268	176.384
409.031	174.924
407.900	173.616
406.841	172.454
405.716	171.359
404.410	170.267
402.959	169.210
401.463	168.263
400.018	167.492
398.639	166.861
397.297	166.271
395.951	165.640
394.513	164.949
392.885	164.199
391.026	163.406
389.086	162.642
387.258	161.991
385.718	161.530
384.396	161.237
382.992	160.999
381.284	160.730
379.388	160.468
377.504	160.280
375.810	160.224
374.263	160.252
372.699	160.256
370.972	160.150
369.070	159.973
367.029	159.808
364.884	159.738
362.714	159.782
360.650	159.886
358.828	159.986
357.342	160.028
355.951	160.021
354.267	159.998
352.051	159.983
349.488	159.969
346.834	159.943
344.347	159.894
342.251	159.810
340.491	159.714
338.856	159.641
337.141	159.625
335.254	159.662
333.195	159.716
330.967	159.750
328.583	159.731
326.103	159.665
323.598	159.561
321.141	159.434
318.798	159.294
316.556	159.154
314.336	159.024
312.056	158.917
309.639	158.842
307.090	158.800
304.494	158.778
301.941	158.766
299.520	158.750
297.298	158.717
295.248	158.645
293.322	158.508
291.470	158.284
289.661	157.987
287.888	157.693
286.149	157.479
284.439	157.391
282.751	157.378
281.079	157.373
279.418	157.333
277.768	157.280
276.133	157.248
274.502	157.254
272.837	157.265
271.092	157.243
269.265	157.185
267.454	157.191
265.773	157.370
264.320	157.802
263.118	158.417
262.168	159.115
261.438	159.950
260.864	161.112
260.428	162.578
260.156	164.098
260.067	165.445
260.100	166.644
260.163	167.832
260.302	169.169
260.667	170.833
