X	Y
18.682	23.682
18.720	23.625
18.763	23.573
18.811	23.523
18.862	23.477
18.918	23.435
18.978	23.394
19.040	23.357
19.107	23.322
19.176	23.289
19.248	23.257
19.322	23.228
19.399	23.200
19.478	23.173
19.558	23.146
19.641	23.121
19.724	23.096
19.810	23.072
19.896	23.049
19.984	23.026
20.072	23.004
20.162	22.982
20.253	22.961
20.345	22.941
20.438	22.921
20.531	22.902
20.625	22.883
20.720	22.865
20.815	22.848
20.911	22.831
21.008	22.815
21.104	22.799
21.201	22.784
21.298	22.769
21.395	22.755
21.493	22.741
21.590	22.728
21.688	22.716
21.785	22.704
21.883	22.693
21.981	22.682
22.078	22.672
22.176	22.662
22.274	22.652
22.371	22.644
22.469	22.635
22.566	22.627
22.664	22.620
22.761	22.613
22.858	22.607
22.955	22.601
23.052	22.595
23.149	22.590
23.245	22.586
23.342	22.582
23.438	22.578
23.534	22.575
23.630	22.572
23.726	22.570
23.822	22.568
23.918	22.567
24.014	22.566
24.110	22.566
24.206	22.567
24.302	22.568
24.399	22.569
24.495	22.572
24.592	22.575
24.689	22.578
24.786	22.582
24.884	22.587
24.981	22.592
25.079	22.599
25.178	22.606
25.276	22.614
25.375	22.623
25.473	22.634
25.571	22.647
25.670	22.661
25.768	22.677
25.865	22.696
25.963	22.717
26.060	22.740
26.156	22.766
26.252	22.795
26.347	22.827
26.441	22.863
26.535	22.902
26.628	22.944
26.719	22.990
26.810	23.041
26.900	23.095
26.988	23.154
27.074	23.216
27.159	23.281
27.241	23.350
27.321	23.422
27.398	23.496
27.471	23.573
27.542	23.652
27.608	23.734
27.671	23.816
27.729	23.901
27.783	23.986
27.832	24.072
27.876	24.159
27.914	24.247
27.947	24.335
27.973	24.422
27.994	24.510
28.007	24.596
28.014	24.682
28.015	24.767
28.011	24.852
28.000	24.935
27.985	25.017
27.966	25.098
27.942	25.178
27.914	25.256
27.883	25.333
27.849	25.408
27.812	25.482
27.773	25.553
27.732	25.623
27.690	25.692
27.647	25.758
27.602	25.822
27.557	25.883
27.512	25.942
27.465	25.999
27.417	26.053
27.369	26.103
27.318	26.150
27.267	26.194
27.214	26.234
27.160	26.270
27.104	26.302
27.046	26.330
26.986	26.353
26.924	26.372
26.861	26.386
26.795	26.396
26.727	26.401
26.656	26.403
26.584	26.402
26.509	26.398
26.432	26.391
26.353	26.381
26.271	26.369
26.187	26.356
26.101	26.341
26.012	26.325
25.920	26.308
25.826	26.291
25.730	26.273
25.631	26.256
25.529	26.238
25.425	26.221
25.319	26.205
25.211	26.188
25.101	26.172
24.990	26.156
24.877	26.141
24.763	26.126
24.648	26.112
24.532	26.099
24.415	26.086
24.298	26.073
24.181	26.062
24.063	26.051
23.946	26.041
23.828	26.032
23.711	26.024
23.595	26.016
23.479	26.010
23.364	26.005
23.250	26.001
23.137	25.998
23.026	25.996
22.915	25.994
22.806	25.993
22.697	25.992
22.590	25.991
22.483	25.989
22.377	25.987
22.271	25.984
22.166	25.980
22.061	25.974
21.957	25.967
21.852	25.957
21.748	25.945
21.644	25.931
21.539	25.914
21.435	25.894
21.330	25.870
21.225	25.843
21.119	25.812
21.013	25.777
20.906	25.738
20.799	25.694
20.691	25.647
20.584	25.597
20.477	25.544
20.371	25.489
20.265	25.432
20.160	25.374
20.057	25.314
19.955	25.255
19.856	25.195
19.758	25.135
19.663	25.076
19.570	25.019
19.480	24.963
19.393	24.910
19.310	24.859
19.230	24.811
19.154	24.766
19.082	24.726
19.015	24.689
18.952	24.658
18.893	24.630
18.840	24.605
18.791	24.582
18.746	24.559
18.706	24.536
18.671	24.510
18.640	24.482
18.614	24.449
18.591	24.410
18.574	24.365
18.561	24.315
18.552	24.259
18.548	24.199
18.548	24.136
18.553	24.071
18.563	24.005
18.577	23.938
18.596	23.871
18.620	23.805
18.648	23.742
18.682	23.682
