X	Y
269.500	140.000
271.118	138.922
273.458	137.952
275.796	137.120
277.613	136.413
279.059	135.672
280.414	134.738
281.879	133.674
283.610	132.638
285.612	131.667
287.745	130.692
289.871	129.643
291.934	128.540
293.932	127.463
295.866	126.483
297.744	125.568
299.576	124.625
301.393	123.590
303.292	122.494
305.383	121.392
307.687	120.328
310.051	119.336
312.301	118.448
314.362	117.650
316.484	116.787
318.984	115.674
322.087	114.181
325.634	112.405
329.367	110.503
333.030	108.630
336.366	106.942
339.199	105.549
341.635	104.397
343.847	103.397
346.000	102.460
348.220	101.510
350.594	100.484
353.207	99.317
356.064	97.995
359.050	96.572
362.043	95.107
364.920	93.659
367.621	92.276
370.211	90.977
372.769	89.780
375.372	88.699
378.066	87.710
380.862	86.750
383.772	85.755
386.801	84.670
389.896	83.509
392.971	82.322
395.945	81.162
398.737	80.076
401.343	79.082
403.809	78.176
406.182	77.355
408.495	76.632
410.750	76.059
412.944	75.695
415.072	75.547
417.122	75.511
419.079	75.478
420.924	75.521
422.628	75.868
424.226	76.595
425.885	77.447
427.710	78.179
429.431	78.782
430.679	79.338
431.321	80.196
431.432	81.651
431.168	83.390
430.717	85.170
430.307	87.086
430.139	89.247
430.171	91.529
430.249	93.707
430.257	95.635
430.241	97.521
430.284	99.653
430.390	102.045
430.483	104.449
430.488	106.619
430.395	108.563
430.248	110.520
430.088	112.676
429.916	114.974
429.724	117.298
429.500	119.551
429.221	121.693
428.861	123.692
428.356	125.551
427.596	127.322
426.511	129.049
425.280	130.702
424.167	132.230
423.311	133.682
422.657	135.267
422.120	137.060
421.588	138.769
420.930	140.094
419.920	141.053
418.458	141.797
417.003	142.498
415.972	143.283
415.172	144.084
414.503	144.993
414.081	146.265
413.665	147.761
412.991	149.195
411.962	150.179
410.615	150.670
409.202	151.312
407.827	152.311
406.369	153.177
404.783	153.610
403.206	153.769
401.676	153.855
399.964	154.042
397.948	154.415
395.877	154.837
394.038	155.149
392.426	155.361
390.782	155.630
388.985	155.980
387.095	156.267
385.184	156.397
383.317	156.468
381.555	156.600
379.915	156.734
378.385	156.717
376.864	156.686
375.190	156.991
373.341	157.572
371.395	158.067
369.418	158.278
367.437	158.418
365.479	158.735
363.599	159.194
361.871	159.566
360.288	159.724
358.680	159.749
356.917	159.735
355.013	159.744
353.005	159.822
350.957	159.934
348.945	160.017
347.043	160.034
345.323	160.002
343.818	159.959
342.378	160.011
340.863	160.232
339.323	160.536
337.789	160.816
336.126	161.009
334.296	161.102
332.659	161.226
331.464	161.526
329.870	162.037
327.049	162.733
323.513	163.512
320.052	164.255
317.459	164.843
316.132	165.240
315.015	165.705
313.462	166.312
311.853	166.780
310.388	166.969
308.857	167.006
307.109	166.963
305.120	166.812
302.939	166.528
300.811	166.125
299.008	165.626
297.521	165.063
295.970	164.479
294.191	163.905
292.397	163.353
290.762	162.815
289.131	162.194
287.287	161.393
285.298	160.521
283.384	159.796
281.695	159.329
280.136	158.882
278.593	158.229
277.093	157.587
275.681	157.259
274.213	157.168
272.576	157.126
271.147	157.169
270.248	157.198
269.562	156.562
269.061	155.530
268.820	154.359
268.812	153.078
268.840	151.947
268.832	150.947
268.833	149.812
268.833	148.420
268.833	146.950
268.838	145.673
268.824	144.604
268.840	143.572
268.961	142.383
269.028	141.160
269.500	140.000
