X,Y
287.250,155.500
289.201,154.715
291.558,154.362
294.194,154.359
296.987,154.623
299.810,155.075
302.540,155.631
305.050,156.211
307.221,156.735
309.046,157.174
310.639,157.558
312.121,157.917
313.614,158.281
315.236,158.682
317.028,159.126
318.940,159.591
320.914,160.053
322.896,160.490
324.829,160.877
326.664,161.194
328.420,161.422
330.171,161.552
331.987,161.572
333.942,161.470
336.106,161.236
338.528,160.867
341.165,160.392
343.956,159.847
346.842,159.267
349.762,158.689
352.654,158.148
355.458,157.679
358.115,157.319
360.570,157.099
362.845,157.015
364.996,157.042
367.083,157.159
369.162,157.341
371.291,157.564
373.528,157.806
375.897,158.058
378.358,158.338
380.857,158.671
383.347,159.081
385.775,159.589
388.091,160.220
390.245,160.998
392.192,161.941
393.917,163.053
395.410,164.334
396.662,165.784
397.661,167.401
398.400,169.186
398.885,171.125
399.157,173.181
399.260,175.314
399.238,177.482
399.136,179.645
398.999,181.762
398.862,183.805
398.723,185.784
398.574,187.723
398.404,189.645
398.204,191.572
397.963,193.527
397.670,195.525
397.303,197.555
396.838,199.603
396.254,201.657
395.528,203.702
394.636,205.726
393.564,207.714
392.340,209.656
391.007,211.541
389.611,213.361
388.194,215.103
386.803,216.760
385.480,218.319
384.240,219.782
383.031,221.171
381.794,222.510
380.468,223.824
378.994,225.139
377.313,226.478
375.417,227.840
373.339,229.202
371.114,230.540
368.776,231.831
366.362,233.050
363.905,234.173
361.441,235.178
358.999,236.042
356.580,236.763
354.173,237.342
351.771,237.782
349.363,238.082
346.940,238.247
344.494,238.276
342.015,238.172
339.508,237.944
336.986,237.605
334.462,237.168
331.949,236.647
329.461,236.054
327.012,235.404
324.613,234.709
322.278,233.979
320.008,233.205
317.807,232.379
315.676,231.488
313.617,230.522
311.632,229.471
309.722,228.324
307.899,227.077
306.190,225.742
304.629,224.333
303.247,222.867
302.079,221.356
301.155,219.817
300.492,218.267
300.061,216.732
299.824,215.241
299.745,213.820
299.781,212.499
299.809,211.297
299.640,210.229
299.085,209.311
298.073,208.528
296.786,207.809
295.439,207.075
294.245,206.246
293.369,205.259
292.788,204.124
292.429,202.865
292.222,201.508
292.110,200.071
292.076,198.558
292.108,196.971
292.194,195.312
292.321,193.584
292.455,191.823
292.542,190.091
292.528,188.454
292.359,186.977
291.983,185.718
291.402,184.652
290.653,183.698
289.771,182.771
288.794,181.804
287.757,180.789
286.693,179.738
285.639,178.661
284.629,177.568
283.713,176.452
282.954,175.298
282.412,174.091
282.146,172.812
282.144,171.440
282.331,169.949
282.628,168.312
282.959,166.500
283.263,164.505
283.599,162.411
284.066,160.341
284.763,158.418
285.792,156.764
287.250,155.500
