X	Y
31.718	17.014
31.744	16.938
31.774	16.863
31.806	16.790
31.842	16.720
31.880	16.651
31.922	16.584
31.966	16.518
32.012	16.454
32.061	16.392
32.113	16.330
32.166	16.270
32.222	16.211
32.280	16.153
32.339	16.095
32.400	16.039
32.463	15.983
32.527	15.927
32.592	15.872
32.659	15.817
32.726	15.762
32.795	15.708
32.864	15.653
32.935	15.599
33.006	15.544
33.078	15.490
33.151	15.435
33.225	15.380
33.300	15.325
33.375	15.270
33.451	15.215
33.528	15.159
33.606	15.103
33.684	15.047
33.763	14.990
33.843	14.933
33.923	14.876
34.004	14.817
34.085	14.759
34.167	14.700
34.249	14.640
34.332	14.580
34.415	14.519
34.499	14.457
34.583	14.394
34.667	14.331
34.752	14.267
34.838	14.203
34.923	14.138
35.009	14.072
35.095	14.006
35.182	13.940
35.269	13.873
35.356	13.806
35.444	13.738
35.532	13.670
35.620	13.601
35.708	13.533
35.797	13.464
35.886	13.395
35.975	13.325
36.064	13.256
36.154	13.186
36.244	13.117
36.334	13.047
36.424	12.978
36.514	12.908
36.604	12.838
36.695	12.769
36.786	12.699
36.876	12.630
36.967	12.561
37.058	12.492
37.150	12.424
37.241	12.355
37.332	12.287
37.424	12.219
37.516	12.151
37.608	12.084
37.700	12.017
37.792	11.950
37.885	11.883
37.977	11.816
38.070	11.750
38.163	11.685
38.256	11.619
38.350	11.554
38.443	11.489
38.537	11.425
38.631	11.361
38.726	11.297
38.820	11.234
38.915	11.171
39.010	11.108
39.105	11.046
39.201	10.985
39.297	10.923
39.393	10.863
39.489	10.802
39.586	10.743
39.683	10.683
39.780	10.625
39.876	10.567
39.973	10.509
40.070	10.452
40.167	10.396
40.264	10.340
40.360	10.285
40.456	10.231
40.552	10.178
40.647	10.125
40.743	10.073
40.837	10.022
40.931	9.972
41.025	9.922
41.118	9.874
41.210	9.826
41.301	9.780
41.392	9.734
41.482	9.690
41.571	9.646
41.659	9.604
41.746	9.562
41.832	9.522
41.917	9.483
42.001	9.444
42.084	9.407
42.166	9.371
42.247	9.336
42.327	9.301
42.406	9.268
42.484	9.235
42.561	9.204
42.636	9.172
42.711	9.142
42.785	9.112
42.858	9.083
42.931	9.055
43.002	9.027
43.072	9.000
43.142	8.973
43.210	8.946
43.278	8.920
43.345	8.894
43.410	8.869
43.476	8.844
43.540	8.820
43.604	8.797
43.667	8.775
43.729	8.755
43.791	8.735
43.853	8.718
43.914	8.702
43.975	8.688
44.036	8.676
44.096	8.667
44.156	8.660
44.216	8.656
44.276	8.654
44.335	8.656
44.395	8.660
44.455	8.667
44.514	8.677
44.573	8.689
44.632	8.703
44.691	8.720
44.749	8.739
44.806	8.760
44.864	8.782
44.920	8.807
44.976	8.832
45.032	8.859
45.086	8.888
45.140	8.918
45.193	8.948
45.245	8.980
45.296	9.014
45.345	9.048
45.394	9.084
45.441	9.122
45.486	9.161
45.529	9.202
45.571	9.245
45.611	9.290
45.649	9.337
45.684	9.386
45.717	9.438
45.748	9.491
45.776	9.547
45.802	9.606
45.825	9.666
45.846	9.728
45.865	9.791
45.881	9.856
45.894	9.921
45.905	9.988
45.914	10.055
45.921	10.122
45.926	10.189
45.928	10.256
45.928	10.323
45.926	10.389
45.922	10.453
45.916	10.517
45.908	10.580
45.898	10.641
45.887	10.702
45.874	10.761
45.859	10.821
45.843	10.880
45.826	10.938
45.808	10.997
45.789	11.056
45.770	11.116
45.750	11.176
45.729	11.237
45.708	11.300
45.687	11.363
45.666	11.428
45.644	11.494
45.623	11.562
45.602	11.631
45.581	11.702
45.560	11.773
45.540	11.844
45.519	11.916
45.497	11.988
45.476	12.060
45.455	12.132
45.433	12.204
45.412	12.274
45.390	12.344
45.368	12.413
45.346	12.481
45.323	12.547
45.300	12.611
45.277	12.674
45.254	12.734
45.230	12.793
45.205	12.851
45.181	12.908
45.155	12.964
45.130	13.020
45.104	13.076
45.077	13.132
45.050	13.188
45.022	13.245
44.994	13.304
44.965	13.364
44.935	13.426
44.905	13.489
44.874	13.556
44.842	13.624
44.810	13.696
44.777	13.769
44.743	13.845
44.709	13.921
44.674	14.000
44.638	14.079
44.602	14.159
44.565	14.239
44.528	14.319
44.490	14.399
44.452	14.478
44.413	14.557
44.374	14.634
44.334	14.710
44.294	14.784
44.253	14.856
44.212	14.925
44.171	14.992
44.129	15.056
44.087	15.117
44.044	15.174
44.001	15.229
43.958	15.281
43.914	15.331
43.869	15.379
43.824	15.426
43.778	15.472
43.731	15.518
