X,Y
20.843,19.157
20.799,19.059
20.779,18.950
20.779,18.831
20.798,18.704
20.832,18.571
20.879,18.433
20.935,18.291
20.998,18.147
21.066,18.002
21.134,17.858
21.201,17.716
21.264,17.577
21.322,17.443
21.375,17.312
21.424,17.184
21.469,17.058
21.512,16.935
21.552,16.814
21.592,16.693
21.631,16.573
21.669,16.453
21.709,16.333
21.750,16.212
21.793,16.090
21.837,15.966
21.883,15.841
21.931,15.716
21.979,15.589
22.029,15.462
22.080,15.334
22.131,15.206
22.182,15.077
22.234,14.948
22.286,14.819
22.338,14.689
22.389,14.560
22.441,14.431
22.491,14.302
22.542,14.174
22.591,14.046
22.640,13.919
22.689,13.793
22.736,13.667
22.782,13.543
22.827,13.420
22.871,13.299
22.913,13.178
22.955,13.060
22.995,12.942
23.034,12.826
23.073,12.711
23.110,12.597
23.147,12.484
23.183,12.372
23.218,12.261
23.253,12.151
23.288,12.042
23.322,11.933
23.357,11.824
23.393,11.716
23.430,11.608
23.469,11.500
23.511,11.392
23.555,11.284
23.602,11.175
23.653,11.065
23.708,10.955
23.766,10.844
23.829,10.734
23.895,10.623
23.964,10.513
24.037,10.404
24.113,10.296
24.191,10.190
24.272,10.085
24.356,9.983
24.442,9.883
24.530,9.787
24.620,9.693
24.713,9.602
24.807,9.516
24.904,9.433
25.004,9.354
25.106,9.279
25.210,9.209
25.317,9.144
25.426,9.084
25.539,9.030
25.653,8.980
25.770,8.936
25.888,8.896
26.008,8.861
26.128,8.829
26.249,8.800
26.369,8.775
26.489,8.751
26.608,8.730
26.725,8.711
26.840,8.692
26.954,8.676
27.065,8.661
27.174,8.649
27.281,8.641
27.385,8.636
27.486,8.635
27.585,8.640
27.682,8.650
27.775,8.665
27.866,8.687
27.957,8.713
28.047,8.745
28.137,8.780
28.230,8.819
28.325,8.861
28.424,8.905
28.527,8.952
28.634,9.001
28.745,9.050
28.858,9.101
28.973,9.152
29.088,9.203
29.201,9.254
29.313,9.304
29.421,9.353
29.526,9.401
29.624,9.446
29.717,9.490
29.805,9.532
29.890,9.571
29.973,9.608
30.054,9.642
30.137,9.673
30.221,9.701
30.308,9.727
30.399,9.749
30.493,9.769
30.590,9.788
30.689,9.806
30.790,9.824
30.893,9.842
30.996,9.861
31.099,9.882
31.201,9.906
31.302,9.932
31.399,9.962
31.489,9.996
31.571,10.034
31.643,10.077
31.703,10.124
31.748,10.178
31.778,10.236
31.795,10.300
31.802,10.368
31.803,10.439
31.800,10.513
31.797,10.589
31.794,10.666
31.794,10.745
31.798,10.825
31.806,10.906
31.820,10.989
31.839,11.074
31.866,11.161
31.901,11.249
31.941,11.338
31.986,11.428
32.035,11.520
32.085,11.612
32.137,11.704
32.188,11.797
32.237,11.890
32.283,11.982
32.326,12.074
32.366,12.166
32.402,12.257
32.436,12.346
32.466,12.435
32.494,12.523
32.519,12.609
32.542,12.693
32.562,12.777
32.580,12.859
32.596,12.942
32.610,13.026
32.622,13.111
32.633,13.198
32.644,13.288
32.653,13.381
32.661,13.477
32.669,13.575
32.676,13.677
32.682,13.781
32.687,13.888
32.691,13.998
32.695,14.109
32.698,14.222
32.701,14.337
32.702,14.453
32.701,14.568
32.698,14.682
32.692,14.793
32.683,14.901
32.671,15.005
32.655,15.103
32.634,15.195
32.609,15.281
32.582,15.362
32.554,15.439
32.527,15.515
32.503,15.591
32.483,15.669
32.469,15.750
32.463,15.834
32.461,15.922
32.464,16.012
32.468,16.104
32.472,16.195
32.474,16.286
32.473,16.375
32.467,16.462
32.454,16.545
32.433,16.626
32.403,16.703
32.362,16.779
32.309,16.852
32.242,16.922
32.160,16.991
32.066,17.057
31.967,17.119
31.871,17.178
31.787,17.233
31.723,17.281
31.686,17.324
31.685,17.359
31.725,17.387
31.798,17.410
31.894,17.431
32.001,17.454
32.108,17.480
32.204,17.514
32.278,17.558
32.320,17.615
32.326,17.684
32.303,17.761
32.255,17.841
32.189,17.920
32.111,17.993
32.025,18.055
31.939,18.103
31.854,18.135
31.770,18.152
31.686,18.159
31.600,18.159
31.511,18.154
31.418,18.149
31.319,18.146
31.214,18.148
31.101,18.156
30.982,18.169
30.858,18.186
30.729,18.207
30.597,18.230
30.461,18.256
30.322,18.282
30.182,18.308
30.040,18.335
29.898,18.360
29.756,18.383
29.615,18.404
29.475,18.423
29.336,18.441
29.198,18.458
29.061,18.475
28.925,18.492
28.791,18.509
28.658,18.528
28.527,18.548
28.397,18.569
28.270,18.593
28.144,18.620
28.021,18.649
27.899,18.680
27.779,18.712
27.660,18.746
27.542,18.780
27.426,18.815
27.310,18.849
27.196,18.883
27.082,18.916
26.969,18.947
26.856,18.978
26.744,19.007
26.632,19.035
26.521,19.063
26.411,19.090
26.301,19.118
26.193,19.147
26.085,19.176
25.977,19.207
25.871,19.239
25.766,19.272
25.660,19.306
25.555,19.340
25.449,19.372
25.343,19.404
25.236,19.433
25.127,19.459
25.017,19.482
24.905,19.500
24.791,19.515
24.675,19.525
24.558,19.533
24.441,19.538
24.324,19.541
24.207,19.543
24.092,19.545
23.979,19.546
23.867,19.549
23.759,19.553
23.652,19.559
23.547,19.565
23.440,19.572
23.332,19.580
23.220,19.587
23.103,19.594
22.979,19.600
22.848,19.604
22.707,19.606
22.556,19.606
22.395,19.604
22.227,19.597
22.056,19.586
21.884,19.570
21.714,19.548
21.549,19.519
21.393,19.482
21.248,19.437
21.118,19.383
21.005,19.319
20.912,19.244
20.843,19.157
