X,Y
67.000,38.000
67.207,37.887
67.455,37.826
67.739,37.809
68.054,37.828
68.396,37.873
68.760,37.937
69.140,38.011
69.533,38.087
69.932,38.156
70.335,38.211
70.739,38.252
71.145,38.279
71.552,38.297
71.960,38.307
72.368,38.311
72.778,38.311
73.188,38.311
73.599,38.311
74.010,38.315
74.421,38.324
74.832,38.341
75.243,38.367
75.651,38.400
76.056,38.440
76.457,38.485
76.851,38.535
77.239,38.588
77.617,38.643
77.986,38.699
78.344,38.755
78.688,38.810
79.019,38.863
79.338,38.914
79.646,38.964
79.947,39.015
80.245,39.067
80.541,39.123
80.839,39.183
81.143,39.249
81.454,39.322
81.776,39.403
82.108,39.492
82.449,39.588
82.797,39.691
83.152,39.801
83.512,39.917
83.876,40.038
84.242,40.164
84.609,40.294
84.976,40.429
85.342,40.567
85.706,40.707
86.068,40.851
86.427,40.998
86.785,41.148
87.140,41.301
87.494,41.457
87.845,41.616
88.194,41.778
88.541,41.943
88.886,42.110
89.228,42.281
89.569,42.453
89.907,42.628
90.244,42.804
90.578,42.981
90.911,43.157
91.242,43.334
91.571,43.510
91.899,43.684
92.225,43.856
92.550,44.026
92.873,44.193
93.194,44.358
93.512,44.522
93.826,44.686
94.136,44.852
94.441,45.020
94.741,45.191
95.034,45.366
95.320,45.547
95.598,45.734
95.867,45.928
96.124,46.131
96.368,46.342
96.595,46.564
96.803,46.796
96.990,47.040
97.154,47.297
97.291,47.567
97.400,47.851
97.479,48.147
97.526,48.449
97.540,48.753
97.519,49.054
97.463,49.347
97.370,49.627
97.238,49.890
97.067,50.130
96.858,50.347
96.614,50.547
96.341,50.731
96.042,50.905
95.721,51.073
95.382,51.239
95.030,51.407
94.668,51.580
94.301,51.763
93.932,51.960
93.564,52.171
93.197,52.393
92.829,52.623
92.463,52.859
92.098,53.098
91.734,53.337
91.372,53.574
91.010,53.805
90.651,54.030
90.293,54.243
89.938,54.444
89.584,54.629
89.234,54.798
88.886,54.951
88.541,55.090
88.201,55.215
87.865,55.326
87.533,55.425
87.207,55.512
86.887,55.588
86.573,55.653
86.265,55.708
85.963,55.754
85.665,55.790
85.369,55.818
85.075,55.836
84.780,55.846
84.484,55.848
84.184,55.841
83.880,55.827
83.570,55.805
83.256,55.776
82.939,55.743
82.619,55.704
82.298,55.662
81.977,55.618
81.657,55.572
81.338,55.525
81.022,55.479
80.710,55.435
80.402,55.398
80.102,55.372
79.809,55.360
79.525,55.367
79.251,55.396
78.989,55.451
78.740,55.536
78.503,55.650
78.274,55.781
78.050,55.920
77.827,56.056
77.602,56.179
77.369,56.277
77.127,56.341
76.872,56.363
76.609,56.345
76.340,56.290
76.070,56.202
75.803,56.082
75.542,55.936
75.291,55.764
75.055,55.572
74.832,55.362
74.619,55.143
74.411,54.920
74.203,54.700
73.992,54.489
73.773,54.295
73.542,54.123
73.293,53.980
73.026,53.869
72.742,53.784
72.447,53.717
72.144,53.660
71.837,53.605
71.530,53.544
71.228,53.470
70.934,53.374
70.652,53.249
70.384,53.094
70.128,52.911
69.882,52.702
69.647,52.470
69.422,52.217
69.204,51.945
68.993,51.657
68.789,51.356
68.590,51.044
68.395,50.722
68.206,50.393
68.024,50.058
67.849,49.718
67.682,49.375
67.525,49.031
67.377,48.688
67.240,48.346
67.115,48.008
67.003,47.675
66.903,47.348
66.816,47.026
66.742,46.709
66.678,46.395
66.625,46.083
66.581,45.772
66.546,45.460
66.519,45.148
66.500,44.832
66.487,44.513
66.480,44.193
66.477,43.872
66.478,43.554
66.481,43.240
66.486,42.933
66.492,42.633
66.497,42.344
66.501,42.066
66.503,41.801
66.504,41.542
66.503,41.286
66.502,41.029
66.501,40.765
66.500,40.490
66.500,40.201
66.501,39.893
66.509,39.574
66.528,39.254
66.565,38.943
66.625,38.652
66.714,38.391
66.837,38.170
67.000,38.000
