X,Y
50.111,17.778
50.241,17.687
50.400,17.606
50.587,17.536
50.799,17.474
51.034,17.422
51.289,17.377
51.561,17.339
51.849,17.308
52.149,17.283
52.458,17.264
52.776,17.249
53.098,17.238
53.423,17.231
53.748,17.226
54.071,17.223
54.388,17.222
54.698,17.222
55.001,17.222
55.297,17.223
55.586,17.224
55.870,17.226
56.148,17.227
56.421,17.229
56.690,17.230
56.956,17.232
57.219,17.233
57.479,17.233
57.737,17.233
57.994,17.232
58.250,17.230
58.505,17.228
58.761,17.224
59.018,17.220
59.275,17.214
59.534,17.208
59.792,17.202
60.051,17.197
60.310,17.193
60.569,17.191
60.827,17.191
61.084,17.194
61.339,17.201
61.594,17.212
61.846,17.227
62.097,17.247
62.345,17.272
62.591,17.304
62.834,17.343
63.074,17.388
63.312,17.440
63.548,17.496
63.782,17.557
64.015,17.621
64.247,17.688
64.479,17.756
64.712,17.825
64.944,17.894
65.178,17.962
65.414,18.027
65.651,18.090
65.890,18.149
66.133,18.204
66.378,18.253
66.626,18.297
66.876,18.338
67.126,18.377
67.376,18.416
67.624,18.456
67.869,18.499
68.110,18.547
68.347,18.602
68.577,18.664
68.801,18.735
69.016,18.817
69.222,18.912
69.417,19.020
69.602,19.144
69.774,19.285
69.933,19.440
70.081,19.609
70.216,19.789
70.340,19.980
70.451,20.180
70.550,20.386
70.637,20.599
70.712,20.815
70.775,21.034
70.826,21.254
70.864,21.474
70.891,21.691
70.906,21.906
70.910,22.117
70.904,22.327
70.887,22.535
70.862,22.741
70.828,22.947
70.786,23.153
70.738,23.360
70.683,23.567
70.623,23.776
70.558,23.987
70.489,24.201
70.416,24.417
70.340,24.637
70.261,24.860
70.178,25.083
70.092,25.307
70.001,25.531
69.906,25.753
69.807,25.974
69.703,26.191
69.593,26.404
69.479,26.612
69.359,26.815
69.233,27.011
69.101,27.199
68.963,27.379
68.819,27.551
68.669,27.714
68.514,27.871
68.354,28.020
68.189,28.165
68.020,28.305
67.848,28.441
67.673,28.575
67.496,28.706
67.316,28.836
67.135,28.966
66.953,29.096
66.770,29.228
66.587,29.361
66.404,29.496
66.221,29.632
66.037,29.767
65.854,29.902
65.670,30.035
65.486,30.166
65.302,30.294
65.119,30.418
64.935,30.538
64.751,30.652
64.567,30.761
64.384,30.862
64.200,30.957
64.016,31.043
63.831,31.123
63.646,31.195
63.459,31.261
63.270,31.320
63.078,31.372
62.884,31.419
62.686,31.460
62.485,31.495
62.280,31.524
62.071,31.549
61.856,31.568
61.637,31.583
61.413,31.593
61.185,31.599
60.953,31.601
60.717,31.598
60.478,31.593
60.236,31.583
59.991,31.570
59.743,31.555
59.494,31.536
59.242,31.514
58.989,31.490
58.735,31.464
58.479,31.436
58.224,31.405
57.968,31.373
57.715,31.338
57.465,31.300
57.218,31.260
56.977,31.217
56.742,31.170
56.515,31.120
56.296,31.067
56.086,31.010
55.888,30.949
55.701,30.884
55.528,30.815
55.368,30.741
55.223,30.663
55.090,30.579
54.968,30.490
54.857,30.395
54.754,30.293
54.658,30.185
54.568,30.071
54.483,29.948
54.401,29.818
54.320,29.680
54.240,29.535
54.160,29.382
54.078,29.222
53.993,29.055
53.904,28.882
53.810,28.702
53.709,28.516
53.601,28.325
53.483,28.127
53.356,27.924
53.218,27.716
53.071,27.504
52.916,27.290
52.755,27.073
52.590,26.857
52.425,26.642
52.260,26.429
52.097,26.220
51.940,26.016
51.789,25.819
51.647,25.629
51.515,25.449
51.397,25.278
51.294,25.120
51.208,24.974
51.139,24.841
51.085,24.718
51.042,24.600
51.008,24.484
50.977,24.367
50.948,24.243
50.917,24.110
50.879,23.964
50.834,23.802
50.783,23.626
50.725,23.437
50.663,23.237
50.598,23.028
50.531,22.811
50.463,22.587
50.396,22.359
50.330,22.127
50.267,21.894
50.208,21.661
50.154,21.430
50.107,21.202
50.067,20.978
50.034,20.759
50.006,20.545
49.983,20.336
49.965,20.132
49.950,19.933
49.937,19.739
49.927,19.550
49.917,19.367
49.908,19.189
49.898,19.016
49.886,18.849
49.874,18.688
49.865,18.533
49.863,18.386
49.872,18.246
49.898,18.114
49.943,17.992
50.013,17.880
50.111,17.778
