X,Y
31.008,19.147
30.909,19.103
30.813,19.017
30.719,18.896
30.626,18.745
30.534,18.568
30.443,18.371
30.353,18.159
30.262,17.938
30.170,17.711
30.077,17.486
29.982,17.267
29.886,17.058
29.787,16.866
29.685,16.691
29.581,16.530
29.476,16.382
29.370,16.243
29.262,16.112
29.154,15.986
29.047,15.862
28.939,15.739
28.832,15.614
28.727,15.484
28.623,15.347
28.520,15.203
28.419,15.053
28.319,14.899
28.219,14.741
28.120,14.580
28.021,14.419
27.922,14.257
27.822,14.097
27.721,13.940
27.619,13.787
27.516,13.639
27.411,13.496
27.305,13.359
27.197,13.227
27.089,13.097
26.979,12.970
26.869,12.844
26.758,12.718
26.647,12.592
26.537,12.464
26.426,12.332
26.316,12.197
26.206,12.058
26.097,11.915
25.990,11.769
25.883,11.620
25.779,11.469
25.675,11.316
25.574,11.162
25.475,11.007
25.379,10.851
25.285,10.696
25.193,10.542
25.105,10.388
25.020,10.236
24.939,10.085
24.862,9.934
24.790,9.784
24.722,9.634
24.660,9.485
24.603,9.336
24.553,9.187
24.508,9.038
24.471,8.889
24.440,8.740
24.416,8.589
24.398,8.438
24.386,8.287
24.381,8.134
24.382,7.979
24.389,7.823
24.402,7.666
24.420,7.506
24.445,7.345
24.475,7.184
24.513,7.025
24.558,6.870
24.612,6.722
24.675,6.582
24.747,6.453
24.830,6.336
24.925,6.234
25.030,6.149
25.148,6.079
25.275,6.023
25.412,5.979
25.558,5.943
25.711,5.913
25.870,5.888
26.035,5.863
26.205,5.838
26.378,5.810
26.553,5.777
26.730,5.740
26.909,5.701
27.088,5.659
27.267,5.617
27.445,5.576
27.621,5.538
27.794,5.502
27.965,5.471
28.132,5.445
28.294,5.426
28.452,5.415
28.605,5.411
28.755,5.413
28.903,5.421
29.049,5.432
29.194,5.446
29.340,5.463
29.487,5.480
29.637,5.498
29.789,5.515
29.944,5.531
30.103,5.547
30.263,5.563
30.424,5.581
30.587,5.601
30.750,5.624
30.914,5.650
31.076,5.681
31.238,5.717
31.398,5.758
31.557,5.805
31.713,5.858
31.868,5.916
32.021,5.979
32.171,6.047
32.320,6.120
32.467,6.197
32.612,6.278
32.754,6.363
32.895,6.451
33.033,6.542
33.168,6.637
33.301,6.734
33.431,6.833
33.558,6.935
33.680,7.038
33.799,7.143
33.913,7.248
34.023,7.355
34.128,7.462
34.228,7.570
34.322,7.678
34.412,7.786
34.497,7.894
34.576,8.004
34.651,8.113
34.720,8.223
34.785,8.334
34.845,8.445
34.901,8.557
34.955,8.670
35.008,8.784
35.062,8.899
35.118,9.015
35.178,9.133
35.243,9.253
35.315,9.374
35.393,9.498
35.476,9.623
35.562,9.750
35.650,9.878
35.737,10.008
35.822,10.140
35.904,10.274
35.979,10.409
36.048,10.546
36.108,10.684
36.160,10.824
36.204,10.966
36.242,11.109
36.273,11.256
36.299,11.404
36.320,11.556
36.338,11.711
36.351,11.868
36.363,12.030
36.372,12.194
36.378,12.360
36.383,12.528
36.385,12.697
36.385,12.866
36.383,13.034
36.379,13.200
36.372,13.363
36.364,13.523
36.354,13.680
36.342,13.832
36.327,13.980
36.309,14.125
36.289,14.268
36.264,14.409
36.235,14.549
36.202,14.690
36.164,14.831
36.120,14.973
36.071,15.118
36.017,15.263
35.960,15.410
35.901,15.557
35.841,15.704
35.781,15.849
35.721,15.994
35.665,16.136
35.611,16.275
35.562,16.411
35.518,16.544
35.476,16.673
35.435,16.799
35.394,16.921
35.349,17.041
35.300,17.158
35.245,17.273
35.181,17.385
35.109,17.494
35.027,17.600
34.938,17.700
34.842,17.793
34.740,17.877
34.633,17.952
34.521,18.016
34.406,18.067
34.288,18.105
34.168,18.131
34.047,18.150
33.924,18.164
33.802,18.176
33.679,18.189
33.558,18.205
33.438,18.228
33.319,18.257
33.203,18.291
33.088,18.328
32.974,18.365
32.861,18.399
32.749,18.428
32.637,18.449
32.526,18.463
32.416,18.471
32.306,18.478
32.196,18.491
32.086,18.512
31.976,18.547
31.866,18.602
31.755,18.677
31.645,18.769
31.535,18.866
31.426,18.962
31.319,19.047
31.213,19.112
31.109,19.148
31.008,19.147
