X	Y
837.000	571.500
838.302	573.310
839.647	575.252
840.740	577.293
841.311	579.410
841.389	581.652
841.201	584.120
840.974	586.913
840.870	590.069
840.869	593.456
840.922	596.917
840.981	600.292
840.998	603.427
840.959	606.294
840.911	609.090
840.905	612.028
840.992	615.323
841.211	619.138
841.533	623.393
841.911	627.939
842.298	632.625
842.648	637.300
842.913	641.816
843.048	646.027
843.059	649.932
842.998	653.676
842.924	657.409
842.893	661.282
842.962	665.445
843.181	670.030
843.541	675.008
844.005	680.271
844.533	685.708
845.089	691.210
845.634	696.668
846.129	701.972
846.538	707.012
846.843	711.725
847.094	716.175
847.350	720.455
847.674	724.653
848.124	728.861
848.762	733.169
849.642	737.663
850.763	742.389
852.089	747.369
853.583	752.623
855.210	758.175
856.933	764.043
858.716	770.251
860.523	776.819
862.317	783.768
864.069	791.027
865.759	798.307
867.371	805.287
868.888	811.647
870.295	817.066
871.575	821.223
872.711	823.797
873.686	824.468
874.506	823.117
875.215	820.068
875.866	815.701
876.512	810.397
877.206	804.539
877.999	798.507
878.935	792.656
880.019	787.229
881.249	782.444
882.619	778.516
884.127	775.663
885.768	774.100
887.520	773.994
889.242	775.202
890.750	777.465
891.886	780.533
892.684	784.211
893.261	788.327
893.734	792.710
894.221	797.188
894.840	801.591
895.695	805.764
896.789	809.688
898.075	813.408
899.507	816.966
901.042	820.407
902.632	823.775
904.266	827.100
906.043	830.375
908.082	833.580
910.501	836.699
913.419	839.715
916.953	842.610
921.097	845.344
925.681	847.851
930.528	850.060
935.456	851.901
940.286	853.304
944.838	854.201
948.934	854.521
952.518	854.278
955.780	853.647
958.941	852.825
962.220	852.008
965.837	851.391
969.915	851.088
974.378	851.044
979.121	851.182
984.042	851.425
989.037	851.697
994.005	851.920
998.842	852.019
1003.515	851.955
1008.081	851.743
1012.600	851.401
1017.137	850.947
1021.752	850.398
1026.510	849.772
1031.468	849.087
1036.613	848.343
1041.881	847.531
1047.203	846.641
1052.511	845.663
1057.739	844.585
1062.817	843.399
1067.679	842.093
1072.277	840.666
1076.655	839.157
1080.889	837.616
1085.055	836.095
1089.226	834.646
1093.478	833.318
1097.886	832.164
1102.460	831.191
1107.113	830.339
1111.744	829.541
1116.253	828.732
1120.543	827.843
1124.513	826.808
1128.064	825.555
1131.094	823.963
1133.501	821.887
1135.182	819.179
1136.035	815.694
1136.013	811.362
1135.250	806.359
1133.914	800.910
1132.174	795.237
1130.198	789.566
1128.156	784.120
1126.214	779.124
1124.542	774.799
1123.281	771.224
1122.529	768.229
1122.377	765.620
1122.919	763.203
1124.181	760.805
1125.852	758.343
1127.513	755.771
1128.743	753.039
1129.148	750.101
1128.680	746.962
1127.533	743.663
1125.903	740.242
1123.987	736.741
1121.980	733.197
1119.994	729.618
1118.060	725.979
1116.209	722.253
1114.469	718.414
1112.870	714.435
1111.442	710.297
1110.275	706.199
1109.537	702.618
1109.397	700.052
1110.027	698.996
1111.536	699.761
1113.803	701.963
1116.653	705.058
1119.912	708.503
1123.406	711.752
1126.964	714.285
1130.508	715.980
1134.036	717.070
1137.552	717.798
1141.058	718.405
1144.556	719.134
1148.046	720.173
1151.528	721.569
1154.999	723.349
1158.456	725.538
