X,Y
3992.000,2746.000
3993.548,2756.667
3994.907,2768.693
3996.105,2781.948
3997.172,2796.300
3998.138,2811.619
3999.031,2827.772
3999.883,2844.629
4000.721,2862.060
4001.575,2879.931
4002.476,2898.113
4003.452,2916.474
4004.533,2934.884
4005.748,2953.210
4007.127,2971.322
4008.700,2989.089
4010.495,3006.379
4012.543,3023.061
4014.873,3039.005
4017.513,3054.078
4020.495,3068.151
4023.825,3081.155
4027.460,3093.187
4031.348,3104.363
4035.434,3114.804
4039.667,3124.630
4043.994,3133.958
4048.362,3142.909
4052.719,3151.601
4057.012,3160.155
4061.188,3168.688
4065.195,3177.320
4068.980,3186.170
4072.490,3195.358
4075.696,3204.944
4078.625,3214.835
4081.315,3224.915
4083.804,3235.066
4086.131,3245.172
4088.332,3255.116
4090.446,3264.781
4092.510,3274.050
4094.563,3282.805
4096.641,3290.931
4098.784,3298.310
4101.027,3304.830
4103.410,3310.510
4105.966,3315.524
4108.733,3320.051
4111.747,3324.270
4115.042,3328.362
4118.655,3332.506
4122.618,3336.873
4126.910,3341.536
4131.478,3346.496
4136.266,3351.754
4141.219,3357.314
4146.281,3363.176
4151.397,3369.341
4156.514,3375.812
4161.573,3382.589
4166.525,3389.673
4171.375,3397.030
4176.190,3404.594
4181.037,3412.298
4185.982,3420.073
4191.095,3427.854
4196.443,3435.570
4202.092,3443.156
4208.111,3450.544
4214.568,3457.667
4221.529,3464.456
4229.063,3470.845
4237.202,3476.777
4245.883,3482.229
4255.030,3487.182
4264.564,3491.617
4274.410,3495.516
4284.489,3498.859
4294.724,3501.629
4305.038,3503.805
4315.353,3505.370
4325.591,3506.304
4335.676,3506.590
4345.530,3506.207
4355.085,3505.150
4364.367,3503.519
4373.446,3501.472
4382.394,3499.166
4391.282,3496.758
4400.184,3494.407
4409.170,3492.270
4418.313,3490.504
4427.685,3489.268
4437.357,3488.718
4447.401,3489.012
4457.889,3490.309
4468.790,3492.643
4479.830,3495.764
4490.699,3499.378
4501.087,3503.193
4510.686,3506.916
4519.185,3510.253
4526.274,3512.912
4531.644,3514.599
4534.986,3515.021
4535.989,3513.885
4534.561,3511.034
4531.340,3506.772
4527.114,3501.497
4522.672,3495.606
4518.806,3489.498
4516.302,3483.571
4515.952,3478.224
4518.360,3473.796
4523.292,3470.362
4530.271,3467.917
4538.819,3466.459
4548.460,3465.985
4558.718,3466.491
4569.115,3467.974
4579.175,3470.431
4588.421,3473.858
4596.376,3478.253
4602.710,3483.573
4607.597,3489.639
4611.317,3496.242
4614.150,3503.175
4616.377,3510.230
4618.278,3517.199
4620.134,3523.874
4622.225,3530.047
4624.831,3535.512
4628.147,3540.152
4632.230,3544.012
4637.119,3547.150
4642.854,3549.626
4649.474,3551.499
4657.020,3552.827
4665.531,3553.670
4675.048,3554.086
4685.545,3554.119
4696.892,3553.782
4708.946,3553.088
4721.569,3552.048
4734.619,3550.675
4747.955,3548.980
4761.437,3546.977
4774.923,3544.676
4788.273,3542.090
4801.347,3539.230
4814.003,3536.110
4826.101,3532.741
4837.500,3529.135
4848.060,3525.304
4857.639,3521.260
4866.184,3517.035
4873.846,3512.708
4880.805,3508.364
4887.240,3504.087
4893.334,3499.964
4899.265,3496.079
4905.214,3492.517
4911.362,3489.364
4917.889,3486.705
4924.957,3484.618
4932.546,3483.104
4940.527,3482.117
4948.768,3481.610
4957.135,3481.537
4965.499,3481.852
4973.727,3482.508
4981.687,3483.459
4989.247,3484.659
4996.276,3486.061
5002.688,3487.592
5008.561,3489.082
5014.011,3490.342
5019.151,3491.182
5024.097,3491.412
5028.963,3490.842
5033.860,3489.286
5038.728,3486.741
5043.266,3483.458
5047.159,3479.706
5050.092,3475.753
5051.748,3471.868
5051.837,3468.311
5050.650,3465.138
5049.081,3462.193
5048.046,3459.312
5048.432,3456.334
5050.476,3453.209
5053.856,3449.976
5058.231,3446.678
5063.260,3443.359
5068.601,3440.062
5073.916,3436.832
5079.019,3433.721
5083.941,3430.795
5088.731,3428.124
5093.438,3425.773
5098.107,3423.811
5102.789,3422.305
5107.528,3421.313
5112.358,3420.796
5117.304,3420.667
5122.391,3420.837
5127.643,3421.217
5133.087,3421.720
5138.740,3422.254
5144.485,3422.675
5150.053,3422.781
5155.171,3422.367
5159.566,3421.227
5162.964,3419.158
5165.111,3415.972
5166.067,3411.767
5166.137,3406.865
5165.631,3401.594
5164.863,3396.279
5164.144,3391.248
5163.771,3386.797
5163.923,3382.929
5164.713,3379.490
5166.253,3376.324
5168.656,3373.277
5171.888,3370.221
5175.632,3367.088
5179.535,3363.814
5183.244,3360.339
5186.406,3356.600
5188.672,3352.536
5189.901,3348.164
5190.263,3343.613
5189.952,3339.026
5189.161,3334.540
5188.085,3330.298
5186.962,3326.428
5186.257,3323.013
5186.503,3320.120
5188.234,3317.815
5191.785,3316.118
5196.881,3314.906
5203.136,3314.029
5210.159,3313.336
5217.563,3312.677
5224.960,3311.903
5231.960,3310.862
5238.180,3309.406
5243.414,3307.452
5247.711,3305.012
5251.139,3302.103
5253.765,3298.742
5255.656,3294.949
5256.883,3290.746
5257.527,3286.202
5257.680,3281.409
5257.430,3276.460
5256.867,3271.445
5256.081,3266.456
5255.181,3261.578
5254.382,3256.857
5253.932,3252.328
5254.080,3248.023
5255.074,3243.976
5257.152,3240.219
5260.245,3236.721
5263.970,3233.390
5267.927,3230.129
5271.719,3226.842
5274.947,3223.433
5277.236,3219.811
5278.583,3215.968
5279.273,3211.959
5279.599,3207.845
5279.852,3203.681
5280.317,3199.526
5281.153,3195.429
5282.423,3191.431
5284.184,3187.574
5286.496,3183.900
5289.414,3180.449
5292.863,3177.235
5296.627,3174.238
5300.480,3171.438
5304.199,3168.814
5307.557,3166.345
5310.367,3164.014
5312.664,3161.808
5314.569,3159.721
5316.204,3157.746
5317.650,3155.791
5318.882,3153.536
5319.856,3150.621
5320.542,3146.742
5321.014,3141.977
5321.387,3136.560
5321.776,3130.731
5322.299,3124.727
5323.071,3118.784
5324.208,3113.140
5325.789,3107.952
5327.798,3103.170
5330.207,3098.715
5332.985,3094.507
