X	Y
339.000	209.000
340.326	207.755
341.923	206.762
343.739	205.994
345.723	205.424
347.826	205.026
350.003	204.772
352.239	204.643
354.528	204.618
356.865	204.678
359.245	204.804
361.663	204.974
364.113	205.173
366.597	205.407
369.119	205.687
371.681	206.027
374.288	206.440
376.943	206.939
379.649	207.535
382.404	208.237
385.185	209.029
387.968	209.891
390.727	210.805
393.435	211.749
396.066	212.706
398.596	213.655
401.000	214.578
403.290	215.472
405.503	216.346
407.674	217.208
409.840	218.067
412.039	218.932
414.306	219.811
416.660	220.705
419.091	221.604
421.589	222.497
424.143	223.373
426.742	224.220
429.376	225.029
432.032	225.788
434.695	226.491
437.337	227.144
439.932	227.749
442.454	228.312
444.876	228.835
447.171	229.324
449.314	229.779
451.298	230.175
453.126	230.464
454.803	230.596
456.334	230.523
457.736	230.225
459.093	229.833
460.511	229.533
462.098	229.509
463.924	229.891
465.931	230.614
468.036	231.574
470.153	232.665
472.200	233.783
474.093	234.824
475.811	235.728
477.427	236.507
479.026	237.178
480.690	237.759
482.501	238.267
484.470	238.722
486.551	239.149
488.694	239.571
490.851	240.011
492.972	240.493
495.023	241.035
497.025	241.628
499.019	242.260
501.044	242.917
503.137	243.583
505.336	244.246
507.647	244.889
510.026	245.489
512.428	246.024
514.806	246.473
517.114	246.812
519.306	247.021
521.362	247.095
523.330	247.077
525.267	247.020
527.232	246.975
529.283	246.993
531.463	247.113
533.732	247.313
536.019	247.547
538.256	247.770
540.373	247.937
542.301	248.002
543.986	247.976
545.410	248.006
546.561	248.259
547.431	248.897
548.070	249.928
548.577	251.227
549.055	252.663
549.574	254.132
550.105	255.611
550.601	257.090
551.014	258.559
551.309	260.012
551.482	261.455
551.536	262.896
551.476	264.341
551.309	265.793
551.051	267.240
550.722	268.668
550.338	270.065
549.902	271.439
549.403	272.822
548.827	274.247
548.160	275.748
547.386	277.310
546.487	278.876
545.442	280.382
544.235	281.769
542.855	282.986
541.353	284.062
539.809	285.060
538.300	286.045
536.904	287.078
535.670	288.201
534.539	289.382
533.436	290.577
532.283	291.739
531.013	292.830
529.620	293.864
528.131	294.881
526.572	295.920
524.969	297.022
523.346	298.211
521.704	299.458
520.041	300.717
518.357	301.945
516.648	303.096
514.914	304.132
513.155	305.065
511.373	305.950
509.570	306.840
507.749	307.791
505.910	308.856
504.061	310.038
502.217	311.263
500.391	312.446
498.599	313.505
496.856	314.356
495.174	314.933
493.543	315.293
491.945	315.549
490.359	315.813
488.766	316.198
487.138	316.746
485.441	317.423
483.637	318.193
481.690	319.018
479.566	319.861
477.272	320.682
474.865	321.440
472.407	322.092
469.959	322.597
467.582	322.913
465.339	322.997
463.264	322.837
461.316	322.511
459.435	322.116
457.565	321.750
455.645	321.510
453.628	321.473
451.520	321.621
449.340	321.904
447.111	322.272
444.854	322.677
442.588	323.068
440.337	323.417
438.120	323.741
435.958	324.063
433.873	324.407
431.885	324.797
430.015	325.252
428.267	325.717
426.634	326.065
425.108	326.168
423.680	325.898
422.350	325.184
421.137	324.066
420.063	322.603
419.149	320.850
418.406	318.873
417.777	316.807
417.174	314.817
416.512	313.067
415.702	311.721
414.665	310.919
413.375	310.617
411.832	310.686
410.038	310.992
407.998	311.420
405.751	311.905
403.345	312.399
400.824	312.854
398.236	313.222
395.628	313.454
393.045	313.506
390.515	313.405
388.054	313.240
385.678	313.100
383.400	313.076
381.236	313.256
379.201	313.728
377.301	314.451
375.537	315.221
373.905	315.822
372.406	316.039
371.030	315.682
369.717	314.819
368.371	313.664
366.900	312.433
365.208	311.342
363.274	310.515
361.249	309.847
359.312	309.199
357.644	308.431
356.422	307.404
355.752	306.024
355.499	304.342
355.484	302.436
355.527	300.385
355.449	298.268
355.158	296.142
354.688	294.027
354.086	291.945
353.399	289.913
352.673	287.952
351.950	286.077
351.245	284.263
350.559	282.468
349.893	280.648
349.246	278.761
348.620	276.766
348.030	274.676
347.498	272.541
347.049	270.415
346.706	268.347
346.492	266.391
346.409	264.575
346.385	262.853
346.333	261.162
346.164	259.440
345.796	257.625
345.220	255.713
344.511	253.754
343.750	251.804
343.014	249.918
342.383	248.151
341.891	246.527
341.470	245.001
341.036	243.519
340.511	242.027
339.835	240.483
339.054	238.889
338.240	237.262
337.465	235.615
336.800	233.965
336.286	232.315
335.910	230.657
335.658	228.978
335.514	227.265
335.462	225.509
335.493	223.707
335.598	221.859
335.769	219.965
335.997	218.026
336.283	216.053
336.673	214.099
337.219	212.229
337.976	210.508
339.000	209.000
