X,Y
355.000,188.000
356.813,186.613
358.939,185.567
361.336,184.817
363.959,184.319
366.767,184.027
369.715,183.895
372.762,183.879
375.863,183.933
378.977,184.012
382.072,184.083
385.146,184.143
388.204,184.195
391.249,184.241
394.284,184.283
397.313,184.323
400.341,184.363
403.370,184.406
406.403,184.454
409.446,184.509
412.499,184.572
415.564,184.644
418.639,184.725
421.725,184.813
424.820,184.910
427.924,185.013
431.036,185.124
434.157,185.242
437.285,185.366
440.420,185.497
443.560,185.634
446.695,185.783
449.816,185.948
452.910,186.137
455.967,186.353
458.975,186.603
461.925,186.893
464.804,187.228
467.602,187.613
470.308,188.054
472.916,188.551
475.434,189.088
477.874,189.645
480.247,190.202
482.564,190.739
484.836,191.238
487.075,191.679
489.291,192.043
491.492,192.320
493.676,192.532
495.838,192.705
497.976,192.865
500.083,193.039
502.158,193.252
504.195,193.531
506.191,193.898
508.139,194.369
510.036,194.957
511.874,195.675
513.649,196.538
515.355,197.557
516.986,198.746
518.526,200.097
519.950,201.589
521.236,203.202
522.358,204.914
523.293,206.704
524.017,208.551
524.526,210.433
524.895,212.329
525.215,214.219
525.579,216.079
526.077,217.890
526.802,219.630
527.832,221.279
529.153,222.827
530.700,224.273
532.412,225.611
534.226,226.840
536.079,227.955
537.910,228.953
539.665,229.841
541.338,230.674
542.934,231.520
544.461,232.447
545.924,233.525
547.330,234.821
548.669,236.375
549.845,238.053
550.727,239.663
551.186,241.009
551.092,241.898
550.360,242.190
549.224,242.150
548.058,242.221
547.231,242.837
546.893,244.153
546.907,245.958
547.118,248.019
547.370,250.102
547.506,251.971
547.390,253.416
547.069,254.497
546.715,255.444
546.501,256.490
546.558,257.820
546.858,259.417
547.326,261.210
547.891,263.131
548.479,265.109
549.019,267.075
549.434,268.935
549.633,270.509
549.523,271.598
549.010,272.000
548.053,271.620
546.837,270.785
545.604,269.933
544.597,269.502
544.018,269.864
543.843,270.993
543.966,272.725
544.278,274.891
544.675,277.326
545.048,279.863
545.324,282.371
545.512,284.815
545.638,287.172
545.723,289.422
545.794,291.542
545.873,293.512
545.984,295.311
546.150,296.928
546.373,298.424
546.653,299.880
546.989,301.381
547.380,303.008
547.825,304.836
548.318,306.850
548.854,308.985
549.426,311.176
550.029,313.357
550.655,315.464
551.299,317.432
551.956,319.201
552.642,320.782
553.385,322.228
554.212,323.591
555.151,324.923
556.231,326.278
557.462,327.691
558.820,329.158
560.275,330.670
561.796,332.217
563.355,333.792
564.920,335.384
566.463,336.985
567.967,338.585
569.438,340.174
570.884,341.738
572.313,343.269
573.732,344.753
575.151,346.180
576.576,347.539
578.008,348.831
579.436,350.072
580.849,351.279
582.236,352.469
583.586,353.660
584.889,354.869
586.142,356.112
587.362,357.403
588.567,358.757
589.773,360.188
590.998,361.710
592.259,363.339
593.530,365.058
594.688,366.787
595.600,368.438
596.130,369.921
596.143,371.147
595.519,372.033
594.310,372.561
592.688,372.758
590.827,372.653
588.899,372.272
587.074,371.646
585.413,370.804
583.874,369.782
582.414,368.615
580.986,367.336
579.546,365.982
578.051,364.586
576.474,363.179
574.827,361.783
573.122,360.421
571.374,359.112
569.595,357.880
567.800,356.746
566.002,355.732
564.209,354.847
562.423,354.082
560.645,353.424
558.876,352.861
557.115,352.380
555.363,351.970
553.626,351.631
551.925,351.404
550.284,351.337
548.727,351.480
547.280,351.882
545.961,352.577
544.757,353.499
543.638,354.531
542.574,355.561
541.535,356.472
540.492,357.170
539.408,357.647
538.247,357.918
536.974,358.000
535.564,357.919
534.042,357.747
532.446,357.563
530.813,357.448
529.179,357.483
527.578,357.734
526.029,358.185
524.545,358.791
523.139,359.508
521.825,360.291
520.611,361.098
519.463,361.901
518.325,362.677
517.138,363.408
515.846,364.071
514.434,364.675
513.005,365.305
511.682,366.062
510.592,367.048
509.857,368.362
509.509,370.025
509.403,371.904
509.369,373.846
509.243,375.700
508.855,377.314
508.044,378.541
506.770,379.353
505.120,379.844
503.187,380.114
501.062,380.263
498.840,380.391
496.612,380.598
494.479,380.951
492.548,381.475
490.927,382.192
489.725,383.126
489.050,384.299
488.972,385.720
489.314,387.317
489.803,388.983
490.166,390.613
490.129,392.101
489.446,393.353
488.167,394.404
486.509,395.367
484.693,396.351
482.941,397.470
481.474,398.834
480.501,400.549
480.055,402.599
480.025,404.876
480.298,407.266
480.758,409.657
481.292,411.937
481.785,413.994
482.124,415.716
482.189,417.043
481.860,417.970
481.015,418.496
479.597,418.652
477.818,418.609
475.958,418.575
474.299,418.754
473.123,419.353
472.650,420.520
472.701,422.012
472.940,423.436
473.031,424.395
472.673,424.546
471.842,423.946
470.644,422.837
469.184,421.458
467.566,420.053
465.910,418.846
464.393,417.988
463.210,417.609
462.557,417.837
462.586,418.758
463.093,420.082
463.693,421.324
464.000,422.003
463.716,421.748
462.883,420.640
461.627,418.867
460.076,416.618
458.355,414.081
456.590,411.444
454.908,408.895
453.433,406.620
452.219,404.692
451.230,403.046
450.426,401.603
449.766,400.286
449.208,399.020
448.710,397.730
448.222,396.395
447.686,395.037
447.045,393.677
446.239,392.337
445.219,391.035
443.992,389.757
442.600,388.474
441.083,387.155
439.482,385.771
437.837,384.290
436.189,382.684
434.568,380.950
432.979,379.147
431.422,377.346
429.900,375.614
428.414,374.023
426.964,372.640
425.553,371.536
424.179,370.751
422.828,370.208
421.484,369.794
420.130,369.395
418.748,368.898
417.333,368.228
415.896,367.392
414.456,366.411
413.030,365.305
411.634,364.094
410.285,362.798
408.982,361.441
407.707,360.046
406.443,358.636
405.170,357.235
403.873,355.868
402.533,354.556
401.144,353.304
399.718,352.084
398.269,350.866
396.811,349.619
395.356,348.313
393.919,346.918
392.509,345.414
391.119,343.816
389.740,342.146
388.363,340.425
386.979,338.676
385.578,336.920
384.151,335.180
382.691,333.473
381.209,331.798
379.717,330.146
378.232,328.505
376.767,326.869
375.336,325.226
373.955,323.568
372.636,321.887
371.370,320.182
370.133,318.464
368.902,316.738
367.653,315.014
366.362,313.299
365.005,311.601
363.562,309.926
362.057,308.267
360.541,306.604
359.069,304.919
357.693,303.192
356.468,301.406
355.446,299.540
354.679,297.577
354.169,295.519
353.863,293.391
353.704,291.220
353.638,289.030
353.608,286.849
353.559,284.701
353.435,282.614
353.216,280.598
352.922,278.645
352.577,276.748
352.203,274.898
351.824,273.087
351.462,271.308
351.136,269.542
350.847,267.751
350.595,265.890
350.381,263.914
350.204,261.779
350.064,259.439
349.960,256.852
349.890,254.007
349.849,250.929
349.833,247.649
349.837,244.197
349.855,240.600
349.883,236.889
349.917,233.094
349.950,229.243
349.978,225.366
349.997,221.492
350.001,217.651
349.990,213.872
349.990,210.188
350.040,206.630
350.178,203.231
350.443,200.023
