X,Y
1.542,2.296
1.540,2.287
1.542,2.277
1.547,2.266
1.554,2.253
1.564,2.240
1.576,2.226
1.590,2.211
1.604,2.196
1.620,2.181
1.636,2.165
1.652,2.150
1.668,2.135
1.683,2.120
1.697,2.106
1.710,2.092
1.722,2.079
1.732,2.067
1.741,2.055
1.750,2.044
1.757,2.033
1.764,2.022
1.771,2.012
1.777,2.001
1.783,1.991
1.790,1.981
1.797,1.970
1.804,1.960
1.812,1.949
1.820,1.938
1.829,1.926
1.837,1.915
1.847,1.903
1.856,1.891
1.865,1.879
1.874,1.867
1.884,1.855
1.893,1.843
1.902,1.830
1.911,1.817
1.920,1.804
1.929,1.792
1.937,1.779
1.946,1.766
1.955,1.754
1.963,1.741
1.971,1.729
1.980,1.718
1.988,1.706
1.997,1.695
2.006,1.685
2.014,1.675
2.023,1.665
2.032,1.656
2.041,1.647
2.051,1.639
2.060,1.631
2.069,1.622
2.079,1.614
2.089,1.606
2.099,1.597
2.109,1.589
2.119,1.580
2.129,1.571
2.140,1.562
2.151,1.553
2.162,1.543
2.173,1.534
2.184,1.524
2.195,1.514
2.207,1.505
2.219,1.495
2.231,1.486
2.243,1.476
2.255,1.467
2.268,1.457
2.281,1.448
2.293,1.439
2.306,1.430
2.319,1.420
2.332,1.411
2.345,1.401
2.358,1.392
2.371,1.382
2.384,1.372
2.397,1.362
2.410,1.351
2.422,1.340
2.435,1.329
2.447,1.318
2.459,1.307
2.472,1.296
2.484,1.285
2.496,1.274
2.508,1.264
2.520,1.254
2.533,1.244
2.545,1.235
2.557,1.227
2.570,1.219
2.582,1.212
2.594,1.206
2.607,1.200
2.620,1.195
2.633,1.190
2.645,1.186
2.658,1.182
2.672,1.178
2.685,1.173
2.698,1.169
2.712,1.164
2.725,1.159
2.739,1.154
2.753,1.148
2.767,1.143
2.781,1.137
2.795,1.131
2.809,1.125
2.824,1.119
2.838,1.113
2.853,1.107
2.868,1.102
2.883,1.097
2.898,1.092
2.913,1.089
2.929,1.085
2.944,1.082
2.960,1.080
2.976,1.078
2.991,1.076
3.006,1.074
3.022,1.073
3.037,1.072
3.052,1.072
3.066,1.071
3.081,1.071
3.095,1.070
3.108,1.070
3.121,1.070
3.134,1.070
3.147,1.070
3.160,1.070
3.173,1.071
3.186,1.072
3.198,1.073
3.212,1.074
3.225,1.076
3.238,1.078
3.252,1.081
3.266,1.084
3.280,1.088
3.294,1.091
3.308,1.095
3.322,1.099
3.335,1.103
3.348,1.107
3.360,1.112
3.371,1.116
3.382,1.120
3.392,1.125
3.401,1.129
3.410,1.133
3.418,1.138
3.426,1.143
3.434,1.149
3.442,1.155
3.450,1.162
3.459,1.169
3.468,1.177
3.477,1.186
3.486,1.196
3.495,1.205
3.504,1.216
3.512,1.227
3.520,1.238
3.526,1.249
3.532,1.260
3.537,1.272
3.540,1.284
3.543,1.295
3.544,1.307
3.545,1.318
3.545,1.330
3.545,1.341
3.544,1.352
3.543,1.363
3.542,1.374
3.541,1.384
3.540,1.394
3.538,1.404
3.537,1.414
3.534,1.425
3.532,1.435
3.529,1.445
3.525,1.456
3.520,1.467
3.515,1.479
3.508,1.491
3.501,1.503
3.494,1.516
3.486,1.528
3.477,1.540
3.468,1.553
