X,Y
1.810,2.268
1.815,2.257
1.821,2.246
1.828,2.235
1.836,2.223
1.845,2.211
1.855,2.198
1.865,2.186
1.876,2.174
1.887,2.162
1.899,2.150
1.910,2.139
1.922,2.128
1.933,2.118
1.945,2.108
1.957,2.099
1.968,2.090
1.980,2.082
1.992,2.074
2.004,2.066
2.016,2.058
2.028,2.050
2.040,2.042
2.052,2.033
2.064,2.025
2.076,2.017
2.089,2.008
2.102,2.000
2.115,1.992
2.128,1.984
2.141,1.976
2.155,1.968
2.169,1.961
2.184,1.954
2.199,1.948
2.215,1.942
2.231,1.937
2.248,1.933
2.265,1.928
2.283,1.925
2.301,1.921
2.319,1.918
2.337,1.914
2.356,1.911
2.375,1.908
2.394,1.904
2.413,1.901
2.432,1.897
2.451,1.893
2.470,1.888
2.489,1.883
2.508,1.877
2.526,1.871
2.545,1.864
2.564,1.858
2.582,1.851
2.601,1.844
2.619,1.836
2.638,1.829
2.657,1.822
2.676,1.815
2.694,1.809
2.714,1.803
2.733,1.797
2.752,1.791
2.772,1.786
2.792,1.781
2.812,1.777
2.832,1.774
2.852,1.770
2.872,1.768
2.892,1.765
2.911,1.763
2.931,1.761
2.950,1.759
2.970,1.758
2.988,1.757
3.007,1.756
3.025,1.755
3.042,1.754
3.059,1.753
3.076,1.752
3.092,1.752
3.108,1.751
3.123,1.751
3.139,1.750
3.154,1.750
3.169,1.750
3.184,1.751
3.200,1.751
3.215,1.752
3.231,1.753
3.248,1.754
3.264,1.756
3.281,1.758
3.299,1.760
3.316,1.763
3.334,1.766
3.352,1.770
3.370,1.774
3.389,1.778
3.407,1.783
3.425,1.788
3.443,1.794
3.460,1.800
3.478,1.807
3.495,1.814
3.512,1.821
3.528,1.830
3.544,1.838
3.560,1.847
3.575,1.856
3.589,1.865
3.603,1.874
3.616,1.884
3.628,1.893
3.640,1.903
3.651,1.912
3.660,1.921
3.669,1.930
3.677,1.939
3.684,1.947
3.691,1.956
3.696,1.965
3.701,1.974
3.706,1.984
3.709,1.994
3.713,2.005
3.716,2.016
3.718,2.027
3.720,2.040
3.722,2.052
3.724,2.065
3.726,2.078
3.728,2.091
3.730,2.104
3.732,2.116
3.734,2.129
3.736,2.142
3.738,2.154
3.739,2.166
3.739,2.178
3.739,2.190
3.737,2.201
3.733,2.212
3.727,2.222
3.720,2.233
3.710,2.242
3.698,2.252
3.684,2.261
3.670,2.269
3.654,2.278
3.637,2.286
3.619,2.293
3.601,2.300
3.582,2.307
3.564,2.314
3.546,2.320
3.528,2.326
3.510,2.332
3.494,2.338
3.478,2.343
3.463,2.348
3.449,2.353
3.435,2.357
3.422,2.362
3.408,2.366
3.396,2.370
3.383,2.373
3.371,2.377
3.359,2.380
3.347,2.384
3.335,2.387
3.322,2.390
3.310,2.392
3.298,2.395
3.285,2.398
3.272,2.401
3.259,2.403
3.246,2.406
3.232,2.408
3.218,2.411
3.203,2.414
3.189,2.416
3.174,2.419
3.159,2.422
3.144,2.424
3.129,2.427
3.114,2.429
3.099,2.431
3.084,2.434
3.070,2.436
3.056,2.438
3.043,2.439
3.029,2.441
3.017,2.443
3.004,2.444
2.991,2.445
2.978,2.447
2.965,2.448
2.952,2.449
2.939,2.450
2.925,2.451
2.911,2.452
2.896,2.453
2.881,2.454
2.866,2.456
2.851,2.457
2.835,2.458
2.819,2.459
2.803,2.460
2.787,2.461
2.771,2.463
2.755,2.464
2.739,2.465
2.723,2.467
2.708,2.468
2.692,2.470
2.676,2.471
2.661,2.472
2.646,2.474
2.631,2.475
2.616,2.476
2.601,2.477
2.587,2.478
2.573,2.479
2.560,2.479
2.547,2.480
2.534,2.480
2.522,2.480
2.510,2.480
2.499,2.480
2.488,2.479
2.477,2.479
2.467,2.479
2.458,2.479
2.448,2.478
2.440,2.478
2.431,2.477
2.422,2.476
2.413,2.474
2.404,2.472
2.394,2.470
2.384,2.467
2.374,2.464
2.364,2.460
2.354,2.457
2.344,2.454
2.334,2.452
2.325,2.451
2.316,2.450
2.308,2.451
2.300,2.452
2.291,2.454
2.283,2.455
2.274,2.457
2.265,2.458
2.255,2.459
2.245,2.459
2.234,2.459
2.224,2.459
2.213,2.459
2.202,2.458
2.191,2.458
2.181,2.458
2.172,2.458
2.162,2.458
2.153,2.458
2.144,2.459
2.134,2.460
2.125,2.462
2.115,2.464
2.104,2.467
2.093,2.470
2.082,2.474
2.070,2.477
2.058,2.481
2.047,2.484
2.036,2.488
2.025,2.491
2.015,2.493
2.006,2.494
1.997,2.495
1.988,2.496
1.980,2.496
1.971,2.495
1.962,2.494
1.952,2.493
1.940,2.492
1.928,2.490
1.916,2.488
1.903,2.486
1.889,2.484
1.876,2.481
1.863,2.477
1.851,2.474
1.840,2.469
1.829,2.464
1.820,2.458
1.812,2.451
1.805,2.444
1.799,2.436
1.795,2.428
1.791,2.419
1.789,2.410
1.788,2.401
1.788,2.391
1.788,2.380
1.789,2.370
1.791,2.360
1.793,2.350
1.794,2.340
1.796,2.330
1.797,2.321
1.798,2.313
1.799,2.304
1.801,2.295
1.803,2.287
1.806,2.277
1.810,2.268
