X,Y
37.688,10.050
37.765,9.938
37.856,9.831
37.960,9.729
38.074,9.631
38.200,9.538
38.334,9.449
38.477,9.363
38.628,9.282
38.785,9.203
38.947,9.127
39.114,9.054
39.286,8.983
39.461,8.915
39.639,8.847
39.820,8.781
40.004,8.716
40.189,8.651
40.376,8.586
40.564,8.521
40.753,8.455
40.942,8.388
41.131,8.319
41.319,8.248
41.506,8.176
41.693,8.101
41.880,8.026
42.066,7.949
42.252,7.871
42.438,7.792
42.625,7.712
42.812,7.633
42.999,7.553
43.187,7.473
43.376,7.393
43.566,7.314
43.757,7.236
43.949,7.159
44.141,7.082
44.333,7.006
44.525,6.932
44.715,6.858
44.904,6.785
45.090,6.713
45.274,6.642
45.454,6.572
45.631,6.503
45.803,6.435
45.971,6.368
46.134,6.302
46.292,6.237
46.448,6.171
46.603,6.106
46.759,6.039
46.916,5.970
47.076,5.899
47.242,5.826
47.413,5.749
47.592,5.669
47.780,5.584
47.979,5.494
48.188,5.400
48.404,5.302
48.626,5.202
48.849,5.101
49.072,5.001
49.291,4.902
49.504,4.806
49.707,4.714
49.898,4.627
50.075,4.548
50.234,4.476
50.373,4.413
50.488,4.361
50.579,4.320
50.652,4.288
50.719,4.260
50.788,4.234
50.871,4.204
50.977,4.169
51.110,4.125
51.267,4.075
51.447,4.019
51.645,3.958
51.860,3.894
52.088,3.827
52.326,3.760
52.573,3.692
52.824,3.625
53.078,3.560
53.331,3.498
53.581,3.440
53.825,3.388
54.060,3.342
54.284,3.304
54.498,3.272
54.702,3.246
54.898,3.225
55.087,3.210
55.268,3.198
55.443,3.190
55.612,3.185
55.777,3.183
55.938,3.182
56.097,3.182
56.253,3.183
56.407,3.184
56.560,3.186
56.711,3.189
56.861,3.194
57.010,3.201
57.157,3.211
57.304,3.224
57.449,3.241
57.593,3.262
57.737,3.288
57.879,3.318
58.020,3.353
58.160,3.393
58.298,3.438
58.434,3.487
58.567,3.540
58.699,3.598
58.827,3.660
58.953,3.726
59.074,3.798
59.190,3.875
59.296,3.961
59.393,4.054
59.477,4.158
59.546,4.273
59.599,4.400
59.633,4.541
59.648,4.696
59.644,4.863
59.624,5.041
59.590,5.227
59.544,5.419
59.488,5.615
59.423,5.814
59.353,6.013
59.278,6.209
59.202,6.402
59.125,6.589
59.050,6.768
58.979,6.937
58.911,7.097
58.844,7.250
58.777,7.398
58.709,7.541
58.637,7.682
58.562,7.822
58.480,7.962
58.391,8.105
58.293,8.252
58.185,8.404
58.067,8.562
57.944,8.723
57.818,8.886
57.696,9.047
57.581,9.204
57.478,9.355
57.392,9.497
57.327,9.628
57.288,9.744
57.278,9.844
57.303,9.926
57.353,9.990
57.407,10.044
57.446,10.092
57.450,10.142
57.405,10.198
57.317,10.259
57.197,10.327
57.054,10.400
56.896,10.480
56.733,10.565
56.575,10.657
56.430,10.755
56.308,10.858
56.217,10.968
56.155,11.081
56.113,11.197
56.085,11.314
56.061,11.428
56.033,11.538
55.994,11.642
55.936,11.737
55.853,11.823
55.749,11.901
55.627,11.972
55.493,12.039
55.351,12.105
55.206,12.169
55.061,12.236
54.922,12.306
54.792,12.382
54.675,12.466
54.571,12.555
54.476,12.650
54.387,12.749
54.300,12.850
54.213,12.952
54.123,13.052
54.026,13.151
53.919,13.246
53.801,13.336
53.674,13.421
53.541,13.504
53.405,13.583
53.269,13.661
53.137,13.737
53.011,13.812
52.895,13.887
52.791,13.963
52.702,14.041
52.625,14.116
52.554,14.186
52.482,14.246
52.404,14.291
52.314,14.317
52.204,14.320
52.078,14.302
51.946,14.272
51.820,14.241
51.712,14.218
51.631,14.213
51.591,14.234
51.599,14.290
51.646,14.376
51.720,14.483
51.805,14.602
51.890,14.725
51.961,14.843
52.003,14.947
52.003,15.029
51.958,15.085
51.871,15.120
51.746,15.135
51.589,15.133
51.404,15.118
51.196,15.092
50.968,15.058
50.726,15.019
50.474,14.978
50.217,14.938
49.959,14.902
49.704,14.872
49.452,14.848
49.203,14.829
48.958,14.815
48.716,14.807
48.477,14.802
48.242,14.802
48.011,14.806
47.783,14.814
47.559,14.825
47.339,14.838
47.122,14.854
46.909,14.873
46.701,14.893
46.496,14.915
46.295,14.938
46.097,14.962
45.901,14.986
45.706,15.011
45.512,15.034
45.317,15.057
45.121,15.079
44.923,15.099
44.722,15.117
44.518,15.133
44.309,15.146
44.094,15.155
43.874,15.161
43.647,15.162
43.416,15.159
43.181,15.151
42.944,15.137
42.706,15.117
42.468,15.091
42.231,15.058
41.998,15.017
41.768,14.968
41.544,14.911
41.327,14.844
41.118,14.768
40.917,14.683
40.728,14.587
40.550,14.480
40.383,14.364
40.226,14.240
40.080,14.111
39.942,13.979
39.812,13.845
39.690,13.711
39.574,13.580
39.464,13.452
39.359,13.331
39.259,13.217
39.161,13.114
39.066,13.021
38.973,12.938
38.878,12.866
38.783,12.801
38.684,12.746
38.580,12.697
38.471,12.656
38.355,12.621
38.233,12.589
38.110,12.558
37.989,12.524
37.874,12.485
37.767,12.436
37.672,12.375
37.593,12.299
37.532,12.206
37.487,12.097
37.456,11.975
37.437,11.843
37.428,11.703
37.425,11.557
37.428,11.409
37.435,11.259
37.442,11.111
37.450,10.966
37.462,10.823
37.479,10.684
37.501,10.549
37.532,10.417
37.572,10.290
37.624,10.167
37.688,10.050
