X	Y
54.249	38.791
54.270	38.695
54.296	38.604
54.329	38.517
54.366	38.435
54.409	38.357
54.457	38.282
54.509	38.211
54.566	38.144
54.627	38.079
54.692	38.018
54.760	37.959
54.832	37.903
54.906	37.849
54.984	37.797
55.063	37.747
55.145	37.699
55.229	37.653
55.315	37.608
55.402	37.565
55.490	37.522
55.578	37.481
55.668	37.441
55.758	37.401
55.848	37.362
55.940	37.323
56.034	37.284
56.129	37.246
56.227	37.209
56.328	37.171
56.432	37.134
56.539	37.096
56.651	37.058
56.767	37.021
56.888	36.982
57.014	36.944
57.145	36.905
57.282	36.866
57.422	36.826
57.567	36.787
57.715	36.747
57.866	36.708
58.019	36.668
58.174	36.629
58.330	36.590
58.486	36.551
58.643	36.512
58.800	36.475
58.955	36.437
59.110	36.401
59.262	36.365
59.412	36.330
59.559	36.296
59.702	36.263
59.842	36.232
59.977	36.201
60.110	36.171
60.240	36.142
60.368	36.114
60.495	36.087
60.620	36.060
60.745	36.033
60.869	36.008
60.994	35.982
61.120	35.957
61.246	35.932
61.375	35.908
61.506	35.883
61.639	35.859
61.776	35.834
61.917	35.809
62.060	35.784
62.207	35.760
62.356	35.735
62.508	35.711
62.663	35.687
62.819	35.663
62.977	35.640
63.137	35.618
63.298	35.597
63.460	35.576
63.623	35.556
63.787	35.538
63.951	35.520
64.115	35.504
64.279	35.489
64.443	35.475
64.605	35.463
64.767	35.453
64.928	35.444
65.087	35.436
65.245	35.430
65.400	35.425
65.552	35.421
65.701	35.417
65.846	35.414
65.988	35.411
66.125	35.408
66.258	35.406
66.386	35.403
66.508	35.400
66.624	35.396
66.734	35.391
66.838	35.386
66.934	35.379
67.024	35.371
67.108	35.363
67.189	35.355
67.268	35.347
67.347	35.341
67.427	35.336
67.510	35.333
67.598	35.333
67.692	35.336
67.794	35.343
67.905	35.354
68.025	35.368
68.152	35.387
68.286	35.409
68.425	35.434
68.568	35.462
68.714	35.491
68.863	35.524
69.013	35.557
69.163	35.593
69.312	35.629
69.459	35.666
69.603	35.703
69.743	35.741
69.878	35.779
70.007	35.816
70.128	35.852
70.242	35.887
70.349	35.921
70.451	35.956
70.549	35.990
70.644	36.024
70.737	36.058
70.830	36.093
70.922	36.129
71.016	36.166
71.113	36.204
71.214	36.244
71.320	36.286
71.432	36.330
71.550	36.377
71.674	36.425
71.802	36.475
71.935	36.527
72.072	36.581
72.213	36.636
72.356	36.692
72.501	36.749
72.648	36.807
72.796	36.867
72.944	36.926
73.092	36.987
73.240	37.047
73.386	37.108
73.531	37.169
73.673	37.230
73.813	37.290
73.949	37.351
74.082	37.411
74.211	37.470
74.338	37.530
74.462	37.589
74.583	37.649
74.701	37.709
74.818	37.769
74.932	37.829
75.044	37.890
75.155	37.951
75.264	38.013
75.372	38.075
75.478	38.139
75.584	38.203
75.688	38.268
75.792	38.335
75.895	38.402
75.998	38.471
76.099	38.541
76.200	38.612
76.300	38.685
76.400	38.759
76.498	38.834
76.596	38.911
76.693	38.990
76.789	39.070
76.885	39.151
76.979	39.235
77.073	39.320
77.166	39.407
77.257	39.496
77.348	39.586
77.437	39.678
77.525	39.770
77.611	39.864
77.695	39.958
77.776	40.052
77.856	40.147
77.933	40.242
78.007	40.336
78.078	40.430
78.146	40.523
78.210	40.615
78.271	40.706
78.328	40.796
78.382	40.885
78.432	40.973
78.480	41.059
78.525	41.146
78.567	41.231
78.607	41.317
78.646	41.402
78.683	41.488
78.718	41.574
78.752	41.660
78.786	41.747
78.818	41.834
78.850	41.922
78.881	42.011
78.911	42.100
78.940	42.190
78.968	42.280
78.994	42.371
79.018	42.461
79.042	42.552
79.063	42.643
79.083	42.734
79.101	42.825
79.117	42.917
79.132	43.009
79.146	43.102
79.159	43.197
79.171	43.294
79.182	43.392
79.193	43.492
79.204	43.595
79.214	43.701
79.225	43.810
79.236	43.923
79.247	44.038
79.257	44.155
79.268	44.273
79.277	44.391
79.284	44.508
79.290	44.623
79.294	44.735
79.295	44.843
79.294	44.946
79.289	45.044
79.281	45.134
79.269	45.217
79.252	45.291
79.231	45.357
79.207	45.418
79.179	45.475
79.147	45.528
79.112	45.581
79.075	45.635
79.034	45.690
78.992	45.749
78.947	45.812
78.902	45.879
78.855	45.948
78.808	46.021
78.761	46.098
78.715	46.177
78.670	46.259
78.627	46.344
78.586	46.432
78.548	46.522
78.512	46.615
78.479	46.709
78.448	46.805
78.418	46.901
78.390	46.998
78.363	47.095
78.336	47.192
78.310	47.288
78.284	47.382
78.258	47.475
78.232	47.566
78.205	47.654
78.177	47.740
78.147	47.824
78.117	47.906
78.086	47.988
78.053	48.068
78.019	48.148
77.983	48.228
77.946	48.307
77.907	48.388
77.866	48.468
77.823	48.550
77.778	48.632
77.731	48.713
77.682	48.794
77.631	48.874
77.578	48.952
77.522	49.028
77.465	49.101
77.405	49.172
77.343	49.238
77.279	49.301
77.213	49.360
77.144	49.416
77.074	49.469
77.003	49.521
76.930	49.572
76.856	49.622
76.782	49.673
76.707	49.725
76.632	49.779
76.557	49.836
76.482	49.895
76.407	49.958
76.333	50.023
76.260	50.091
76.187	50.161
76.115	50.233
76.044	50.307
75.974	50.381
75.905	50.456
75.837	50.532
75.770	50.608
75.706	50.684
75.642	50.760
75.580	50.835
75.518	50.910
75.455	50.984
75.393	51.058
75.329	51.132
75.264	51.206
75.196	51.279
75.126	51.353
75.052	51.426
74.975	51.500
74.893	51.573
74.806	51.647
74.716	51.720
74.621	51.793
74.524	51.866
74.424	51.938
74.322	52.009
74.219	52.079
74.115	52.147
74.011	52.214
73.908	52.280
73.806	52.343
73.705	52.404
73.606	52.463
73.511	52.520
73.418	52.573
73.329	52.625
73.244	52.674
73.162	52.722
73.083	52.768
73.007	52.813
72.935	52.858
72.866	52.902
72.800	52.947
72.738	52.992
72.679	53.037
72.623	53.084
72.569	53.132
72.518	53.181
72.468	53.230
72.420	53.281
72.373	53.333
72.326	53.385
72.280	53.439
72.233	53.493
72.186	53.548
72.137	53.603
72.086	53.657
72.033	53.710
71.976	53.762
71.916	53.811
71.851	53.858
71.782	53.901
71.708	53.941
71.628	53.978
71.545	54.011
71.459	54.042
71.371	54.071
71.281	54.098
71.191	54.123
71.101	54.147
71.012	54.170
70.925	54.193
70.840	54.216
70.759	54.239
70.680	54.262
70.604	54.287
70.529	54.312
70.455	54.339
70.382	54.368
70.308	54.398
70.234	54.430
70.159	54.465
70.082	54.502
70.004	54.542
69.924	54.584
69.843	54.628
69.761	54.673
69.679	54.720
69.597	54.768
69.515	54.816
69.434	54.864
