X,Y
343.000,176.000
343.541,173.745
344.250,171.362
345.105,168.884
346.084,166.345
347.165,163.779
348.325,161.217
349.541,158.695
350.792,156.246
352.054,153.902
353.313,151.686
354.576,149.585
355.854,147.575
357.161,145.634
358.508,143.738
359.908,141.866
361.374,139.994
362.917,138.100
364.547,136.165
366.262,134.191
368.053,132.186
369.915,130.157
371.840,128.111
373.822,126.056
375.854,123.999
377.928,121.949
380.038,119.912
382.177,117.896
384.335,115.902
386.500,113.926
388.660,111.962
390.802,110.007
392.914,108.055
394.984,106.104
396.999,104.147
398.948,102.180
400.817,100.200
402.599,98.202
404.308,96.188
405.965,94.163
407.591,92.130
409.208,90.093
410.837,88.056
412.500,86.024
414.218,83.999
416.012,81.987
417.898,79.989
419.862,78.009
421.886,76.046
423.951,74.103
426.039,72.180
428.130,70.278
430.207,68.398
432.249,66.542
434.238,64.711
436.158,62.905
438.020,61.113
439.858,59.318
441.705,57.501
443.596,55.644
445.564,53.727
447.643,51.733
449.867,49.643
452.271,47.438
454.887,45.100
457.740,42.618
460.813,40.013
464.074,37.318
467.494,34.562
471.042,31.777
474.688,28.995
478.401,26.247
482.151,23.563
485.908,20.976
489.641,18.515
493.321,16.213
496.916,14.101
500.396,12.209
503.732,10.570
506.895,9.211
509.887,8.125
512.734,7.277
515.464,6.629
518.102,6.146
520.676,5.791
523.212,5.528
525.736,5.321
528.276,5.133
530.857,4.929
533.480,4.703
536.106,4.498
538.692,4.360
541.195,4.337
543.572,4.475
545.781,4.820
547.778,5.419
549.521,6.319
550.991,7.532
552.206,9.011
553.187,10.709
553.955,12.575
554.533,14.559
554.941,16.612
555.206,18.683
555.393,20.707
555.581,22.615
555.850,24.338
556.282,25.805
556.955,26.949
557.923,27.726
559.104,28.224
560.379,28.569
561.628,28.885
562.738,29.295
563.665,29.885
564.404,30.720
564.955,31.864
565.327,33.359
565.597,35.126
565.866,37.048
566.234,39.005
566.799,40.878
567.662,42.549
568.909,43.912
570.484,45.000
572.242,45.932
574.042,46.824
575.738,47.796
577.187,48.964
578.246,50.447
578.834,52.254
578.985,54.199
578.744,56.078
578.156,57.685
577.267,58.815
576.123,59.297
574.803,59.270
573.397,59.031
571.996,58.878
570.690,59.108
569.519,59.858
568.422,60.946
567.325,62.155
566.156,63.268
564.841,64.068
563.352,64.434
561.784,64.521
560.254,64.533
558.880,64.674
557.779,65.147
556.989,66.044
556.387,67.224
555.826,68.520
555.164,69.763
554.275,70.803
553.182,71.619
551.978,72.252
550.755,72.742
549.604,73.129
548.558,73.484
547.563,73.918
546.557,74.548
545.484,75.485
544.355,76.756
543.258,78.290
542.286,80.015
541.530,81.858
541.082,83.744
541.032,85.600
541.369,87.372
541.920,89.029
542.498,90.546
542.918,91.897
542.992,93.055
542.587,94.006
541.747,94.783
540.553,95.424
539.089,95.971
537.462,96.462
535.901,96.923
534.671,97.376
534.035,97.844
534.216,98.351
534.974,98.938
535.780,99.656
536.127,100.555
535.910,101.649
535.340,102.923
534.635,104.362
534.015,105.951
533.659,107.668
533.573,109.462
533.715,111.273
534.043,113.041
534.515,114.705
535.089,116.207
535.736,117.521
536.463,118.708
537.280,119.847
538.199,121.013
539.229,122.283
540.326,123.688
541.324,125.159
542.040,126.614
542.291,127.974
541.897,129.155
540.791,130.120
539.207,130.941
537.429,131.709
535.741,132.517
534.428,133.454
533.763,134.609
533.803,135.995
534.387,137.549
535.345,139.207
536.506,140.902
537.699,142.570
538.771,144.150
539.719,145.633
540.625,147.033
541.569,148.368
542.632,149.654
543.895,150.907
545.413,152.143
547.109,153.382
548.864,154.643
550.561,155.946
552.080,157.309
553.304,158.753
554.114,160.296
554.446,161.937
554.361,163.629
553.935,165.315
553.247,166.941
552.375,168.451
551.397,169.796
550.396,170.998
549.458,172.139
548.669,173.297
548.115,174.555
547.874,175.987
547.915,177.591
548.144,179.318
548.464,181.118
548.776,182.941
548.984,184.737
549.003,186.460
548.824,188.096
548.469,189.643
547.957,191.096
547.311,192.453
546.549,193.711
545.681,194.869
544.702,195.928
543.609,196.889
542.400,197.752
541.072,198.518
539.644,199.192
538.145,199.782
536.604,200.294
535.050,200.736
533.513,201.114
532.011,201.413
530.547,201.578
529.122,201.551
527.735,201.274
526.386,200.693
525.069,199.810
523.764,198.696
522.455,197.425
521.124,196.070
519.752,194.705
518.322,193.401
516.828,192.200
515.277,191.106
513.678,190.124
512.039,189.258
510.366,188.512
508.667,187.888
506.948,187.385
505.205,186.984
503.433,186.665
501.628,186.406
499.786,186.188
497.901,185.990
495.972,185.796
494.001,185.609
491.991,185.436
489.946,185.281
487.870,185.152
485.766,185.053
483.639,184.993
481.496,184.975
479.358,185.007
477.246,185.094
475.183,185.243
473.190,185.458
471.288,185.746
469.501,186.113
467.829,186.558
466.239,187.063
464.695,187.613
463.160,188.192
461.597,188.781
459.971,189.366
458.278,189.948
456.535,190.539
454.758,191.154
452.964,191.805
451.171,192.506
449.395,193.269
447.659,194.104
445.995,195.012
444.436,195.991
443.013,197.044
441.759,198.169
440.707,199.367
439.850,200.634
439.119,201.956
438.438,203.320
437.733,204.712
436.927,206.118
435.962,207.519
434.835,208.877
433.552,210.151
432.120,211.301
430.545,212.285
428.834,213.063
426.995,213.611
425.042,213.957
422.989,214.140
420.851,214.197
418.642,214.168
416.376,214.090
414.069,214.002
411.734,213.936
409.391,213.896
407.059,213.879
404.756,213.881
402.502,213.899
400.316,213.931
398.218,213.972
396.225,214.019
394.337,214.067
392.525,214.106
390.760,214.125
389.012,214.114
387.252,214.064
385.449,213.964
383.584,213.816
381.656,213.637
379.663,213.448
377.607,213.269
375.485,213.122
373.299,213.025
371.047,212.999
368.743,213.041
366.411,213.122
364.080,213.212
361.777,213.280
359.529,213.294
357.363,213.225
355.307,213.041
353.389,212.714
351.632,212.229
350.064,211.580
348.707,210.757
347.588,209.753
346.731,208.560
346.126,207.184
345.717,205.653
345.442,203.996
345.240,202.243
345.048,200.422
344.813,198.561
344.526,196.677
344.203,194.784
343.863,192.891
343.521,191.013
343.193,189.160
342.897,187.344
342.652,185.559
342.480,183.775
342.406,181.960
342.452,180.081
342.642,178.105
343.000,176.000
