X	Y
336.000	220.000
336.514	221.391
337.262	222.749
338.208	224.081
339.320	225.392
340.560	226.689
341.896	227.976
343.292	229.260
344.713	230.547
346.125	231.842
347.493	233.152
348.781	234.482
349.957	235.837
350.984	237.225
351.827	238.649
352.458	240.117
352.884	241.624
353.132	243.165
353.231	244.732
353.208	246.320
353.092	247.921
352.910	249.530
352.691	251.139
352.461	252.743
352.249	254.334
352.083	255.906
351.990	257.454
351.999	258.969
352.131	260.448
352.384	261.897
352.750	263.325
353.218	264.739
353.781	266.149
354.429	267.564
355.153	268.991
355.945	270.439
356.794	271.918
357.693	273.434
358.632	274.998
359.603	276.618
360.596	278.301
361.602	280.057
362.619	281.880
363.647	283.757
364.687	285.674
365.740	287.616
366.807	289.569
367.888	291.520
368.985	293.453
370.099	295.355
371.230	297.213
372.379	299.010
373.547	300.735
374.735	302.372
375.944	303.907
377.175	305.326
378.428	306.615
379.705	307.760
381.007	308.749
382.335	309.585
383.695	310.281
385.089	310.846
386.520	311.294
387.993	311.636
389.510	311.882
391.076	312.045
392.693	312.136
394.365	312.167
396.096	312.149
397.889	312.093
399.747	312.012
401.673	311.915
403.663	311.803
405.710	311.675
407.808	311.526
409.950	311.356
412.129	311.161
414.340	310.939
416.575	310.689
418.827	310.407
421.092	310.091
423.360	309.739
425.627	309.348
427.886	308.916
430.130	308.441
432.353	307.920
434.547	307.351
436.707	306.731
438.826	306.058
440.898	305.331
442.927	304.553
444.918	303.727
446.875	302.859
448.804	301.952
450.709	301.012
452.597	300.042
454.471	299.048
456.337	298.033
458.200	297.002
460.066	295.959
461.938	294.909
463.823	293.856
465.725	292.804
467.650	291.759
469.602	290.724
471.586	289.704
473.608	288.703
475.671	287.724
477.772	286.764
479.911	285.821
482.086	284.893
484.295	283.978
486.536	283.073
488.808	282.176
491.110	281.285
493.439	280.398
495.794	279.513
498.173	278.626
500.575	277.736
502.998	276.841
505.441	275.938
507.901	275.026
510.378	274.101
512.869	273.162
515.372	272.206
517.887	271.231
520.412	270.235
522.945	269.215
525.482	268.172
528.020	267.104
530.554	266.011
533.082	264.893
535.599	263.750
538.101	262.581
540.585	261.387
543.046	260.166
545.481	258.918
547.886	257.644
550.257	256.343
552.589	255.015
554.881	253.659
557.126	252.275
559.322	250.863
561.465	249.422
563.550	247.953
565.575	246.454
567.534	244.927
569.425	243.370
571.243	241.782
572.986	240.166
574.655	238.524
576.252	236.861
577.780	235.181
579.239	233.488
580.633	231.786
581.963	230.079
583.231	228.371
584.439	226.667
585.589	224.970
586.683	223.285
587.723	221.616
588.711	219.966
589.648	218.341
590.538	216.744
591.381	215.179
592.181	213.651
592.934	212.161
593.634	210.709
594.271	209.293
594.835	207.910
595.319	206.560
595.712	205.240
596.006	203.948
596.192	202.683
596.260	201.444
596.202	200.228
596.008	199.033
595.672	197.860
595.200	196.713
594.601	195.599
593.885	194.526
593.061	193.500
592.138	192.527
591.126	191.616
590.033	190.773
588.870	190.004
587.645	189.316
586.367	188.717
585.043	188.206
583.675	187.774
582.265	187.413
580.815	187.116
579.328	186.873
577.807	186.676
576.252	186.517
574.667	186.388
573.055	186.281
571.416	186.187
569.754	186.097
568.071	186.004
566.368	185.901
564.647	185.789
562.906	185.671
561.144	185.550
559.363	185.430
557.561	185.314
555.737	185.206
553.892	185.107
552.025	185.023
550.135	184.955
548.223	184.908
546.288	184.884
544.329	184.887
542.346	184.920
540.338	184.986
538.306	185.087
536.249	185.224
534.170	185.393
532.067	185.590
529.943	185.815
527.798	186.063
525.633	186.332
523.448	186.620
521.246	186.923
519.025	187.239
516.788	187.565
514.534	187.899
512.266	188.237
509.983	188.577
507.687	188.917
505.378	189.253
503.057	189.582
500.725	189.903
498.382	190.212
496.030	190.509
493.668	190.796
491.295	191.072
488.913	191.339
486.520	191.598
484.117	191.850
481.704	192.096
479.280	192.336
476.846	192.573
474.402	192.806
471.947	193.036
469.482	193.265
467.006	193.494
464.520	193.723
462.023	193.953
459.515	194.186
456.997	194.423
454.468	194.663
451.928	194.909
449.378	195.161
446.818	195.419
444.252	195.681
441.683	195.948
439.113	196.217
436.545	196.488
433.982	196.760
431.427	197.031
428.882	197.301
426.350	197.569
423.834	197.833
421.337	198.093
418.862	198.348
416.411	198.596
413.987	198.836
411.593	199.068
409.232	199.291
406.906	199.503
404.618	199.703
402.372	199.890
400.169	200.064
398.011	200.224
395.894	200.369
393.817	200.501
391.776	200.618
389.769	200.722
387.793	200.812
385.845	200.888
383.924	200.951
382.025	201.000
380.147	201.036
378.286	201.059
376.441	201.069
374.608	201.066
372.785	201.049
370.969	201.021
369.157	200.979
367.349	200.931
365.549	200.884
363.757	200.852
361.977	200.842
360.211	200.867
358.462	200.936
356.732	201.061
355.024	201.250
353.341	201.516
351.684	201.868
350.057	202.316
348.461	202.872
346.900	203.545
345.377	204.346
343.900	205.275
342.487	206.318
341.158	207.462
339.931	208.693
338.824	209.997
337.856	211.360
337.045	212.768
336.410	214.207
335.969	215.664
335.742	217.124
335.746	218.574
336.000	220.000
