X,Y
25.279,17.230
25.326,17.183
25.374,17.139
25.423,17.098
25.473,17.061
25.525,17.027
25.577,16.996
25.631,16.967
25.686,16.940
25.742,16.914
25.800,16.890
25.860,16.867
25.920,16.844
25.983,16.822
26.047,16.800
26.112,16.778
26.179,16.757
26.248,16.735
26.317,16.714
26.388,16.693
26.461,16.673
26.534,16.653
26.609,16.634
26.684,16.615
26.761,16.597
26.838,16.580
26.916,16.564
26.995,16.549
27.075,16.534
27.155,16.521
27.236,16.509
27.318,16.498
27.400,16.488
27.482,16.479
27.565,16.470
27.648,16.463
27.732,16.456
27.816,16.450
27.901,16.444
27.986,16.439
28.071,16.434
28.157,16.430
28.243,16.426
28.329,16.423
28.416,16.420
28.503,16.417
28.590,16.414
28.677,16.411
28.764,16.408
28.852,16.405
28.940,16.403
29.027,16.401
29.115,16.399
29.203,16.398
29.291,16.397
29.379,16.397
29.467,16.398
29.555,16.400
29.643,16.402
29.731,16.406
29.818,16.411
29.906,16.417
29.993,16.424
30.080,16.432
30.167,16.442
30.254,16.454
30.340,16.467
30.427,16.482
30.513,16.498
30.598,16.515
30.684,16.533
30.769,16.552
30.854,16.573
30.939,16.594
31.023,16.616
31.107,16.638
31.191,16.661
31.275,16.684
31.358,16.708
31.441,16.732
31.524,16.756
31.606,16.780
31.689,16.804
31.770,16.828
31.852,16.852
31.933,16.875
32.014,16.898
32.094,16.921
32.173,16.943
32.252,16.965
32.329,16.986
32.406,17.007
32.482,17.028
32.556,17.048
32.630,17.067
32.702,17.086
32.772,17.105
32.841,17.122
32.909,17.140
32.975,17.156
33.039,17.172
33.102,17.188
33.163,17.203
33.223,17.219
33.282,17.235
33.341,17.252
33.399,17.270
33.457,17.289
33.515,17.310
33.573,17.332
33.631,17.357
33.690,17.384
33.750,17.414
33.811,17.447
33.873,17.482
33.935,17.519
33.998,17.559
34.062,17.600
34.126,17.641
34.190,17.684
34.255,17.726
34.319,17.769
34.383,17.811
34.447,17.852
34.510,17.891
34.572,17.929
34.634,17.964
34.694,17.997
34.754,18.027
34.812,18.055
34.870,18.079
34.926,18.103
34.982,18.125
35.037,18.147
35.092,18.169
35.146,18.192
35.200,18.216
35.254,18.242
35.308,18.271
35.362,18.302
35.416,18.338
35.471,18.378
35.526,18.422
35.580,18.470
35.635,18.521
35.689,18.576
35.744,18.633
35.797,18.693
35.850,18.754
35.902,18.818
35.953,18.883
36.002,18.949
36.051,19.016
36.098,19.083
36.143,19.150
36.186,19.217
36.228,19.284
36.267,19.349
36.304,19.413
36.339,19.476
36.373,19.538
36.404,19.599
36.433,19.660
36.461,19.719
36.487,19.778
36.512,19.837
36.535,19.895
36.557,19.952
36.577,20.010
36.597,20.067
36.615,20.124
36.632,20.180
36.648,20.237
36.664,20.294
36.679,20.351
36.693,20.408
36.707,20.465
36.721,20.522
36.736,20.579
36.750,20.637
36.765,20.694
36.780,20.752
36.795,20.810
36.812,20.869
36.829,20.928
36.848,20.986
36.867,21.045
36.886,21.104
36.906,21.163
36.927,21.222
36.948,21.280
36.969,21.339
36.991,21.396
37.013,21.453
37.035,21.510
37.057,21.566
37.080,21.621
37.102,21.676
37.123,21.729
37.144,21.783
37.164,21.835
37.183,21.887
37.200,21.939
37.215,21.990
37.227,22.041
37.238,22.092
37.245,22.142
37.250,22.193
37.252,22.243
37.250,22.293
37.245,22.342
37.238,22.391
37.227,22.440
37.213,22.487
37.197,22.534
37.178,22.579
37.157,22.623
37.132,22.666
37.106,22.708
37.077,22.748
37.047,22.788
37.016,22.827
36.985,22.866
36.954,22.904
36.923,22.943
36.894,22.983
36.867,23.023
36.841,23.064
36.819,23.107
36.798,23.150
36.781,23.196
36.765,23.242
36.750,23.290
36.738,23.339
36.726,23.389
36.716,23.441
36.706,23.495
36.697,23.549
36.688,23.606
36.679,23.663
36.670,23.722
36.661,23.781
36.652,23.841
36.642,23.902
