X,Y
1949.000,883.000
1953.062,876.771
1957.841,870.441
1963.305,864.014
1969.423,857.496
1976.161,850.892
1983.490,844.209
1991.375,837.452
1999.786,830.626
2008.691,823.738
2018.058,816.792
2027.854,809.794
2038.048,802.750
2048.609,795.666
2059.503,788.547
2070.699,781.399
2082.166,774.227
2093.871,767.037
2105.782,759.834
2117.868,752.625
2130.096,745.414
2142.435,738.208
2154.852,731.012
2167.317,723.831
2179.796,716.671
2192.258,709.538
2204.671,702.438
2217.003,695.375
2229.222,688.356
2241.297,681.386
2253.195,674.471
2264.884,667.616
2276.334,660.827
2287.531,654.105
2298.485,647.447
2309.203,640.848
2319.696,634.306
2329.973,627.817
2340.042,621.377
2349.914,614.982
2359.597,608.629
2369.100,602.315
2378.433,596.035
2387.605,589.786
2396.625,583.564
2405.501,577.366
2414.245,571.188
2422.864,565.026
2431.368,558.878
2439.765,552.738
2448.066,546.604
2456.280,540.472
2464.415,534.339
2472.481,528.199
2480.487,522.052
2488.442,515.891
2496.355,509.714
2504.236,503.518
2512.094,497.298
2519.938,491.050
2527.777,484.773
2535.616,478.464
2543.455,472.132
2551.292,465.781
2559.128,459.419
2566.959,453.052
2574.787,446.686
2582.609,440.327
2590.424,433.983
2598.232,427.659
2606.031,421.361
2613.820,415.097
2621.599,408.873
2629.366,402.694
2637.120,396.568
2644.860,390.501
2652.585,384.499
2660.294,378.568
2667.987,372.716
2675.661,366.948
2683.316,361.270
2690.951,355.690
2698.565,350.214
2706.156,344.847
2713.725,339.597
2721.269,334.469
2728.788,329.466
2736.280,324.577
2743.746,319.795
2751.185,315.110
2758.596,310.513
2765.978,305.994
2773.330,301.546
2780.652,297.157
2787.944,292.820
2795.204,288.526
2802.431,284.264
2809.626,280.026
2816.787,275.803
2823.914,271.586
2831.006,267.365
2838.062,263.131
2845.081,258.876
2852.063,254.589
2859.008,250.263
2865.914,245.887
2872.781,241.452
2879.608,236.952
2886.397,232.389
2893.150,227.777
2899.872,223.128
2906.563,218.454
2913.228,213.768
2919.869,209.082
2926.488,204.409
2933.090,199.762
2939.677,195.153
2946.250,190.594
2952.815,186.098
2959.373,181.677
2965.927,177.344
2972.480,173.112
2979.035,168.992
2985.595,164.998
2992.162,161.142
2998.740,157.436
3005.332,153.893
3011.939,150.525
3018.557,147.338
3025.171,144.331
3031.765,141.501
3038.324,138.846
3044.832,136.364
3051.275,134.053
3057.637,131.912
3063.902,129.937
3070.055,128.128
3076.082,126.481
3081.965,124.995
3087.691,123.668
3093.244,122.497
3098.607,121.481
3103.767,120.618
3108.708,119.905
3113.426,119.339
3117.949,118.914
3122.311,118.621
3126.543,118.454
3130.680,118.404
3134.753,118.465
3138.797,118.629
3142.843,118.888
3146.925,119.234
3151.075,119.662
3155.327,120.162
3159.691,120.740
3164.149,121.417
3168.674,122.220
3173.242,123.171
3177.830,124.297
3182.411,125.621
3186.962,127.169
3191.459,128.964
3195.877,131.032
3200.191,133.397
3204.378,136.084
3208.412,139.117
3212.278,142.502
3215.973,146.218
3219.493,150.242
3222.838,154.552
3226.004,159.125
3228.989,163.937
3231.791,168.965
3234.407,174.187
3236.834,179.580
3239.072,185.121
3241.117,190.787
3242.966,196.555
3244.618,202.401
3246.070,208.304
3247.324,214.245
3248.397,220.220
3249.311,226.230
3250.086,232.276
3250.742,238.358
3251.302,244.476
3251.784,250.631
3252.210,256.823
3252.601,263.052
3252.977,269.319
3253.359,275.624
3253.768,281.967
3254.225,288.349
3254.750,294.771
3255.364,301.232
3256.087,307.734
3256.933,314.274
3257.888,320.849
3258.936,327.454
3260.060,334.082
3261.244,340.730
3262.470,347.392
3263.723,354.063
3264.985,360.738
3266.239,367.411
3267.470,374.078
3268.660,380.734
3269.792,387.372
3270.851,393.988
3271.819,400.578
3272.679,407.135
3273.415,413.655
3274.011,420.132
3274.454,426.564
3274.751,432.957
3274.915,439.319
3274.958,445.659
3274.889,451.985
3274.723,458.305
3274.470,464.629
3274.141,470.963
3273.750,477.317
3273.306,483.698
3272.822,490.116
3272.311,496.578
3271.782,503.093
3271.249,509.670
3270.722,516.316
3270.213,523.040
3269.734,529.849
3269.283,536.740
3268.848,543.698
3268.417,550.708
3267.979,557.755
3267.519,564.824
3267.027,571.900
3266.491,578.970
3265.898,586.017
3265.236,593.028
3264.493,599.986
3263.656,606.879
3262.714,613.690
3261.655,620.404
3260.466,627.008
3259.135,633.486
3257.650,639.823
3255.999,646.005
3254.174,652.022
3252.190,657.880
3250.065,663.591
3247.819,669.169
3245.470,674.625
3243.037,679.970
3240.539,685.218
3237.995,690.379
3235.423,695.467
3232.843,700.492
3230.274,705.468
3227.734,710.405
3225.242,715.317
3222.817,720.215
3220.478,725.111
3218.234,730.012
3216.071,734.914
3213.975,739.811
3211.930,744.700
3209.921,749.574
3207.932,754.428
3205.949,759.257
3203.955,764.056
3201.936,768.820
3199.876,773.544
3197.760,778.221
3195.573,782.848
3193.298,787.419
3190.926,791.930
3188.468,796.393
3185.943,800.821
3183.374,805.230
3180.780,809.634
3178.182,814.049
3175.600,818.489
3173.054,822.968
3170.566,827.503
3168.155,832.106
3165.843,836.795
3163.649,841.582
3161.595,846.483
3159.697,851.511
3157.940,856.650
3156.292,861.870
3154.717,867.139
3153.181,872.427
3151.651,877.703
3150.091,882.934
3148.468,888.091
3146.747,893.142
3144.894,898.056
3142.875,902.803
3140.656,907.350
3138.202,911.667
3135.479,915.723
3132.469,919.504
3129.189,923.036
3125.663,926.352
3121.914,929.484
3117.965,932.463
3113.839,935.321
3109.560,938.092
3105.150,940.806
3100.632,943.496
3096.031,946.194
3091.369,948.932
3086.669,951.743
3081.954,954.657
3077.240,957.687
3072.526,960.804
3067.810,963.973
3063.089,967.158
3058.360,970.325
3053.621,973.439
3048.869,976.466
3044.101,979.369
3039.315,982.115
3034.509,984.668
3029.679,986.993
3024.823,989.056
3019.938,990.823
3015.022,992.256
3010.072,993.346
3005.084,994.132
3000.054,994.658
2994.978,994.972
2989.852,995.119
2984.672,995.145
2979.434,995.097
2974.135,995.021
2968.771,994.963
2963.337,994.968
2957.829,995.083
2952.245,995.354
2946.579,995.828
2940.828,996.544
2934.991,997.500
2929.068,998.667
2923.060,1000.016
2916.966,1001.517
2910.787,1003.141
2904.522,1004.860
2898.173,1006.644
2891.739,1008.465
2885.220,1010.292
2878.617,1012.097
2871.930,1013.852
2865.159,1015.526
2858.304,1017.090
2851.366,1018.517
2844.344,1019.776
2837.240,1020.838
2830.053,1021.680
2822.793,1022.311
2815.472,1022.755
2808.102,1023.038
2800.695,1023.182
2793.263,1023.213
2785.818,1023.154
2778.372,1023.029
2770.937,1022.864
2763.525,1022.681
2756.148,1022.506
2748.818,1022.362
2741.547,1022.274
2734.346,1022.266
2727.229,1022.362
2720.207,1022.586
2713.291,1022.963
2706.495,1023.517
2699.829,1024.271
2693.295,1025.234
2686.879,1026.388
2680.564,1027.714
2674.333,1029.192
2668.170,1030.803
2662.059,1032.527
2655.982,1034.345
2649.926,1036.236
2643.871,1038.183
2637.802,1040.164
2631.704,1042.160
2625.559,1044.152
2619.350,1046.121
2613.062,1048.047
2606.679,1049.909
2600.183,1051.690
2593.561,1053.370
2586.814,1054.949
2579.953,1056.429
2572.984,1057.816
2565.918,1059.112
2558.764,1060.322
2551.530,1061.449
2544.224,1062.499
2536.856,1063.474
