X	Y
33.283	22.835
33.196	22.947
33.114	23.064
33.037	23.189
32.964	23.319
32.896	23.456
32.833	23.598
32.775	23.746
32.721	23.899
32.672	24.058
32.627	24.221
32.586	24.389
32.550	24.562
32.519	24.740
32.491	24.921
32.469	25.107
32.450	25.296
32.435	25.489
32.425	25.686
32.419	25.885
32.417	26.088
32.419	26.294
32.426	26.502
32.436	26.713
32.450	26.925
32.468	27.140
32.490	27.357
32.516	27.576
32.546	27.796
32.579	28.017
32.617	28.239
32.658	28.462
32.702	28.686
32.750	28.910
32.802	29.135
32.858	29.360
32.916	29.584
32.979	29.809
33.044	30.034
33.113	30.259
33.185	30.484
33.260	30.708
33.338	30.932
33.419	31.156
33.503	31.379
33.590	31.601
33.679	31.823
33.772	32.045
33.866	32.265
33.964	32.485
34.063	32.704
34.166	32.922
34.270	33.138
34.377	33.354
34.486	33.569
34.597	33.782
34.710	33.994
34.825	34.204
34.942	34.413
35.061	34.621
35.181	34.827
35.304	35.031
35.427	35.233
35.553	35.434
35.680	35.633
35.808	35.829
35.937	36.024
36.068	36.216
36.200	36.407
36.333	36.595
36.467	36.780
36.603	36.964
36.739	37.144
36.875	37.323
37.013	37.498
37.151	37.671
37.290	37.841
37.430	38.008
37.570	38.173
37.710	38.335
37.850	38.494
37.991	38.651
38.132	38.805
38.272	38.957
38.413	39.106
38.553	39.253
38.693	39.397
38.833	39.539
38.972	39.679
39.111	39.816
39.249	39.951
39.386	40.084
39.522	40.214
39.657	40.343
39.792	40.469
39.925	40.594
40.057	40.716
40.187	40.836
40.317	40.954
40.444	41.071
40.570	41.185
40.695	41.298
40.817	41.409
40.938	41.518
41.057	41.625
41.174	41.731
41.288	41.835
41.401	41.937
41.511	42.038
41.618	42.137
41.724	42.234
41.827	42.330
41.928	42.424
42.027	42.517
42.125	42.607
42.221	42.695
42.316	42.782
42.410	42.866
42.503	42.947
42.595	43.027
42.687	43.103
42.779	43.178
42.870	43.249
42.962	43.318
43.054	43.384
43.146	43.447
43.239	43.507
43.333	43.564
43.428	43.617
43.524	43.668
43.621	43.715
43.720	43.758
43.821	43.798
43.924	43.835
44.028	43.868
44.134	43.897
44.241	43.924
44.351	43.947
44.462	43.967
44.574	43.984
44.689	43.998
44.805	44.009
44.923	44.017
45.043	44.022
45.164	44.024
45.287	44.023
45.412	44.019
45.538	44.013
45.667	44.004
45.797	43.992
45.929	43.978
46.063	43.962
46.198	43.942
46.335	43.921
46.473	43.897
46.612	43.870
46.751	43.841
46.890	43.810
47.029	43.775
47.167	43.739
47.303	43.700
47.438	43.658
47.570	43.614
47.700	43.567
47.827	43.517
47.950	43.465
48.070	43.410
48.186	43.353
48.297	43.293
48.403	43.230
48.503	43.165
48.598	43.097
48.686	43.026
48.768	42.953
48.842	42.876
48.910	42.797
48.970	42.716
49.023	42.632
49.071	42.547
49.114	42.461
49.153	42.373
49.188	42.286
49.222	42.198
49.254	42.111
49.285	42.025
49.316	41.941
49.349	41.858
49.383	41.778
49.419	41.700
49.460	41.626
49.504	41.555
49.554	41.488
49.609	41.426
49.670	41.367
49.736	41.312
49.807	41.260
49.882	41.211
49.962	41.163
50.046	41.116
50.134	41.071
50.225	41.026
50.319	40.981
50.416	40.935
50.515	40.888
50.617	40.839
50.720	40.788
50.824	40.734
50.930	40.677
51.037	40.617
51.145	40.552
51.252	40.482
51.360	40.408
51.467	40.329
51.574	40.246
51.680	40.159
51.785	40.068
51.889	39.975
51.991	39.878
52.091	39.779
52.189	39.678
52.285	39.574
52.379	39.469
52.470	39.363
52.557	39.256
52.642	39.148
52.723	39.039
52.800	38.931
52.873	38.823
52.941	38.716
53.005	38.609
53.065	38.504
53.119	38.400
53.168	38.298
53.211	38.199
53.249	38.102
53.282	38.008
53.311	37.917
53.336	37.829
53.360	37.746
53.381	37.666
53.402	37.592
53.423	37.522
53.445	37.457
53.469	37.398
53.495	37.345
53.525	37.298
53.559	37.258
53.598	37.224
53.643	37.197
53.692	37.175
53.745	37.156
53.802	37.139
53.861	37.123
53.923	37.105
53.987	37.084
54.052	37.059
54.118	37.028
54.184	36.989
54.249	36.942
54.313	36.884
54.376	36.816
54.438	36.739
54.500	36.652
54.560	36.557
54.620	36.454
54.679	36.343
54.737	36.225
54.796	36.101
54.853	35.970
54.911	35.834
54.968	35.693
55.025	35.548
55.082	35.398
55.140	35.245
55.197	35.089
55.255	34.931
55.313	34.770
55.371	34.609
55.430	34.446
55.490	34.283
55.550	34.120
55.611	33.958
55.673	33.796
55.736	33.637
55.800	33.479
55.865	33.325
55.931	33.172
55.998	33.023
56.066	32.876
56.134	32.731
56.203	32.588
56.273	32.447
56.342	32.308
56.412	32.171
56.482	32.035
56.551	31.901
56.620	31.767
56.689	31.635
56.757	31.504
56.825	31.373
56.891	31.243
56.957	31.113
57.021	30.984
57.084	30.854
57.146	30.725
57.206	30.596
57.264	30.466
57.321	30.335
57.375	30.204
57.427	30.072
57.478	29.940
57.525	29.806
57.570	29.671
57.613	29.534
57.653	29.397
57.691	29.259
57.725	29.120
57.758	28.981
57.788	28.841
57.815	28.701
57.840	28.561
57.862	28.421
57.882	28.281
57.900	28.142
57.914	28.003
57.927	27.865
57.937	27.728
57.944	27.592
57.949	27.457
57.952	27.324
57.952	27.192
57.950	27.062
57.945	26.934
57.938	26.807
57.929	26.683
57.917	26.561
57.903	26.442
57.886	26.325
57.867	26.210
57.845	26.098
57.820	25.988
57.792	25.881
57.760	25.775
57.726	25.671
57.688	25.569
57.646	25.468
57.601	25.369
57.551	25.272
57.498	25.176
57.440	25.081
57.377	24.987
57.310	24.894
57.239	24.802
57.162	24.711
57.081	24.621
56.994	24.531
56.902	24.442
56.805	24.353
56.703	24.265
56.597	24.177
56.487	24.090
56.374	24.004
56.259	23.918
56.142	23.834
56.023	23.750
55.903	23.667
55.783	23.584
55.663	23.503
55.544	23.424
55.426	23.345
55.309	23.267
55.195	23.191
55.084	23.116
54.976	23.043
54.872	22.971
54.772	22.900
54.678	22.832
54.589	22.764
54.505	22.699
54.429	22.635
54.359	22.573
54.296	22.513
54.239	22.455
54.186	22.397
54.137	22.342
54.089	22.287
54.043	22.233
53.998	22.180
53.951	22.128
53.902	22.077
53.850	22.025
53.794	21.974
53.733	21.923
53.665	21.872
53.591	21.821
53.508	21.770
53.419	21.718
53.322	21.666
53.219	21.615
53.110	21.564
52.994	21.513
52.871	21.462
52.743	21.412
52.609	21.363
52.470	21.314
52.326	21.266
52.176	21.218
52.021	21.172
51.862	21.127
51.698	21.083
51.530	21.040
51.358	20.998
51.182	20.958
51.003	20.920
50.820	20.883
50.634	20.847
50.445	20.814
50.253	20.783
50.059	20.753
49.862	20.726
49.663	20.700
49.462	20.677
49.259	20.657
49.055	20.639
48.849	20.623
48.642	20.609
48.434	20.598
48.224	20.588
48.013	20.581
47.802	20.575
47.589	20.572
47.376	20.570
47.162	20.570
46.947	20.571
46.733	20.574
46.517	20.579
46.302	20.585
46.086	20.593
45.871	20.602
45.655	20.612
45.440	20.623
45.225	20.636
45.010	20.649
44.796	20.664
44.583	20.679
44.370	20.696
44.158	20.713
43.948	20.731
43.738	20.749
43.529	20.768
43.322	20.787
43.116	20.807
42.911	20.827
42.708	20.848
42.507	20.869
42.307	20.890
42.110	20.911
41.914	20.932
41.721	20.953
41.530	20.974
41.341	20.994
41.154	21.015
40.969	21.035
40.787	21.055
40.607	21.075
40.428	21.095
40.251	21.115
40.077	21.135
39.903	21.155
39.732	21.174
39.562	21.194
39.394	21.213
39.227	21.233
39.062	21.252
38.897	21.272
38.735	21.291
38.573	21.311
38.412	21.330
38.253	21.350
38.094	21.369
37.936	21.389
37.780	21.408
37.623	21.428
37.468	21.448
37.313	21.468
37.159	21.488
37.005	21.508
36.852	21.528
36.699	21.549
36.546	21.569
36.393	21.590
36.241	21.611
36.090	21.633
35.939	21.656
35.789	21.681
35.641	21.707
35.494	21.734
35.348	21.764
35.204	21.796
35.062	21.830
34.922	21.868
34.784	21.908
34.649	21.952
34.516	21.999
34.386	22.051
34.259	22.106
34.135	22.166
34.015	22.230
33.898	22.300
33.785	22.375
33.676	22.455
33.571	22.541
33.470	22.632
33.374	22.731
33.283	22.835
