X	Y
315.000	204.000
316.246	202.692
317.485	201.415
318.720	200.173
319.957	198.973
321.199	197.820
322.452	196.720
323.719	195.677
325.006	194.699
326.316	193.789
327.655	192.949
329.029	192.171
330.444	191.443
331.907	190.757
333.424	190.102
335.002	189.468
336.647	188.845
338.365	188.224
340.162	187.595
342.036	186.953
343.976	186.298
345.973	185.628
348.019	184.943
350.103	184.241
352.218	183.523
354.352	182.787
356.498	182.032
358.645	181.258
360.785	180.463
362.908	179.647
365.011	178.811
367.097	177.959
369.170	177.093
371.232	176.218
373.287	175.337
375.339	174.454
377.391	173.572
379.447	172.695
381.510	171.827
383.583	170.971
385.671	170.130
387.776	169.309
389.900	168.506
392.043	167.720
394.206	166.951
396.391	166.195
398.598	165.453
400.827	164.722
403.079	164.002
405.356	163.290
407.658	162.586
409.985	161.887
412.339	161.193
414.720	160.502
417.122	159.822
419.534	159.163
421.949	158.536
424.356	157.952
426.745	157.421
429.109	156.954
431.436	156.562
433.717	156.256
435.944	156.046
438.106	155.944
440.195	155.959
442.200	156.102
444.116	156.377
445.938	156.779
447.664	157.305
449.289	157.953
450.810	158.719
452.222	159.599
453.522	160.591
454.707	161.692
455.772	162.896
456.717	164.195
457.543	165.577
458.252	167.027
458.843	168.534
459.318	170.085
459.679	171.667
459.925	173.267
460.059	174.873
460.087	176.487
460.021	178.122
459.873	179.792
459.656	181.511
459.380	183.292
459.060	185.149
458.706	187.097
458.330	189.148
457.945	191.317
457.556	193.604
457.152	195.977
456.717	198.394
456.236	200.818
455.696	203.209
455.082	205.527
454.378	207.734
453.570	209.791
452.643	211.657
451.583	213.295
450.375	214.664
449.005	215.729
447.482	216.500
445.822	217.008
444.043	217.286
442.162	217.368
440.198	217.286
438.168	217.072
436.089	216.760
433.980	216.382
431.858	215.972
429.737	215.556
427.615	215.142
425.488	214.733
423.353	214.333
421.206	213.946
419.043	213.574
416.860	213.222
414.654	212.893
412.419	212.590
410.153	212.317
407.852	212.078
405.512	211.876
403.137	211.712
400.735	211.584
398.315	211.492
395.886	211.434
393.455	211.410
391.032	211.417
388.626	211.456
386.244	211.524
383.895	211.621
381.588	211.746
379.331	211.897
377.133	212.073
374.997	212.276
372.918	212.511
370.892	212.782
368.912	213.093
366.975	213.451
365.076	213.859
363.210	214.322
361.371	214.846
359.554	215.435
357.756	216.094
355.971	216.821
354.193	217.598
352.420	218.404
350.645	219.216
348.865	220.015
347.074	220.779
345.269	221.485
343.443	222.114
341.594	222.644
339.715	223.053
337.805	223.328
335.868	223.474
333.910	223.500
331.937	223.413
329.953	223.224
327.964	222.939
325.976	222.568
323.994	222.119
322.023	221.601
320.070	221.022
318.145	220.389
316.287	219.701
314.540	218.955
312.950	218.149
311.563	217.280
310.423	216.346
309.576	215.343
309.067	214.269
308.934	213.123
309.156	211.911
309.681	210.648
310.454	209.346
311.426	208.017
312.542	206.674
313.751	205.331
315.000	204.000
