X,Y
205.000,110.000
206.510,109.088
208.399,108.754
210.597,108.882
213.035,109.360
215.641,110.071
218.346,110.901
221.081,111.737
223.779,112.469
226.411,113.067
228.977,113.550
231.474,113.940
233.901,114.257
236.257,114.521
238.539,114.753
240.747,114.974
242.882,115.203
244.963,115.447
247.017,115.713
249.070,116.006
251.147,116.329
253.274,116.688
255.478,117.089
257.768,117.533
260.127,118.014
262.528,118.527
264.949,119.064
267.364,119.621
269.749,120.191
272.081,120.767
274.337,121.344
276.513,121.921
278.623,122.500
280.679,123.084
282.696,123.676
284.686,124.278
286.663,124.893
288.639,125.524
290.617,126.162
292.599,126.800
294.586,127.427
296.577,128.034
298.575,128.612
300.578,129.151
302.587,129.656
304.595,130.157
306.597,130.687
308.588,131.278
310.561,131.962
312.511,132.771
314.429,133.736
316.272,134.850
317.981,136.092
319.498,137.442
320.762,138.877
321.715,140.376
322.302,141.917
322.548,143.488
322.539,145.081
322.364,146.691
322.110,148.311
321.861,149.935
321.621,151.551
321.334,153.149
320.939,154.714
320.377,156.235
319.588,157.698
318.563,159.079
317.337,160.342
315.949,161.450
314.437,162.367
312.842,163.056
311.196,163.502
309.516,163.755
307.816,163.878
306.108,163.933
304.406,163.982
302.722,164.082
301.052,164.239
299.383,164.436
297.702,164.655
295.999,164.877
294.260,165.085
292.485,165.256
290.689,165.365
288.887,165.387
287.094,165.294
285.325,165.061
283.592,164.666
281.888,164.123
280.195,163.458
278.495,162.699
276.774,161.872
275.012,161.006
273.202,160.121
271.367,159.218
269.540,158.290
267.754,157.332
266.041,156.339
264.434,155.303
262.960,154.224
261.598,153.133
260.297,152.084
259.007,151.130
257.677,150.323
256.258,149.714
254.731,149.290
253.107,148.977
251.396,148.697
249.610,148.375
247.761,147.934
245.859,147.328
243.917,146.591
241.946,145.774
239.957,144.926
237.962,144.096
235.973,143.335
234.000,142.688
232.047,142.160
230.112,141.709
228.192,141.294
226.284,140.872
224.383,140.400
222.488,139.836
220.600,139.161
218.736,138.394
216.912,137.561
215.142,136.686
213.445,135.793
211.835,134.908
210.327,134.029
208.928,133.082
207.644,131.978
206.481,130.628
205.445,128.943
204.545,126.841
203.803,124.359
203.260,121.645
202.960,118.854
202.942,116.141
203.248,113.658
203.920,111.560
205.000,110.000
