X,Y
64.888,145.805
64.898,145.723
64.910,145.641
64.924,145.560
64.940,145.481
64.957,145.403
64.977,145.327
64.998,145.252
65.020,145.179
65.044,145.109
65.069,145.041
65.095,144.975
65.122,144.912
65.150,144.851
65.180,144.790
65.212,144.731
65.246,144.671
65.282,144.611
65.321,144.550
65.362,144.488
65.405,144.424
65.451,144.358
65.500,144.290
65.551,144.222
65.605,144.153
65.660,144.083
65.717,144.013
65.777,143.943
65.837,143.874
65.900,143.805
65.963,143.738
66.028,143.671
66.095,143.607
66.162,143.543
66.230,143.481
66.300,143.421
66.370,143.361
66.441,143.303
66.514,143.246
66.587,143.190
66.661,143.135
66.736,143.081
66.812,143.028
66.888,142.975
66.966,142.924
67.044,142.873
67.123,142.822
67.202,142.772
67.282,142.722
67.363,142.672
67.445,142.622
67.527,142.572
67.609,142.521
67.693,142.470
67.776,142.418
67.861,142.366
67.946,142.313
68.031,142.259
68.117,142.205
68.204,142.151
68.292,142.096
68.381,142.041
68.470,141.985
68.560,141.930
68.651,141.875
68.744,141.820
68.837,141.766
68.932,141.712
69.027,141.659
69.124,141.606
69.222,141.554
69.320,141.503
69.419,141.453
69.517,141.403
69.615,141.354
69.713,141.305
69.809,141.257
69.904,141.210
69.997,141.163
70.087,141.117
70.176,141.071
70.261,141.026
70.343,140.981
70.422,140.937
70.498,140.894
70.570,140.854
70.639,140.816
70.705,140.782
70.768,140.752
70.828,140.728
70.885,140.709
70.940,140.697
70.992,140.692
71.042,140.692
71.092,140.696
71.141,140.701
71.190,140.703
71.242,140.701
71.296,140.692
71.353,140.675
71.414,140.650
71.477,140.619
71.544,140.584
71.613,140.546
71.686,140.506
71.761,140.466
71.838,140.427
71.919,140.390
72.001,140.357
72.086,140.329
72.174,140.306
72.262,140.286
72.353,140.269
72.444,140.255
72.536,140.242
72.628,140.231
72.721,140.221
72.813,140.210
72.905,140.200
72.995,140.188
73.085,140.174
73.173,140.159
73.260,140.142
73.347,140.123
73.433,140.103
73.519,140.081
73.605,140.058
73.692,140.034
73.780,140.009
73.868,139.983
73.959,139.957
74.051,139.931
74.144,139.904
74.240,139.877
74.338,139.849
74.437,139.821
74.538,139.793
74.640,139.763
74.743,139.733
74.846,139.701
74.950,139.669
75.054,139.635
75.159,139.599
75.263,139.563
75.367,139.524
75.470,139.484
75.573,139.442
75.675,139.398
75.776,139.353
75.877,139.307
75.977,139.260
76.077,139.213
76.176,139.166
76.275,139.119
76.374,139.073
76.472,139.027
76.570,138.983
76.667,138.940
76.765,138.899
76.862,138.861
76.960,138.824
77.057,138.790
77.154,138.757
77.252,138.726
77.349,138.697
77.447,138.668
77.544,138.639
77.641,138.611
77.739,138.583
77.837,138.554
77.934,138.525
78.032,138.494
78.130,138.462
78.228,138.429
78.326,138.394
78.423,138.358
