X	Y
66.131	144.854
66.145	144.930
66.169	144.999
66.200	145.064
66.232	145.126
66.259	145.189
66.281	145.254
66.297	145.322
66.309	145.395
66.317	145.474
66.322	145.557
66.327	145.641
66.335	145.719
66.347	145.789
66.365	145.845
66.389	145.891
66.414	145.934
66.439	145.978
66.462	146.028
66.482	146.084
66.500	146.146
66.516	146.213
66.533	146.280
66.552	146.344
66.576	146.399
66.606	146.440
66.649	146.460
66.706	146.454
66.772	146.427
66.830	146.398
66.861	146.387
66.861	146.406
66.869	146.446
66.906	146.497
66.961	146.556
67.023	146.618
67.083	146.682
67.132	146.745
67.170	146.808
67.199	146.874
67.220	146.944
67.236	147.021
67.249	147.102
67.262	147.184
67.277	147.262
67.298	147.331
67.326	147.389
67.362	147.438
67.405	147.483
67.455	147.527
67.512	147.574
67.572	147.620
67.633	147.662
67.693	147.697
67.749	147.721
67.803	147.740
67.855	147.760
67.906	147.787
67.954	147.824
67.997	147.868
68.028	147.916
68.045	147.964
68.060	147.992
68.085	147.979
68.121	147.926
68.159	147.846
68.192	147.752
68.213	147.656
68.218	147.569
68.218	147.496
68.226	147.440
68.255	147.404
68.311	147.391
68.385	147.396
68.464	147.416
68.538	147.444
68.598	147.478
68.647	147.513
68.693	147.542
68.745	147.561
68.805	147.569
68.872	147.567
68.943	147.560
69.014	147.549
69.084	147.535
69.148	147.512
69.206	147.474
69.252	147.419
69.290	147.346
69.323	147.267
69.358	147.191
69.401	147.131
69.456	147.094
69.523	147.081
69.600	147.086
69.682	147.102
69.767	147.122
69.851	147.142
69.931	147.156
70.003	147.162
70.064	147.156
70.111	147.135
70.154	147.103
70.205	147.067
70.277	147.036
70.375	147.014
70.491	146.996
70.615	146.980
70.736	146.962
70.846	146.939
70.932	146.907
70.989	146.863
71.020	146.809
71.038	146.748
71.057	146.683
71.086	146.618
71.126	146.555
71.172	146.495
71.221	146.442
71.270	146.397
71.318	146.357
71.367	146.321
71.417	146.282
71.470	146.241
71.528	146.201
71.592	146.173
71.663	146.166
71.743	146.186
71.825	146.224
71.898	146.261
71.953	146.280
71.980	146.265
71.983	146.213
71.974	146.142
71.970	146.067
71.983	146.004
72.012	145.952
72.050	145.907
72.094	145.862
72.138	145.815
72.184	145.768
72.232	145.721
72.283	145.677
72.336	145.635
72.390	145.593
72.444	145.548
72.494	145.497
72.542	145.441
72.589	145.381
72.637	145.322
72.688	145.267
72.745	145.219
72.806	145.176
72.867	145.136
72.926	145.096
72.979	145.053
73.027	145.005
73.070	144.953
73.111	144.896
73.152	144.834
73.192	144.767
73.228	144.697
73.259	144.624
73.280	144.549
73.290	144.473
73.291	144.395
73.287	144.316
73.283	144.238
73.285	144.159
73.294	144.080
73.308	144.004
73.319	143.930
73.323	143.860
73.314	143.795
73.289	143.737
73.251	143.682
73.198	143.632
73.134	143.584
73.061	143.538
72.983	143.494
72.907	143.452
72.837	143.411
72.777	143.371
72.728	143.332
72.683	143.293
72.636	143.254
72.582	143.215
72.523	143.177
72.459	143.142
72.395	143.112
72.331	143.087
72.268	143.067
72.205	143.050
72.139	143.035
72.070	143.018
71.997	143.000
71.919	142.983
71.839	142.968
71.756	142.957
71.670	142.951
71.582	142.949
71.495	142.950
71.410	142.953
71.327	142.956
71.247	142.958
71.169	142.958
71.091	142.958
71.008	142.957
70.917	142.956
70.818	142.956
70.711	142.956
70.601	142.956
70.491	142.956
70.385	142.956
70.285	142.956
70.195	142.956
70.113	142.956
70.035	142.956
69.957	142.956
69.873	142.956
69.779	142.956
69.678	142.956
69.572	142.956
69.465	142.956
69.360	142.956
69.261	142.956
69.171	142.956
69.088	142.956
69.012	142.956
68.938	142.956
68.866	142.956
68.792	142.956
68.717	142.956
68.642	142.956
68.568	142.956
68.496	142.957
68.425	142.958
68.352	142.958
68.277	142.958
68.197	142.956
68.110	142.952
68.021	142.946
67.929	142.939
67.838	142.931
67.750	142.921
67.666	142.911
67.587	142.901
67.510	142.892
67.434	142.886
67.359	142.883
67.283	142.884
67.207	142.887
67.133	142.888
67.061	142.885
66.994	142.875
66.929	142.859
66.866	142.839
66.803	142.816
66.739	142.791
66.676	142.764
66.614	142.730
66.556	142.687
66.504	142.630
66.457	142.566
66.414	142.505
66.373	142.460
66.332	142.440
66.287	142.443
66.235	142.448
66.171	142.436
66.098	142.404
66.027	142.373
65.969	142.364
65.934	142.394
65.924	142.467
65.933	142.572
65.955	142.693
65.982	142.818
66.009	142.934
66.029	143.027
66.040	143.097
66.047	143.154
66.054	143.213
66.064	143.286
66.080	143.378
66.099	143.479
66.121	143.584
66.142	143.685
66.163	143.773
66.180	143.843
66.193	143.898
66.201	143.947
66.205	143.999
66.206	144.058
66.204	144.120
66.204	144.183
66.207	144.241
66.210	144.298
66.210	144.359
66.203	144.427
66.187	144.506
66.166	144.592
66.147	144.681
66.133	144.770
66.131	144.854
