X	Y
64.595	141.506
64.657	141.423
64.730	141.351
64.812	141.289
64.902	141.235
64.996	141.188
65.095	141.147
65.195	141.110
65.295	141.077
65.393	141.045
65.488	141.014
65.576	140.982
65.658	140.949
65.735	140.916
65.807	140.882
65.876	140.848
65.943	140.816
66.009	140.786
66.075	140.758
66.143	140.733
66.213	140.712
66.284	140.692
66.356	140.673
66.427	140.653
66.495	140.631
66.561	140.604
66.623	140.571
66.679	140.531
66.730	140.486
66.777	140.441
66.820	140.402
66.860	140.374
66.899	140.365
66.937	140.379
66.974	140.413
67.009	140.463
67.040	140.522
67.067	140.583
67.089	140.641
67.104	140.690
67.117	140.727
67.134	140.754
67.164	140.770
67.212	140.777
67.272	140.776
67.336	140.769
67.396	140.758
67.442	140.744
67.467	140.730
67.469	140.714
67.459	140.688
67.445	140.648
67.433	140.597
67.428	140.540
67.433	140.479
67.454	140.418
67.495	140.361
67.556	140.309
67.633	140.260
67.725	140.216
67.828	140.175
67.942	140.137
68.062	140.102
68.187	140.070
68.315	140.040
68.441	140.012
68.565	139.986
68.684	139.961
68.796	139.937
68.901	139.914
69.001	139.892
69.097	139.871
69.189	139.852
69.280	139.835
69.370	139.819
69.459	139.804
69.551	139.792
69.644	139.781
69.741	139.772
69.842	139.765
69.945	139.760
70.051	139.757
70.158	139.755
70.266	139.755
70.375	139.756
70.483	139.759
70.592	139.763
70.698	139.769
70.804	139.776
70.906	139.783
71.006	139.792
71.103	139.802
71.197	139.814
71.287	139.828
71.373	139.844
71.455	139.862
71.532	139.883
71.605	139.907
71.672	139.933
71.735	139.963
71.793	139.995
71.848	140.028
71.900	140.062
71.950	140.097
72.000	140.131
72.049	140.164
72.096	140.197
72.141	140.231
72.181	140.267
72.215	140.309
72.239	140.357
72.253	140.412
72.260	140.473
72.265	140.533
72.273	140.588
72.291	140.633
72.322	140.664
72.369	140.679
72.426	140.682
72.487	140.681
72.545	140.681
72.593	140.690
72.625	140.712
72.640	140.749
72.640	140.797
72.631	140.850
72.615	140.904
72.596	140.955
72.575	141.003
72.551	141.048
72.524	141.092
72.493	141.136
72.458	141.182
72.418	141.229
72.374	141.279
72.329	141.328
72.283	141.378
72.238	141.427
72.196	141.475
72.158	141.519
72.123	141.561
72.091	141.600
72.058	141.635
72.022	141.665
71.982	141.692
71.936	141.714
71.886	141.735
71.836	141.756
71.788	141.782
71.746	141.816
71.713	141.859
71.690	141.912
71.674	141.973
71.665	142.040
71.660	142.110
71.657	142.181
71.655	142.251
71.652	142.317
71.647	142.379
71.643	142.438
71.641	142.495
71.642	142.551
71.647	142.609
71.659	142.667
71.676	142.728
71.695	142.791
71.714	142.854
71.728	142.916
71.735	142.978
71.730	143.037
71.712	143.094
71.680	143.148
71.635	143.201
71.578	143.253
71.510	143.304
71.433	143.355
71.348	143.408
71.256	143.462
71.157	143.518
71.054	143.577
70.947	143.640
70.838	143.704
70.729	143.771
70.620	143.841
70.513	143.912
70.410	143.984
70.312	144.058
70.220	144.133
70.136	144.209
70.062	144.285
69.998	144.362
69.945	144.438
69.906	144.514
69.881	144.585
69.871	144.650
69.875	144.706
69.895	144.751
69.931	144.781
69.983	144.796
70.046	144.800
70.115	144.798
70.186	144.795
70.252	144.796
70.309	144.807
70.353	144.831
70.381	144.868
70.392	144.913
70.386	144.960
70.364	145.004
70.326	145.039
70.275	145.067
70.217	145.087
70.154	145.101
70.092	145.108
70.034	145.109
69.983	145.106
69.942	145.102
69.910	145.102
69.887	145.111
69.874	145.130
69.866	145.161
69.857	145.201
69.843	145.249
69.822	145.302
69.793	145.353
69.757	145.397
69.714	145.428
69.664	145.440
69.607	145.430
69.545	145.400
69.480	145.352
69.415	145.290
69.351	145.216
69.290	145.135
69.235	145.049
69.187	144.961
69.148	144.874
69.120	144.791
69.100	144.712
69.086	144.635
69.074	144.562
69.062	144.491
69.048	144.422
69.029	144.355
69.002	144.290
68.965	144.226
68.920	144.163
68.868	144.104
68.809	144.047
68.746	143.994
68.678	143.946
68.609	143.902
68.538	143.864
68.466	143.831
68.395	143.804
68.322	143.781
68.249	143.760
68.175	143.742
68.098	143.724
68.020	143.705
67.939	143.685
67.855	143.662
67.768	143.636
67.680	143.609
67.591	143.581
67.502	143.553
67.413	143.527
67.326	143.502
67.241	143.481
67.160	143.465
67.082	143.453
67.008	143.447
66.939	143.445
66.871	143.444
66.806	143.443
66.742	143.440
66.678	143.432
66.613	143.417
66.548	143.394
66.481	143.365
66.413	143.328
66.346	143.287
66.278	143.243
66.210	143.195
66.143	143.146
66.078	143.096
66.013	143.048
65.950	143.001
65.888	142.957
65.828	142.918
65.769	142.884
65.711	142.856
65.654	142.837
65.598	142.826
65.543	142.824
65.488	142.828
65.431	142.837
65.372	142.848
65.309	142.859
65.241	142.868
65.169	142.874
65.093	142.873
65.016	142.866
64.938	142.850
64.862	142.824
64.789	142.787
64.721	142.736
64.659	142.672
64.605	142.592
64.559	142.500
64.522	142.397
64.494	142.287
64.476	142.171
64.468	142.052
64.470	141.934
64.484	141.817
64.509	141.706
64.546	141.601
64.595	141.506
