X,Y
64.779,141.838
64.866,141.793
64.963,141.765
65.067,141.753
65.178,141.754
65.295,141.765
65.415,141.784
65.537,141.808
65.660,141.835
65.783,141.862
65.904,141.886
66.022,141.907
66.139,141.925
66.254,141.940
66.369,141.954
66.484,141.966
66.599,141.978
66.716,141.989
66.834,142.001
66.955,142.014
67.079,142.029
67.205,142.045
67.335,142.064
67.467,142.084
67.601,142.106
67.736,142.130
67.872,142.156
68.009,142.184
68.146,142.213
68.282,142.245
68.418,142.278
68.553,142.313
68.687,142.349
68.819,142.388
68.949,142.428
69.079,142.470
69.207,142.513
69.335,142.557
69.461,142.603
69.587,142.651
69.713,142.699
69.838,142.749
69.963,142.800
70.087,142.852
70.211,142.905
70.335,142.958
70.459,143.012
70.581,143.067
70.702,143.121
70.822,143.175
70.941,143.229
71.057,143.282
71.172,143.334
71.285,143.385
71.395,143.435
71.503,143.483
71.608,143.531
71.710,143.578
71.810,143.626
71.908,143.675
72.003,143.726
72.096,143.779
72.186,143.834
72.274,143.893
72.360,143.956
72.444,144.022
72.525,144.091
72.605,144.162
72.683,144.234
72.759,144.307
72.834,144.380
72.907,144.452
72.979,144.524
73.051,144.593
73.121,144.661
73.189,144.728
73.255,144.796
73.319,144.863
73.380,144.932
73.439,145.002
73.494,145.075
73.545,145.150
73.592,145.228
73.635,145.307
73.672,145.388
73.703,145.469
73.728,145.551
73.745,145.632
73.756,145.713
73.759,145.794
73.759,145.873
73.755,145.953
73.751,146.034
73.749,146.115
73.749,146.196
73.755,146.280
73.764,146.364
73.775,146.449
73.786,146.535
73.794,146.622
73.797,146.709
73.792,146.795
73.779,146.882
73.756,146.969
73.725,147.055
73.688,147.142
73.646,147.228
73.602,147.315
73.558,147.403
73.514,147.491
73.473,147.580
73.435,147.670
73.398,147.760
73.361,147.850
73.322,147.939
73.279,148.028
73.232,148.115
73.178,148.200
73.116,148.283
73.046,148.364
72.971,148.442
72.894,148.517
72.819,148.591
72.749,148.661
72.689,148.730
72.641,148.796
72.611,148.860
72.598,148.921
72.602,148.982
72.618,149.045
72.641,149.110
72.667,149.179
72.692,149.255
72.713,149.337
72.729,149.422
72.736,149.507
72.734,149.589
72.720,149.663
72.693,149.728
72.652,149.780
72.597,149.819
72.532,149.847
72.460,149.867
72.383,149.880
72.303,149.888
72.225,149.893
72.148,149.896
72.074,149.897
72.002,149.897
71.932,149.895
71.866,149.891
71.802,149.887
71.740,149.884
71.680,149.884
71.619,149.891
71.556,149.907
71.490,149.935
71.420,149.976
71.347,150.026
71.272,150.078
71.197,150.129
71.123,150.174
71.051,150.206
70.981,150.222
70.915,150.219
70.852,150.200
70.790,150.170
70.728,150.134
70.665,150.096
70.601,150.061
70.533,150.031
70.465,150.007
70.395,149.988
70.327,149.974
70.259,149.966
70.195,149.963
70.132,149.965
70.072,149.973
70.011,149.988
69.950,150.009
69.887,150.038
69.821,150.074
69.751,150.114
69.679,150.155
69.604,150.193
69.526,150.226
69.446,150.248
69.362,150.258
69.277,150.253
69.190,150.235
69.103,150.207
69.017,150.171
68.933,150.132
68.852,150.090
68.776,150.050
68.704,150.014
68.637,149.982
68.572,149.957
68.507,149.939
68.440,149.928
68.369,149.925
68.292,149.932
68.210,149.946
68.123,149.964
68.033,149.985
67.942,150.005
67.850,150.023
67.760,150.034
67.672,150.037
67.588,150.029
67.507,150.011
67.430,149.982
67.357,149.943
67.288,149.895
67.222,149.836
67.160,149.769
67.101,149.692
67.045,149.608
66.992,149.517
66.941,149.421
66.891,149.321
66.841,149.218
66.793,149.113
66.744,149.009
66.695,148.905
66.645,148.804
66.594,148.704
66.542,148.607
66.490,148.511
66.437,148.416
66.385,148.322
66.332,148.229
66.280,148.136
66.229,148.043
66.178,147.950
66.129,147.857
66.080,147.763
66.033,147.668
65.987,147.571
65.943,147.474
65.901,147.375
65.861,147.275
65.823,147.172
65.787,147.068
65.754,146.961
65.723,146.853
65.694,146.743
65.666,146.632
65.641,146.520
65.617,146.408
65.594,146.295
65.573,146.182
65.552,146.070
65.532,145.957
65.513,145.846
65.494,145.735
65.474,145.624
65.453,145.515
65.430,145.406
65.405,145.299
65.378,145.192
65.347,145.087
65.313,144.983
65.275,144.881
65.233,144.781
65.187,144.683
65.139,144.588
65.086,144.497
65.031,144.411
64.972,144.329
64.910,144.252
64.846,144.181
64.780,144.114
64.713,144.051
64.648,143.990
64.587,143.929
64.530,143.867
64.481,143.802
64.439,143.733
64.407,143.658
64.384,143.578
64.368,143.491
64.359,143.399
64.356,143.300
64.359,143.194
64.366,143.082
64.377,142.962
64.390,142.835
64.408,142.705
64.430,142.573
64.457,142.442
64.491,142.315
64.532,142.195
64.580,142.085
64.637,141.986
64.703,141.903
64.779,141.838
