X	Y
350.500	163.000
351.588	161.653
352.813	160.349
354.161	159.081
355.618	157.846
357.170	156.637
358.805	155.451
360.508	154.281
362.266	153.123
364.065	151.971
365.891	150.822
367.731	149.669
369.573	148.508
371.412	147.343
373.248	146.178
375.079	145.018
376.904	143.869
378.723	142.734
380.535	141.620
382.338	140.531
384.132	139.472
385.916	138.448
387.688	137.465
389.448	136.527
391.196	135.637
392.936	134.789
394.675	133.975
396.418	133.185
398.172	132.411
399.941	131.645
401.733	130.877
403.553	130.099
405.406	129.302
407.300	128.478
409.239	127.617
411.229	126.713
413.268	125.766
415.350	124.780
417.472	123.758
419.627	122.703
421.813	121.620
424.024	120.511
426.255	119.381
428.502	118.232
430.760	117.069
433.024	115.894
435.290	114.711
437.553	113.525
439.809	112.337
442.052	111.153
444.283	109.979
446.498	108.821
448.696	107.685
450.875	106.578
453.034	105.506
455.171	104.475
457.283	103.493
459.371	102.565
461.431	101.697
463.462	100.896
465.463	100.169
467.431	99.521
469.366	98.957
471.278	98.462
473.175	98.019
475.067	97.613
476.964	97.224
478.877	96.837
480.816	96.433
482.790	95.997
484.809	95.510
486.883	94.956
489.023	94.317
491.237	93.577
493.526	92.736
495.882	91.809
498.296	90.810
500.759	89.755
503.263	88.658
505.799	87.535
508.360	86.399
510.936	85.267
513.519	84.152
516.100	83.071
518.671	82.037
521.224	81.065
523.750	80.172
526.240	79.370
528.686	78.676
531.085	78.089
533.437	77.597
535.744	77.187
538.007	76.845
540.228	76.559
542.408	76.314
544.548	76.097
546.649	75.895
548.713	75.695
550.742	75.483
552.736	75.246
554.697	74.970
556.626	74.649
558.526	74.293
560.400	73.919
562.249	73.540
564.077	73.171
565.885	72.828
567.677	72.526
569.455	72.278
571.222	72.101
572.979	72.009
574.731	72.015
576.482	72.112
578.239	72.281
580.011	72.504
581.805	72.763
583.627	73.038
585.486	73.311
587.389	73.564
589.343	73.776
591.356	73.931
593.435	74.009
595.578	74.005
597.768	73.942
599.983	73.848
602.201	73.750
604.402	73.676
606.564	73.654
608.665	73.710
610.684	73.871
612.601	74.167
614.393	74.623
616.040	75.267
617.521	76.125
618.829	77.191
619.962	78.445
620.921	79.867
621.705	81.435
622.313	83.128
622.745	84.925
623.001	86.805
623.079	88.748
622.979	90.731
622.706	92.739
622.273	94.766
621.697	96.808
620.996	98.862
620.185	100.925
619.282	102.994
618.304	105.064
617.266	107.133
616.187	109.197
615.082	111.252
613.969	113.296
612.865	115.326
611.784	117.337
610.733	119.330
609.709	121.309
608.712	123.275
607.739	125.232
606.789	127.182
605.860	129.127
604.951	131.071
604.059	133.016
603.184	134.965
602.323	136.921
601.474	138.885
600.637	140.862
599.808	142.849
598.985	144.840
598.164	146.829
597.343	148.811
596.518	150.778
595.685	152.725
594.843	154.646
593.987	156.533
593.114	158.382
592.222	160.185
591.307	161.936
590.365	163.630
589.390	165.258
588.374	166.811
587.306	168.281
586.178	169.660
584.981	170.937
583.706	172.104
582.344	173.154
580.886	174.075
579.323	174.861
577.647	175.504
575.859	176.012
573.965	176.397
571.970	176.673
569.880	176.853
567.698	176.952
565.432	176.982
563.085	176.957
560.663	176.891
558.172	176.796
555.617	176.687
553.002	176.576
550.334	176.477
547.618	176.400
544.864	176.343
542.081	176.306
539.279	176.288
536.466	176.288
533.653	176.304
530.848	176.335
528.061	176.381
525.302	176.440
522.579	176.510
519.902	176.592
517.281	176.684
514.724	176.785
512.242	176.893
509.843	177.008
507.534	177.126
505.318	177.235
503.191	177.324
501.155	177.379
499.208	177.387
497.349	177.336
495.578	177.212
493.895	177.003
492.297	176.696
490.785	176.278
489.357	175.737
488.006	175.078
486.716	174.328
485.470	173.513
484.252	172.661
483.046	171.797
481.836	170.950
480.605	170.146
479.338	169.412
478.020	168.770
476.648	168.227
475.220	167.788
473.733	167.458
472.185	167.242
470.572	167.146
468.892	167.174
467.143	167.332
465.322	167.623
463.432	168.045
461.485	168.583
459.491	169.220
457.461	169.941
455.408	170.730
453.342	171.569
451.274	172.444
449.216	173.339
447.180	174.237
445.177	175.122
443.217	175.978
441.312	176.790
439.464	177.548
437.658	178.255
435.879	178.912
434.114	179.523
432.346	180.088
430.562	180.612
428.747	181.096
426.886	181.543
424.964	181.954
422.967	182.333
420.880	182.682
418.710	183.006
416.479	183.314
414.212	183.615
411.933	183.916
409.666	184.226
407.434	184.554
405.263	184.908
403.175	185.297
401.195	185.728
399.347	186.211
397.655	186.754
396.141	187.363
394.793	188.031
393.574	188.735
392.443	189.452
391.363	190.158
390.293	190.831
389.196	191.449
388.030	191.988
386.766	192.430
385.406	192.780
383.959	193.048
382.438	193.244
380.852	193.378
379.213	193.460
377.532	193.500
375.820	193.509
374.088	193.495
372.347	193.462
370.612	193.393
368.898	193.269
367.219	193.074
365.589	192.789
364.024	192.397
362.538	191.880
361.144	191.219
359.859	190.397
358.689	189.409
357.621	188.282
356.637	187.052
355.723	185.754
354.859	184.422
354.031	183.092
353.220	181.797
352.409	180.574
351.584	179.454
350.752	178.439
349.942	177.493
349.185	176.579
348.514	175.664
347.959	174.709
347.551	173.680
347.319	172.546
347.267	171.312
347.391	170.001
347.686	168.632
348.149	167.226
348.776	165.805
349.561	164.389
350.500	163.000
