X	Y
351.500	180.000
353.021	179.620
354.698	179.293
356.522	179.015
358.481	178.784
360.566	178.596
362.767	178.450
365.073	178.341
367.475	178.268
369.963	178.228
372.525	178.217
375.152	178.232
377.835	178.272
380.562	178.333
383.324	178.412
386.111	178.507
388.912	178.614
391.717	178.732
394.517	178.856
397.300	178.984
400.058	179.113
402.779	179.242
405.454	179.365
408.073	179.482
410.627	179.588
413.116	179.684
415.545	179.766
417.918	179.836
420.240	179.890
422.516	179.929
424.748	179.952
426.943	179.956
429.104	179.942
431.236	179.908
433.343	179.853
435.430	179.776
437.500	179.676
439.559	179.552
441.611	179.403
443.661	179.227
445.712	179.024
447.768	178.792
449.836	178.532
451.918	178.240
454.020	177.917
456.144	177.564
458.289	177.184
460.454	176.783
462.639	176.365
464.842	175.935
467.062	175.499
469.299	175.061
471.550	174.626
473.816	174.199
476.095	173.784
478.386	173.388
480.688	173.014
483.000	172.667
485.321	172.353
487.650	172.076
489.986	171.841
492.328	171.653
494.675	171.517
497.025	171.438
499.379	171.420
501.734	171.469
504.090	171.589
506.446	171.777
508.802	172.029
511.158	172.338
513.514	172.697
515.869	173.102
518.224	173.546
520.577	174.023
522.929	174.526
525.280	175.051
527.629	175.591
529.976	176.140
532.321	176.692
534.663	177.241
537.004	177.781
539.341	178.306
541.675	178.810
544.007	179.287
546.335	179.732
548.659	180.137
550.980	180.498
553.296	180.808
555.609	181.061
557.913	181.257
560.200	181.407
562.458	181.523
564.678	181.617
566.849	181.701
568.960	181.788
571.001	181.888
572.961	182.015
574.831	182.180
576.598	182.395
578.253	182.673
579.786	183.026
581.185	183.464
582.441	184.002
583.542	184.650
584.479	185.420
585.240	186.326
585.826	187.370
586.250	188.545
586.526	189.843
586.670	191.255
586.695	192.773
586.618	194.388
586.452	196.091
586.213	197.875
585.916	199.731
585.574	201.649
585.204	203.622
584.819	205.642
584.435	207.699
584.066	209.785
583.728	211.891
583.434	214.010
583.192	216.133
582.993	218.254
582.825	220.367
582.677	222.467
582.539	224.546
582.398	226.600
582.245	228.622
582.067	230.607
581.854	232.547
581.595	234.438
581.279	236.273
580.894	238.047
580.429	239.753
579.874	241.385
579.217	242.938
578.447	244.404
577.553	245.780
576.524	247.058
575.359	248.240
574.068	249.336
572.660	250.356
571.147	251.311
569.538	252.212
567.843	253.068
566.074	253.889
564.239	254.687
562.350	255.472
560.416	256.253
558.449	257.042
556.457	257.848
554.452	258.682
552.443	259.555
550.441	260.476
548.456	261.457
546.499	262.507
544.579	263.636
542.706	264.855
540.881	266.157
539.098	267.530
537.352	268.959
535.638	270.431
533.952	271.933
532.287	273.450
530.639	274.970
529.003	276.479
527.373	277.962
525.745	279.407
524.114	280.800
522.473	282.128
520.819	283.375
519.146	284.530
517.448	285.579
515.722	286.507
513.961	287.301
512.161	287.949
510.317	288.435
508.423	288.749
506.482	288.899
504.497	288.898
502.471	288.763
500.408	288.506
498.311	288.144
496.183	287.691
494.028	287.161
491.850	286.569
489.651	285.929
487.436	285.257
485.207	284.568
482.968	283.875
480.723	283.193
478.474	282.537
476.226	281.923
473.981	281.364
471.744	280.875
469.517	280.470
467.304	280.166
465.109	279.975
462.932	279.906
460.773	279.949
458.629	280.092
456.496	280.322
454.373	280.628
452.256	280.997
450.144	281.418
448.033	281.878
445.921	282.365
443.806	282.866
441.684	283.371
439.554	283.866
437.412	284.340
435.256	284.780
433.084	285.174
430.893	285.511
428.679	285.778
426.442	285.962
424.177	286.053
421.883	286.037
419.557	285.903
417.202	285.651
414.822	285.287
412.424	284.818
410.014	284.252
407.596	283.595
405.177	282.855
402.763	282.039
400.358	281.153
397.969	280.205
395.601	279.202
393.260	278.151
390.951	277.059
388.681	275.932
386.454	274.779
384.277	273.606
382.155	272.420
380.094	271.228
378.099	270.038
376.176	268.856
374.331	267.689
372.569	266.545
370.897	265.430
369.316	264.350
367.823	263.302
366.410	262.282
365.072	261.286
363.801	260.311
362.592	259.353
361.436	258.407
360.329	257.471
359.263	256.540
358.231	255.610
357.228	254.677
356.246	253.739
355.279	252.790
354.321	251.827
353.365	250.846
352.412	249.845
351.468	248.821
350.540	247.772
349.632	246.696
348.750	245.591
347.900	244.455
347.088	243.285
346.319	242.079
345.600	240.836
344.935	239.553
344.331	238.229
343.794	236.860
343.328	235.444
342.935	233.983
342.610	232.478
342.347	230.934
342.141	229.353
341.985	227.739
341.875	226.094
341.804	224.423
341.767	222.728
341.759	221.013
341.773	219.281
341.805	217.535
341.848	215.778
341.897	214.014
341.946	212.245
341.990	210.476
342.023	208.710
342.048	206.951
342.067	205.204
342.086	203.477
342.110	201.774
342.141	200.100
342.186	198.463
342.249	196.867
342.334	195.317
342.445	193.820
342.587	192.381
342.764	191.007
342.981	189.701
343.243	188.471
343.553	187.321
343.919	186.256
344.350	185.273
344.857	184.368
345.453	183.540
346.148	182.785
346.953	182.100
347.879	181.482
348.939	180.928
350.142	180.435
351.500	180.000
