X,Y
351.000,221.000
352.398,220.158
354.039,219.576
355.902,219.229
357.966,219.095
360.210,219.150
362.612,219.369
365.151,219.730
367.806,220.208
370.555,220.781
373.376,221.424
376.249,222.113
379.152,222.826
382.064,223.538
384.964,224.225
387.837,224.875
390.678,225.488
393.484,226.066
396.253,226.612
398.980,227.129
401.662,227.619
404.295,228.083
406.877,228.526
409.404,228.949
411.871,229.354
414.277,229.744
416.618,230.122
418.890,230.489
421.089,230.849
423.213,231.203
425.266,231.555
427.259,231.904
429.200,232.254
431.102,232.605
432.973,232.959
434.824,233.318
436.666,233.684
438.509,234.058
440.363,234.442
442.238,234.838
444.145,235.246
446.086,235.666
448.062,236.096
450.069,236.531
452.107,236.969
454.175,237.407
456.272,237.842
458.395,238.270
460.544,238.689
462.717,239.096
464.913,239.487
467.131,239.860
469.369,240.212
471.625,240.545
473.897,240.866
476.181,241.179
478.476,241.493
480.779,241.812
483.087,242.143
485.398,242.492
487.709,242.865
490.017,243.269
492.321,243.709
494.616,244.192
496.902,244.724
499.174,245.311
501.426,245.951
503.649,246.639
505.832,247.368
507.964,248.129
510.035,248.916
512.035,249.721
513.954,250.538
515.780,251.360
517.504,252.179
519.116,252.989
520.605,253.781
521.962,254.551
523.197,255.304
524.332,256.053
525.385,256.812
526.378,257.593
527.331,258.409
528.264,259.274
529.198,260.201
530.142,261.197
531.087,262.261
532.016,263.390
532.917,264.579
533.775,265.826
534.576,267.128
535.306,268.480
535.950,269.880
536.495,271.325
536.930,272.810
537.244,274.332
537.425,275.889
537.464,277.475
537.349,279.089
537.070,280.725
536.616,282.382
535.976,284.055
535.145,285.740
534.138,287.433
532.973,289.127
531.668,290.819
530.244,292.502
528.718,294.170
527.109,295.820
525.437,297.445
523.720,299.040
521.977,300.600
520.226,302.119
518.487,303.593
516.777,305.015
515.099,306.386
513.449,307.705
511.823,308.975
510.217,310.197
508.626,311.371
507.046,312.498
505.472,313.580
503.900,314.618
502.326,315.613
500.746,316.566
499.155,317.479
497.550,318.355
495.930,319.203
494.292,320.030
492.636,320.844
490.960,321.653
489.262,322.464
487.541,323.286
485.794,324.125
484.021,324.990
482.219,325.889
480.388,326.827
478.529,327.794
476.645,328.777
474.739,329.761
472.814,330.732
470.872,331.677
468.915,332.582
466.948,333.431
464.972,334.211
462.990,334.908
461.005,335.507
459.020,335.996
457.037,336.364
455.054,336.623
453.068,336.791
451.079,336.886
449.083,336.925
447.078,336.925
445.062,336.904
443.033,336.879
440.988,336.868
438.925,336.887
436.843,336.955
434.738,337.088
432.616,337.280
430.487,337.512
428.361,337.762
426.247,338.009
424.156,338.233
422.098,338.413
420.082,338.528
418.119,338.556
416.219,338.477
414.391,338.269
412.646,337.913
410.986,337.398
409.400,336.742
407.871,335.962
406.386,335.079
404.930,334.112
403.488,333.081
402.046,332.004
400.589,330.902
399.102,329.794
397.571,328.699
395.993,327.626
394.387,326.566
392.776,325.507
391.180,324.439
389.620,323.349
388.119,322.226
386.697,321.060
385.377,319.838
384.178,318.549
383.124,317.182
382.229,315.728
381.479,314.190
380.844,312.577
380.297,310.897
379.811,309.159
379.358,307.372
378.910,305.544
378.439,303.683
377.917,301.797
377.317,299.896
376.612,297.988
375.798,296.077
374.892,294.165
373.911,292.252
372.873,290.339
371.796,288.428
370.697,286.520
369.594,284.615
368.505,282.715
367.446,280.821
366.437,278.933
365.494,277.053
364.635,275.183
363.862,273.322
363.160,271.474
362.513,269.641
361.905,267.825
361.321,266.028
360.743,264.252
360.157,262.500
359.546,260.773
358.893,259.074
358.185,257.405
357.406,255.768
356.563,254.154
355.673,252.552
354.754,250.951
353.823,249.340
352.897,247.706
351.992,246.038
351.127,244.325
350.318,242.555
349.583,240.716
348.938,238.797
348.400,236.797
347.986,234.747
347.711,232.685
347.591,230.647
347.641,228.670
347.877,226.791
348.315,225.048
348.972,223.477
349.861,222.115
351.000,221.000
