X	Y
14.132	6.157
14.148	6.142
14.166	6.129
14.186	6.117
14.208	6.106
14.232	6.097
14.257	6.090
14.283	6.083
14.310	6.078
14.339	6.075
14.367	6.072
14.396	6.071
14.426	6.071
14.455	6.072
14.484	6.075
14.513	6.078
14.541	6.083
14.568	6.089
14.594	6.096
14.619	6.103
14.643	6.112
14.665	6.122
14.685	6.133
14.704	6.145
14.721	6.157
14.738	6.169
14.753	6.181
14.768	6.193
14.782	6.204
14.795	6.214
14.808	6.224
14.822	6.232
14.835	6.239
14.849	6.244
14.863	6.247
14.877	6.248
14.893	6.247
14.910	6.243
14.927	6.237
14.944	6.230
14.963	6.220
14.982	6.210
15.001	6.198
15.020	6.184
15.040	6.170
15.060	6.155
15.080	6.140
15.100	6.124
15.120	6.108
15.140	6.091
15.160	6.075
15.179	6.060
15.198	6.045
15.217	6.030
15.235	6.017
15.252	6.004
15.270	5.993
15.286	5.982
15.303	5.972
15.319	5.962
15.335	5.953
15.352	5.945
15.368	5.937
15.384	5.929
15.400	5.922
15.417	5.915
15.434	5.908
15.451	5.901
15.468	5.895
15.486	5.888
15.505	5.881
15.524	5.874
15.544	5.868
15.563	5.861
15.584	5.855
15.604	5.848
15.625	5.842
15.646	5.836
15.667	5.830
15.688	5.825
15.709	5.820
15.730	5.815
15.751	5.811
15.772	5.807
15.793	5.804
15.814	5.801
15.835	5.799
15.855	5.797
15.875	5.796
15.895	5.795
15.915	5.795
15.935	5.795
15.955	5.795
15.975	5.796
15.995	5.798
16.014	5.799
16.035	5.801
16.055	5.803
16.075	5.805
16.096	5.807
16.117	5.809
16.138	5.812
16.160	5.814
16.182	5.816
16.204	5.818
16.227	5.821
16.250	5.823
16.273	5.825
16.297	5.827
16.321	5.829
16.345	5.831
16.369	5.834
16.393	5.836
16.417	5.838
16.442	5.840
16.466	5.843
16.490	5.845
16.514	5.848
16.538	5.850
16.562	5.853
16.586	5.856
16.609	5.859
16.633	5.861
16.656	5.865
16.678	5.868
16.701	5.871
16.723	5.874
16.745	5.878
16.767	5.881
16.789	5.885
16.810	5.889
16.832	5.893
16.854	5.897
16.875	5.901
16.897	5.905
16.918	5.909
16.940	5.913
16.961	5.917
16.983	5.922
17.005	5.926
17.027	5.931
17.049	5.935
17.071	5.940
17.093	5.944
17.116	5.949
17.138	5.954
17.160	5.959
17.182	5.964
17.204	5.969
17.225	5.975
17.247	5.980
17.268	5.986
17.288	5.992
17.309	5.998
17.329	6.005
17.348	6.012
17.367	6.019
17.386	6.026
17.404	6.033
17.421	6.041
17.438	6.049
17.455	6.057
17.471	6.066
17.487	6.075
17.502	6.084
17.518	6.093
17.533	6.102
17.549	6.112
17.565	6.121
17.580	6.131
17.596	6.141
17.612	6.151
17.629	6.162
17.646	6.172
17.663	6.183
17.680	6.193
17.698	6.204
17.716	6.215
17.734	6.226
17.753	6.237
17.771	6.248
17.790	6.259
17.808	6.270
17.826	6.281
17.845	6.293
17.863	6.304
17.881	6.316
17.898	6.328
17.915	6.339
17.932	6.351
17.949	6.363
17.965	6.375
17.981	6.386
17.996	6.398
18.012	6.410
18.027	6.422
18.042	6.434
18.057	6.446
18.072	6.458
18.087	6.470
18.103	6.482
18.118	6.494
18.134	6.506
18.150	6.518
18.167	6.530
18.184	6.541
18.201	6.553
18.219	6.565
18.237	6.577
18.256	6.588
18.275	6.600
18.294	6.612
18.313	6.623
18.333	6.635
18.352	6.647
18.372	6.658
18.391	6.670
18.410	6.682
18.429	6.694
18.448	6.706
18.467	6.718
18.485	6.730
18.503	6.743
18.520	6.755
18.536	6.768
18.553	6.781
18.568	6.793
18.583	6.806
18.598	6.819
18.613	6.832
18.627	6.845
18.641	6.858
18.655	6.871
18.669	6.884
18.683	6.896
18.697	6.909
18.711	6.921
18.725	6.934
18.739	6.946
18.754	6.957
18.769	6.969
18.784	6.980
18.799	6.992
18.814	7.003
18.829	7.014
18.844	7.026
18.859	7.037
18.874	7.050
18.888	7.062
18.902	7.075
18.916	7.089
18.928	7.103
18.941	7.118
18.952	7.133
18.963	7.150
18.973	7.168
18.982	7.186
18.990	7.205
18.997	7.225
19.004	7.246
19.010	7.267
19.015	7.289
19.020	7.311
19.024	7.334
19.027	7.357
19.030	7.379
19.033	7.402
19.035	7.425
19.037	7.448
19.038	7.470
19.039	7.492
19.040	7.514
19.041	7.535
19.042	7.556
19.042	7.576
19.042	7.596
19.042	7.615
19.042	7.633
19.041	7.652
19.041	7.669
19.040	7.687
19.038	7.703
19.037	7.720
19.035	7.736
19.032	7.752
19.030	7.767
19.027	7.782
19.023	7.797
19.019	7.811
19.015	7.826
19.011	7.840
19.006	7.854
19.001	7.868
18.996	7.882
18.991	7.897
18.986	7.911
18.980	7.926
18.975	7.941
18.969	7.957
18.963	7.973
18.958	7.989
18.952	8.006
18.947	8.023
18.941	8.041
18.935	8.059
18.929	8.077
18.924	8.095
18.918	8.113
18.912	8.132
18.906	8.150
18.900	8.169
18.893	8.187
18.887	8.206
18.880	8.224
18.874	8.242
18.867	8.260
18.860	8.277
18.853	8.294
18.845	8.312
18.838	8.329
18.830	8.346
18.823	8.363
18.815	8.380
18.807	8.397
18.799	8.414
18.790	8.431
18.782	8.448
18.773	8.465
18.764	8.483
18.756	8.501
18.747	8.519
18.738	8.537
18.728	8.556
18.719	8.575
18.710	8.594
18.700	8.613
18.691	8.632
18.681	8.652
18.671	8.671
18.662	8.691
18.652	8.710
18.642	8.730
18.632	8.749
18.622	8.769
18.612	8.788
18.603	8.808
18.593	8.827
18.583	8.846
18.573	8.865
18.563	8.884
18.553	8.903
18.544	8.922
18.534	8.940
18.524	8.959
18.514	8.977
18.504	8.995
18.494	9.013
18.484	9.031
18.474	9.049
18.464	9.067
18.454	9.084
18.444	9.102
18.434	9.120
18.423	9.137
18.413	9.154
18.402	9.172
18.392	9.189
18.381	9.206
18.370	9.223
18.359	9.240
18.348	9.257
18.337	9.274
18.325	9.290
18.314	9.306
18.302	9.322
18.290	9.338
18.279	9.353
18.267	9.368
18.254	9.383
18.242	9.398
18.230	9.412
18.217	9.425
18.205	9.439
18.192	9.452
18.179	9.464
18.166	9.477
18.152	9.489
18.139	9.500
18.125	9.511
18.111	9.522
18.097	9.533
18.083	9.543
18.068	9.553
18.053	9.563
18.038	9.573
18.023	9.582
18.008	9.591
17.992	9.599
17.976	9.608
17.960	9.616
17.945	9.624
17.929	9.632
17.913	9.639
17.898	9.646
17.882	9.654
17.867	9.660
17.852	9.667
17.838	9.674
17.824	9.680
17.810	9.687
17.797	9.693
17.783	9.699
17.770	9.704
17.758	9.710
17.745	9.715
17.732	9.719
17.719	9.723
17.705	9.727
17.692	9.730
17.678	9.733
17.663	9.735
17.648	9.736
17.632	9.736
17.616	9.736
17.600	9.735
17.584	9.734
17.568	9.731
17.551	9.728
17.535	9.724
17.519	9.719
17.503	9.714
17.488	9.707
17.472	9.699
17.458	9.691
17.444	9.681
17.430	9.671
17.417	9.660
17.404	9.649
17.392	9.637
17.379	9.624
17.367	9.612
17.355	9.599
17.344	9.586
17.332	9.572
17.320	9.559
17.308	9.547
17.296	9.534
17.284	9.522
17.272	9.510
17.259	9.498
17.247	9.488
17.234	9.478
17.221	9.468
17.209	9.460
17.196	9.452
17.183	9.445
17.171	9.439
17.158	9.434
17.146	9.431
17.134	9.428
17.122	9.427
17.110	9.427
17.098	9.428
17.087	9.430
17.075	9.433
17.064	9.437
17.053	9.441
17.042	9.446
17.032	9.452
17.021	9.458
17.011	9.465
17.000	9.472
16.990	9.478
16.979	9.485
16.968	9.490
16.956	9.496
16.944	9.500
16.932	9.503
16.919	9.505
16.905	9.506
16.891	9.505
16.876	9.503
16.860	9.500
16.844	9.497
16.828	9.493
16.811	9.488
16.793	9.483
16.776	9.478
16.757	9.474
16.739	9.469
16.720	9.465
16.702	9.462
16.683	9.460
16.664	9.458
16.644	9.458
16.625	9.458
16.606	9.460
16.586	9.461
16.567	9.464
16.547	9.466
16.527	9.469
16.508	9.473
16.488	9.476
16.468	9.479
16.449	9.482
16.429	9.485
16.409	9.487
16.389	9.489
16.369	9.490
16.350	9.491
16.330	9.490
16.310	9.490
16.291	9.488
16.271	9.486
16.252	9.483
16.232	9.479
16.213	9.475
16.194	9.470
16.176	9.465
16.157	9.459
16.139	9.452
16.120	9.444
16.103	9.436
16.085	9.428
16.068	9.419
16.051	9.409
16.034	9.399
16.017	9.388
16.001	9.377
15.985	9.366
15.969	9.354
15.954	9.342
15.938	9.330
15.923	9.319
15.908	9.307
15.893	9.295
15.878	9.283
15.863	9.272
15.848	9.260
15.834	9.249
15.819	9.239
15.804	9.229
15.790	9.219
15.776	9.209
15.762	9.199
15.748	9.189
15.735	9.179
15.722	9.169
15.709	9.158
15.697	9.147
15.685	9.135
15.674	9.122
15.664	9.109
15.654	9.094
15.645	9.079
15.637	9.062
15.629	9.045
15.622	9.027
15.615	9.009
15.608	8.990
15.602	8.970
15.595	8.951
15.589	8.931
15.582	8.911
15.575	8.891
15.568	8.871
15.561	8.851
15.553	8.832
15.545	8.813
15.535	8.795
15.526	8.777
15.515	8.760
15.504	8.744
15.492	8.728
15.479	8.713
15.466	8.698
15.453	8.684
15.439	8.670
15.425	8.657
15.411	8.644
15.396	8.631
15.381	8.618
15.366	8.606
15.351	8.594
15.335	8.582
15.320	8.570
15.305	8.558
15.290	8.546
15.275	8.534
15.260	8.522
15.245	8.510
15.230	8.498
15.216	8.486
15.201	8.473
15.186	8.461
15.171	8.448
15.155	8.435
15.140	8.422
15.125	8.408
15.109	8.394
15.094	8.380
15.078	8.365
15.062	8.350
15.046	8.335
15.030	8.319
15.013	8.303
14.997	8.287
14.980	8.270
14.963	8.253
14.946	8.236
14.929	8.219
14.912	8.201
14.894	8.184
14.877	8.166
14.860	8.148
14.842	8.130
14.825	8.112
14.807	8.095
14.789	8.077
14.771	8.059
14.754	8.041
14.736	8.024
14.718	8.006
14.700	7.989
14.682	7.972
14.664	7.955
14.646	7.938
14.628	7.921
14.610	7.905
14.592	7.888
14.574	7.872
14.555	7.856
14.537	7.840
14.518	7.825
14.500	7.809
14.481	7.794
14.462	7.780
14.443	7.765
14.423	7.751
14.404	7.737
14.384	7.723
14.365	7.709
14.345	7.696
14.325	7.683
14.305	7.670
14.285	7.657
14.266	7.643
14.247	7.630
14.228	7.617
14.210	7.603
14.193	7.588
14.176	7.574
14.161	7.558
14.146	7.543
14.132	7.526
14.120	7.509
14.108	7.490
14.098	7.471
14.090	7.451
14.083	7.430
14.077	7.408
14.073	7.384
14.070	7.360
14.069	7.335
14.068	7.308
14.068	7.281
14.070	7.254
14.072	7.225
14.074	7.196
14.077	7.166
14.081	7.136
14.085	7.105
14.089	7.074
14.093	7.042
14.097	7.010
14.102	6.978
14.105	6.945
14.109	6.912
14.112	6.879
14.114	6.846
14.116	6.813
14.117	6.780
14.117	6.747
14.117	6.714
14.115	6.681
14.112	6.648
14.109	6.616
14.106	6.584
14.102	6.553
14.098	6.522
14.094	6.491
14.090	6.461
14.087	6.432
14.084	6.404
14.082	6.376
14.080	6.349
14.080	6.323
14.081	6.298
14.083	6.274
14.086	6.252
14.092	6.230
14.099	6.210
14.108	6.191
14.119	6.173
14.132	6.157
