X,Y
4.711,2.867
4.710,2.853
4.712,2.839
4.716,2.825
4.723,2.810
4.733,2.795
4.744,2.780
4.757,2.765
4.771,2.750
4.786,2.735
4.802,2.720
4.819,2.706
4.836,2.692
4.854,2.679
4.872,2.666
4.891,2.653
4.911,2.641
4.931,2.628
4.952,2.616
4.974,2.605
4.996,2.593
5.018,2.582
5.041,2.572
5.065,2.561
5.089,2.551
5.114,2.541
5.140,2.531
5.166,2.521
5.192,2.511
5.219,2.502
5.246,2.493
5.273,2.484
5.300,2.475
5.328,2.467
5.355,2.458
5.383,2.450
5.410,2.441
5.438,2.433
5.465,2.425
5.492,2.417
5.518,2.409
5.545,2.401
5.571,2.393
5.597,2.385
5.622,2.378
5.648,2.370
5.673,2.363
5.698,2.355
5.723,2.348
5.748,2.341
5.773,2.333
5.799,2.326
5.824,2.320
5.849,2.313
5.875,2.306
5.901,2.300
5.927,2.294
5.953,2.287
5.979,2.281
6.005,2.275
6.032,2.269
6.058,2.263
6.084,2.257
6.110,2.251
6.136,2.244
6.162,2.238
6.187,2.231
6.212,2.224
6.237,2.217
6.261,2.209
6.285,2.201
6.308,2.193
6.331,2.185
6.353,2.176
6.375,2.167
6.396,2.158
6.417,2.149
6.438,2.140
6.460,2.131
6.481,2.123
6.502,2.114
6.523,2.106
6.545,2.099
6.566,2.092
6.589,2.086
6.611,2.080
6.634,2.075
6.657,2.071
6.681,2.067
6.705,2.063
6.729,2.059
6.753,2.056
6.777,2.052
6.802,2.049
6.826,2.046
6.851,2.043
6.875,2.039
6.900,2.035
6.925,2.031
6.949,2.027
6.973,2.022
6.998,2.017
7.022,2.012
7.046,2.007
7.070,2.001
7.094,1.996
7.119,1.991
7.143,1.986
7.167,1.981
7.191,1.977
7.215,1.973
7.240,1.969
7.264,1.966
7.288,1.963
7.313,1.960
7.337,1.958
7.362,1.957
7.386,1.955
7.411,1.954
7.436,1.953
7.461,1.952
7.486,1.951
7.511,1.950
7.536,1.949
7.561,1.947
7.586,1.946
7.612,1.944
7.637,1.943
7.663,1.940
7.689,1.938
7.714,1.936
7.739,1.933
7.764,1.930
7.789,1.928
7.813,1.925
7.837,1.922
7.861,1.920
7.883,1.917
7.906,1.915
7.927,1.913
7.948,1.911
7.967,1.909
7.986,1.908
8.005,1.907
8.023,1.906
8.041,1.906
8.059,1.906
8.077,1.906
8.095,1.907
8.114,1.908
8.133,1.910
8.153,1.912
8.174,1.915
8.195,1.918
8.217,1.922
8.239,1.927
8.261,1.932
8.283,1.937
8.305,1.944
8.326,1.951
8.348,1.959
8.368,1.967
8.388,1.977
8.407,1.987
8.425,1.998
8.442,2.009
8.458,2.022
8.473,2.035
8.486,2.049
8.498,2.064
8.508,2.079
8.517,2.095
8.524,2.112
8.530,2.129
8.534,2.147
8.536,2.165
8.536,2.184
8.535,2.204
8.533,2.224
8.530,2.244
8.525,2.265
8.520,2.286
8.515,2.308
8.508,2.330
8.502,2.352
8.496,2.375
8.489,2.398
8.483,2.421
8.477,2.445
8.472,2.468
8.466,2.492
8.461,2.516
8.456,2.539
8.450,2.563
8.445,2.586
8.439,2.609
8.434,2.632
8.428,2.654
8.422,2.676
8.415,2.697
8.409,2.718
8.402,2.738
8.395,2.758
8.387,2.777
8.379,2.796
8.371,2.815
8.363,2.834
8.354,2.853
8.345,2.871
8.336,2.890
8.327,2.910
8.318,2.929
8.309,2.950
8.299,2.970
8.290,2.992
8.280,3.013
8.270,3.035
8.260,3.057
8.250,3.079
8.240,3.102
8.229,3.124
8.219,3.146
8.208,3.168
8.197,3.190
8.185,3.211
8.174,3.232
8.162,3.253
8.149,3.273
8.137,3.293
8.124,3.311
8.111,3.330
8.098,3.347
8.084,3.364
8.070,3.380
8.056,3.395
8.042,3.409
8.027,3.423
8.012,3.435
7.997,3.446
7.982,3.457
7.966,3.466
7.950,3.475
7.934,3.483
7.918,3.490
7.901,3.497
7.884,3.503
7.866,3.509
7.848,3.515
7.829,3.520
7.810,3.526
7.791,3.531
7.771,3.536
7.751,3.541
7.731,3.545
7.710,3.549
7.689,3.552
7.668,3.555
7.647,3.556
7.626,3.557
7.605,3.557
7.584,3.556
7.563,3.554
7.542,3.550
7.522,3.546
7.501,3.540
7.481,3.534
7.461,3.526
7.440,3.518
7.420,3.509
7.400,3.499
7.380,3.489
7.360,3.478
7.339,3.466
7.319,3.454
7.299,3.441
7.279,3.428
7.258,3.415
7.238,3.402
7.218,3.388
7.198,3.375
7.179,3.363
7.159,3.350
7.140,3.339
7.121,3.328
7.102,3.317
7.084,3.308
7.066,3.300
7.049,3.293
7.031,3.286
7.015,3.281
6.998,3.276
6.981,3.271
6.964,3.267
6.947,3.262
6.930,3.258
6.913,3.252
6.895,3.246
6.876,3.240
6.857,3.232
6.838,3.224
6.818,3.215
6.797,3.206
6.777,3.196
6.756,3.187
6.735,3.177
6.713,3.168
6.692,3.159
6.670,3.150
6.648,3.142
6.627,3.135
6.605,3.128
6.583,3.123
6.562,3.118
6.540,3.114
6.519,3.110
6.497,3.107
6.476,3.104
6.454,3.101
6.433,3.099
6.412,3.096
6.391,3.094
6.370,3.091
6.349,3.088
6.328,3.084
6.307,3.081
6.286,3.077
6.265,3.073
6.244,3.069
6.224,3.065
6.203,3.061
6.182,3.057
6.161,3.053
6.140,3.050
6.119,3.047
6.098,3.044
6.076,3.042
6.055,3.040
6.033,3.038
6.011,3.037
5.989,3.037
5.967,3.037
5.945,3.037
5.923,3.037
5.901,3.038
5.879,3.040
5.856,3.041
5.834,3.043
5.811,3.046
5.789,3.048
5.766,3.051
5.744,3.055
5.721,3.058
5.699,3.062
5.676,3.065
5.654,3.069
5.631,3.073
5.609,3.077
5.587,3.080
5.565,3.084
5.544,3.087
5.522,3.090
5.501,3.093
5.480,3.096
5.459,3.098
5.438,3.100
5.417,3.102
5.396,3.103
5.375,3.104
5.353,3.104
5.331,3.104
5.309,3.103
5.287,3.102
5.264,3.100
5.240,3.097
5.217,3.094
5.193,3.090
5.168,3.086
5.144,3.081
5.121,3.076
5.097,3.071
5.074,3.065
5.051,3.059
5.030,3.053
5.009,3.047
4.989,3.041
4.970,3.034
4.952,3.028
4.935,3.022
4.920,3.015
4.905,3.009
4.890,3.002
4.876,2.995
4.862,2.988
4.848,2.981
4.833,2.973
4.818,2.964
4.803,2.956
4.787,2.946
4.772,2.936
4.757,2.926
4.744,2.915
4.732,2.904
4.723,2.892
4.715,2.880
4.711,2.867
