X	Y
9.057	4.170
9.073	4.143
9.091	4.117
9.111	4.092
9.133	4.069
9.157	4.047
9.182	4.026
9.208	4.006
9.236	3.987
9.265	3.969
9.296	3.952
9.327	3.936
9.360	3.920
9.394	3.905
9.428	3.891
9.464	3.877
9.500	3.863
9.537	3.850
9.574	3.837
9.612	3.824
9.650	3.811
9.689	3.798
9.727	3.785
9.766	3.772
9.805	3.758
9.844	3.744
9.883	3.730
9.921	3.716
9.960	3.700
9.998	3.685
10.036	3.668
10.073	3.651
10.110	3.634
10.147	3.616
10.184	3.598
10.221	3.580
10.257	3.561
10.293	3.542
10.329	3.522
10.365	3.503
10.400	3.483
10.436	3.462
10.471	3.442
10.506	3.421
10.541	3.400
10.576	3.379
10.610	3.358
10.645	3.337
10.679	3.316
10.713	3.295
10.747	3.274
10.781	3.253
10.815	3.232
10.849	3.211
10.883	3.190
10.917	3.169
10.950	3.148
10.984	3.128
11.017	3.108
11.051	3.088
11.084	3.068
11.118	3.048
11.151	3.029
11.184	3.009
11.218	2.990
11.251	2.971
11.285	2.952
11.318	2.933
11.352	2.914
11.386	2.895
11.420	2.877
11.453	2.858
11.487	2.839
11.521	2.820
11.556	2.802
11.590	2.783
11.625	2.764
11.659	2.745
11.694	2.726
11.729	2.707
11.764	2.687
11.799	2.668
11.835	2.648
11.871	2.629
11.907	2.609
11.943	2.589
11.980	2.568
12.016	2.548
12.053	2.527
12.091	2.506
12.128	2.485
12.166	2.463
12.204	2.442
12.242	2.420
12.280	2.398
12.318	2.377
12.356	2.355
12.394	2.332
12.433	2.310
12.471	2.288
12.510	2.266
12.548	2.243
12.586	2.221
12.624	2.199
12.662	2.177
12.700	2.154
12.738	2.132
12.776	2.110
12.813	2.088
12.850	2.066
12.887	2.044
12.924	2.023
12.960	2.001
12.997	1.980
13.032	1.959
13.068	1.938
13.103	1.917
13.138	1.897
13.172	1.876
13.206	1.856
13.239	1.837
13.272	1.817
13.304	1.798
13.337	1.779
13.369	1.760
13.400	1.742
13.432	1.723
13.463	1.705
13.494	1.687
13.525	1.669
13.555	1.652
13.586	1.635
13.617	1.617
13.647	1.600
13.678	1.584
13.709	1.567
13.740	1.550
13.771	1.534
13.802	1.518
13.833	1.501
13.865	1.485
13.897	1.469
13.929	1.453
13.961	1.438
13.994	1.422
14.027	1.406
14.061	1.391
14.095	1.375
14.129	1.360
14.164	1.344
