X,Y
284.000,271.000
286.140,271.891
288.244,272.792
290.311,273.704
292.341,274.630
294.334,275.572
296.289,276.532
298.207,277.513
300.088,278.515
301.930,279.543
303.734,280.597
305.500,281.680
307.227,282.794
308.916,283.941
310.566,285.122
312.185,286.333
313.780,287.566
315.360,288.816
316.932,290.075
318.505,291.338
320.085,292.597
321.682,293.847
323.303,295.080
324.956,296.290
326.649,297.471
328.390,298.616
330.186,299.720
332.037,300.779
333.935,301.795
335.876,302.768
337.852,303.700
339.857,304.591
341.885,305.442
343.930,306.254
345.985,307.028
348.043,307.764
350.100,308.463
352.147,309.126
354.180,309.755
356.192,310.349
358.182,310.909
360.155,311.437
362.115,311.933
364.066,312.398
366.013,312.833
367.959,313.238
369.909,313.615
371.866,313.965
373.835,314.287
375.821,314.583
377.827,314.854
379.858,315.101
381.912,315.320
383.985,315.505
386.068,315.650
388.156,315.746
390.241,315.786
392.318,315.765
394.380,315.673
396.420,315.506
398.431,315.254
400.408,314.912
402.343,314.472
404.230,313.927
406.062,313.273
407.829,312.517
409.524,311.665
411.137,310.724
412.660,309.703
414.083,308.609
415.398,307.448
416.595,306.229
417.666,304.959
418.601,303.644
419.393,302.293
420.041,300.911
420.551,299.499
420.929,298.063
421.183,296.604
421.320,295.125
421.346,293.631
421.269,292.123
421.094,290.604
420.830,289.078
420.481,287.548
420.053,286.015
419.550,284.482
418.978,282.951
418.341,281.424
417.644,279.905
416.892,278.394
416.090,276.895
415.243,275.410
414.355,273.942
413.431,272.497
412.472,271.086
411.480,269.719
410.459,268.406
409.411,267.157
408.338,265.981
407.242,264.889
406.127,263.891
404.994,262.996
403.844,262.210
402.668,261.520
401.455,260.909
400.193,260.359
398.871,259.853
397.477,259.375
396.002,258.906
394.432,258.429
392.758,257.927
390.973,257.388
389.086,256.814
387.109,256.209
385.054,255.575
382.931,254.919
380.753,254.242
378.530,253.550
376.274,252.846
373.997,252.133
371.711,251.417
369.425,250.701
367.153,249.988
364.905,249.284
362.692,248.590
360.516,247.910
358.372,247.244
356.255,246.591
354.157,245.951
352.075,245.326
350.002,244.714
347.934,244.117
345.863,243.534
343.785,242.965
341.695,242.410
339.586,241.871
337.453,241.345
335.291,240.835
333.096,240.339
330.866,239.856
328.601,239.383
326.300,238.919
323.962,238.462
321.585,238.010
319.170,237.562
316.715,237.116
314.219,236.669
311.681,236.220
309.101,235.768
306.477,235.309
303.809,234.844
301.095,234.369
298.335,233.883
295.530,233.385
292.687,232.876
289.813,232.359
286.915,231.834
284.000,231.303
281.076,230.768
278.148,230.231
275.225,229.692
272.314,229.154
269.421,228.618
266.553,228.085
263.719,227.558
260.924,227.037
258.177,226.525
255.483,226.022
252.851,225.531
250.287,225.053
247.797,224.590
245.381,224.144
243.036,223.716
240.760,223.310
238.549,222.928
236.403,222.572
234.316,222.244
232.288,221.946
230.315,221.681
228.395,221.452
226.526,221.259
224.704,221.107
222.926,220.996
221.192,220.927
219.498,220.886
217.844,220.859
216.230,220.831
214.652,220.787
213.111,220.713
211.605,220.593
210.133,220.412
208.694,220.157
207.286,219.813
205.908,219.390
204.554,218.920
203.221,218.437
201.905,217.975
200.602,217.567
199.308,217.247
198.020,217.049
196.732,217.005
195.444,217.131
194.158,217.398
192.878,217.773
191.608,218.223
190.349,218.714
189.107,219.214
187.885,219.687
186.686,220.102
185.539,220.451
184.517,220.774
183.701,221.116
183.169,221.522
183.002,222.038
183.253,222.696
183.897,223.490
184.891,224.402
186.194,225.418
187.761,226.521
189.552,227.695
191.523,228.924
193.632,230.192
195.836,231.483
198.093,232.782
200.360,234.072
202.595,235.337
204.771,236.567
206.891,237.762
208.958,238.923
210.978,240.051
212.955,241.148
214.895,242.214
216.802,243.251
218.682,244.260
220.539,245.242
222.377,246.198
224.203,247.128
226.020,248.036
227.834,248.920
229.650,249.784
231.470,250.628
233.299,251.455
235.140,252.267
236.995,253.067
238.870,253.857
240.766,254.639
242.687,255.416
244.636,256.189
246.618,256.960
248.634,257.733
250.689,258.510
252.786,259.292
254.925,260.082
257.100,260.878
259.305,261.682
261.536,262.493
263.787,263.311
266.051,264.136
268.324,264.969
270.599,265.809
272.872,266.656
275.137,267.510
277.387,268.371
279.619,269.240
281.825,270.117
284.000,271.000
