X,Y
52.397,47.603
52.427,47.319
52.482,47.013
52.561,46.691
52.658,46.356
52.772,46.013
52.900,45.666
53.037,45.320
53.182,44.979
53.330,44.647
53.479,44.329
53.626,44.030
53.767,43.752
53.899,43.502
54.021,43.281
54.133,43.087
54.239,42.915
54.342,42.760
54.443,42.616
54.547,42.480
54.655,42.345
54.771,42.208
54.895,42.065
55.025,41.915
55.161,41.759
55.299,41.595
55.437,41.425
55.575,41.246
55.709,41.060
55.838,40.866
55.960,40.663
56.078,40.452
56.193,40.234
56.306,40.009
56.420,39.779
56.536,39.543
56.656,39.302
56.781,39.058
56.914,38.810
57.056,38.559
57.209,38.306
57.371,38.051
57.542,37.795
57.721,37.536
57.906,37.275
58.096,37.013
58.290,36.749
58.488,36.484
58.687,36.217
58.887,35.949
59.087,35.680
59.286,35.409
59.482,35.137
59.675,34.865
59.865,34.592
60.055,34.318
60.243,34.046
60.431,33.774
60.619,33.503
60.808,33.233
60.999,32.966
61.191,32.701
61.387,32.439
61.585,32.180
61.788,31.925
61.995,31.673
62.207,31.425
62.424,31.180
62.645,30.938
62.871,30.696
63.102,30.455
63.337,30.214
63.576,29.971
63.821,29.727
64.069,29.481
64.322,29.231
64.580,28.977
64.842,28.718
65.108,28.454
65.379,28.184
65.652,27.910
65.929,27.633
66.208,27.353
66.488,27.073
66.770,26.793
67.051,26.514
67.333,26.238
67.613,25.966
67.892,25.699
68.169,25.437
68.443,25.183
68.713,24.938
68.980,24.702
69.242,24.476
69.499,24.261
69.754,24.055
70.006,23.855
70.258,23.661
70.511,23.470
70.766,23.281
71.024,23.091
71.287,22.900
71.556,22.705
71.831,22.504
72.115,22.296
72.409,22.080
72.713,21.852
73.028,21.615
73.352,21.368
73.682,21.114
74.018,20.854
74.356,20.590
74.697,20.323
75.037,20.055
75.376,19.788
75.710,19.522
76.039,19.261
76.361,19.004
76.674,18.755
76.977,18.513
77.266,18.282
77.542,18.062
77.801,17.855
78.047,17.661
78.280,17.478
78.505,17.304
78.723,17.138
78.937,16.980
79.150,16.828
79.365,16.679
79.584,16.534
79.810,16.390
80.045,16.247
80.292,16.103
80.551,15.957
80.820,15.812
81.098,15.666
81.385,15.521
81.679,15.376
81.979,15.233
82.285,15.091
82.595,14.951
82.908,14.813
83.223,14.678
83.539,14.545
83.855,14.417
84.170,14.292
84.484,14.170
84.796,14.051
85.106,13.936
85.412,13.823
85.716,13.713
86.015,13.605
86.311,13.499
86.601,13.395
86.887,13.293
87.166,13.192
87.440,13.092
87.706,12.993
87.968,12.895
88.226,12.799
88.482,12.705
88.737,12.613
88.994,12.523
89.254,12.435
89.519,12.351
89.790,12.270
90.069,12.193
90.358,12.120
90.657,12.050
90.966,11.985
91.283,11.925
91.607,11.868
91.935,11.816
92.268,11.769
92.602,11.726
92.937,11.688
93.271,11.655
93.602,11.627
93.929,11.603
94.251,11.585
94.566,11.571
94.873,11.562
95.174,11.559
95.469,11.560
95.759,11.565
96.047,11.575
96.332,11.589
96.615,11.607
96.899,11.628
97.183,11.654
97.469,11.682
97.757,11.714
98.049,11.750
98.342,11.790
98.633,11.836
98.920,11.890
99.200,11.954
99.469,12.028
99.725,12.114
99.967,12.215
100.189,12.331
100.391,12.464
100.569,12.616
100.723,12.785
100.852,12.969
100.958,13.165
101.042,13.370
101.103,13.581
101.144,13.795
101.163,14.010
101.163,14.221
101.144,14.428
101.112,14.629
101.070,14.824
101.022,15.011
100.975,15.191
100.931,15.362
100.895,15.523
100.872,15.675
100.860,15.820
100.858,15.961
100.865,16.103
100.877,16.248
100.894,16.400
100.912,16.561
100.930,16.731
100.942,16.908
100.947,17.090
100.940,17.277
100.918,17.465
100.877,17.655
100.819,17.844
100.746,18.032
100.664,18.218
100.580,18.401
100.497,18.580
100.421,18.755
100.358,18.924
100.312,19.087
100.282,19.245
100.262,19.399
100.248,19.553
100.234,19.707
100.216,19.863
100.188,20.024
100.149,20.191
100.102,20.363
100.046,20.542
99.985,20.727
99.921,20.919
99.854,21.119
99.787,21.327
99.720,21.542
99.655,21.761
99.590,21.983
99.526,22.203
99.463,22.420
99.399,22.629
99.335,22.828
99.271,23.014
99.207,23.185
99.142,23.341
99.077,23.489
99.012,23.631
98.947,23.775
98.883,23.923
98.820,24.082
98.758,24.254
98.696,24.437
98.633,24.631
98.569,24.833
98.503,25.042
98.434,25.257
98.361,25.475
98.284,25.695
98.202,25.916
98.117,26.136
98.030,26.353
97.944,26.568
97.859,26.777
97.779,26.981
97.704,27.177
97.637,27.365
97.578,27.543
97.529,27.712
97.487,27.878
97.451,28.043
97.417,28.213
97.384,28.392
97.349,28.583
97.312,28.792
97.270,29.019
97.223,29.260
97.172,29.510
97.118,29.766
97.060,30.023
96.998,30.278
96.933,30.526
96.866,30.763
96.795,30.985
96.722,31.188
96.647,31.374
96.571,31.548
96.494,31.712
96.417,31.871
96.341,32.028
96.265,32.188
96.192,32.355
96.121,32.528
96.055,32.708
95.993,32.893
95.937,33.081
95.889,33.271
95.849,33.461
95.819,33.651
95.799,33.839
95.785,34.027
95.775,34.216
95.766,34.407
95.753,34.604
95.734,34.806
95.706,35.016
95.665,35.236
95.610,35.463
95.543,35.697
95.464,35.933
95.376,36.168
95.280,36.399
95.177,36.623
95.069,36.837
94.957,37.038
94.843,37.223
94.728,37.390
94.616,37.544
94.508,37.691
94.407,37.835
94.315,37.981
94.237,38.136
94.173,38.304
94.125,38.488
94.091,38.688
94.066,38.902
94.047,39.128
94.029,39.364
94.009,39.609
93.983,39.860
93.947,40.115
93.897,40.373
93.832,40.632
93.752,40.890
93.661,41.146
93.561,41.397
93.455,41.642
93.345,41.879
93.234,42.106
93.125,42.322
93.021,42.525
92.924,42.713
92.835,42.886
92.756,43.048
92.688,43.204
92.630,43.359
92.583,43.515
92.548,43.679
92.524,43.854
92.511,44.042
92.504,44.240
92.499,44.446
92.493,44.658
92.481,44.873
92.458,45.088
92.422,45.302
92.369,45.512
92.296,45.718
92.207,45.921
92.102,46.123
91.984,46.324
91.855,46.527
91.717,46.732
91.572,46.942
91.421,47.157
91.267,47.379
91.110,47.609
90.952,47.845
90.793,48.086
90.633,48.329
90.471,48.573
90.309,48.816
90.147,49.057
89.984,49.295
89.820,49.526
89.657,49.750
89.495,49.965
89.332,50.170
89.167,50.364
88.996,50.549
88.819,50.723
88.631,50.889
88.430,51.045
88.215,51.192
87.981,51.330
87.728,51.460
87.451,51.581
87.150,51.695
86.827,51.800
86.485,51.898
86.125,51.988
85.752,52.071
85.367,52.147
84.974,52.216
84.576,52.279
84.174,52.334
83.773,52.383
83.374,52.427
82.980,52.464
82.595,52.495
82.221,52.521
81.860,52.541
81.514,52.556
81.180,52.566
80.856,52.573
80.538,52.576
80.224,52.576
79.912,52.573
79.598,52.569
79.281,52.563
78.957,52.556
78.624,52.549
78.280,52.543
77.921,52.537
77.545,52.532
77.152,52.529
76.743,52.527
76.322,52.526
75.889,52.527
75.448,52.528
75.000,52.529
74.546,52.531
74.090,52.533
73.634,52.535
73.178,52.537
72.726,52.539
72.279,52.540
71.840,52.540
71.411,52.540
70.993,52.538
70.589,52.535
70.200,52.531
69.827,52.526
69.468,52.520
69.121,52.513
68.785,52.508
68.460,52.503
68.143,52.499
67.833,52.498
67.529,52.499
67.229,52.502
66.933,52.509
66.638,52.520
66.343,52.536
66.048,52.556
65.751,52.580
65.453,52.606
65.152,52.635
64.850,52.664
64.545,52.693
64.237,52.721
63.925,52.747
63.610,52.770
63.292,52.788
62.969,52.801
62.641,52.809
62.309,52.809
61.973,52.803
61.632,52.792
61.288,52.776
60.940,52.756
60.589,52.733
60.236,52.708
59.880,52.681
59.523,52.653
59.164,52.625
58.804,52.597
58.442,52.571
58.081,52.547
57.719,52.525
57.359,52.507
57.000,52.491
56.646,52.476
56.297,52.461
55.956,52.446
55.623,52.430
55.301,52.412
54.991,52.391
54.695,52.366
54.414,52.336
54.150,52.301
53.904,52.260
53.678,52.212
53.474,52.155
53.291,52.089
53.132,52.012
52.996,51.922
52.886,51.818
52.801,51.699
52.741,51.565
52.703,51.418
52.682,51.261
52.673,51.096
52.671,50.928
52.671,50.758
52.670,50.590
52.668,50.425
52.666,50.264
52.665,50.107
52.666,49.957
52.670,49.813
52.679,49.676
52.688,49.545
52.694,49.416
52.692,49.285
52.678,49.150
52.648,49.007
52.604,48.855
52.553,48.690
52.501,48.510
52.453,48.314
52.415,48.099
52.395,47.862
52.397,47.603
