X,Y
319.000,157.000
319.555,154.751
320.458,152.487
321.662,150.220
323.121,147.966
324.789,145.736
326.621,143.545
328.571,141.407
330.592,139.335
332.639,137.343
334.670,135.441
336.679,133.626
338.671,131.883
340.654,130.200
342.633,128.566
344.617,126.968
346.611,125.393
348.622,123.829
350.657,122.263
352.722,120.684
354.818,119.087
356.946,117.471
359.104,115.834
361.292,114.175
363.511,112.491
365.759,110.780
368.037,109.042
370.344,107.274
372.680,105.475
375.041,103.649
377.418,101.811
379.800,99.975
382.176,98.158
384.537,96.376
386.873,94.643
389.172,92.976
391.426,91.389
393.622,89.900
395.753,88.522
397.818,87.260
399.837,86.102
401.829,85.034
403.815,84.045
405.815,83.119
407.848,82.244
409.934,81.407
412.093,80.595
414.322,79.800
416.597,79.023
418.893,78.263
421.185,77.521
423.449,76.796
425.660,76.088
427.792,75.398
429.822,74.725
431.748,74.079
433.596,73.482
435.395,72.954
437.173,72.519
438.957,72.197
440.777,72.012
442.652,71.983
444.552,72.124
446.430,72.444
448.238,72.953
449.930,73.662
451.457,74.581
452.775,75.717
453.880,77.058
454.800,78.573
455.561,80.232
456.192,82.003
456.720,83.857
457.172,85.762
457.544,87.679
457.791,89.555
457.865,91.336
457.719,92.971
457.305,94.404
456.580,95.588
455.612,96.549
454.569,97.387
453.622,98.204
452.945,99.103
452.643,100.161
452.626,101.383
452.768,102.759
452.944,104.282
453.033,105.942
452.995,107.710
452.857,109.542
452.649,111.393
452.403,113.219
452.148,114.975
451.914,116.616
451.712,118.132
451.526,119.553
451.337,120.916
451.130,122.256
450.885,123.606
450.590,124.983
450.237,126.380
449.815,127.789
449.318,129.203
448.736,130.613
448.066,132.025
447.311,133.460
446.472,134.937
445.552,136.479
444.554,138.106
443.480,139.838
442.343,141.659
441.169,143.518
439.981,145.361
438.804,147.134
437.664,148.782
436.586,150.253
435.593,151.493
434.708,152.518
433.951,153.423
433.342,154.308
432.898,155.273
432.608,156.371
432.407,157.569
432.221,158.825
431.978,160.095
431.614,161.342
431.092,162.533
430.381,163.639
429.451,164.633
428.274,165.485
426.861,166.193
425.260,166.772
423.515,167.239
421.673,167.610
419.781,167.900
417.883,168.127
415.997,168.305
414.125,168.451
412.264,168.581
410.413,168.710
408.570,168.853
406.735,169.028
404.903,169.243
403.060,169.496
401.189,169.782
399.274,170.096
397.301,170.432
395.253,170.785
393.115,171.150
390.883,171.518
388.571,171.874
386.193,172.206
383.763,172.498
381.294,172.737
378.800,172.909
376.296,173.000
373.796,172.996
371.311,172.892
368.852,172.716
366.424,172.501
364.037,172.279
361.697,172.085
359.413,171.951
357.191,171.911
355.041,171.997
352.967,172.229
350.960,172.569
349.009,172.962
347.105,173.356
345.234,173.696
343.387,173.928
341.552,174.000
339.723,173.887
337.908,173.627
336.114,173.263
334.350,172.839
332.624,172.399
330.943,171.987
329.316,171.624
327.750,171.256
326.253,170.811
324.834,170.216
323.501,169.399
322.262,168.292
321.147,166.891
320.201,165.238
319.468,163.378
318.994,161.355
318.823,159.214
319.000,157.000
