X,Y
4.570,2.326
4.571,2.312
4.572,2.299
4.573,2.285
4.575,2.272
4.578,2.260
4.581,2.247
4.585,2.234
4.589,2.222
4.593,2.210
4.598,2.197
4.603,2.185
4.609,2.172
4.615,2.160
4.622,2.148
4.628,2.135
4.636,2.122
4.644,2.109
4.652,2.096
4.660,2.082
4.669,2.068
4.679,2.054
4.689,2.040
4.699,2.025
4.710,2.010
4.721,1.994
4.732,1.979
4.744,1.963
4.755,1.947
4.768,1.931
4.780,1.915
4.792,1.899
4.805,1.883
4.818,1.868
4.830,1.852
4.843,1.837
4.856,1.822
4.869,1.807
4.882,1.792
4.895,1.778
4.908,1.764
4.921,1.750
4.934,1.736
4.947,1.722
4.960,1.709
4.973,1.695
4.987,1.682
5.000,1.668
5.014,1.655
5.028,1.641
5.042,1.628
5.056,1.614
5.070,1.601
5.085,1.587
5.099,1.574
5.114,1.560
5.128,1.547
5.143,1.534
5.158,1.521
5.173,1.508
5.188,1.495
5.203,1.482
5.218,1.470
5.233,1.458
5.249,1.446
5.264,1.434
5.279,1.423
5.294,1.412
5.309,1.401
5.325,1.391
5.340,1.380
5.356,1.370
5.372,1.359
5.388,1.348
5.404,1.338
5.420,1.326
5.437,1.315
5.454,1.304
5.471,1.292
5.489,1.279
5.507,1.266
5.525,1.253
5.544,1.239
5.563,1.225
5.582,1.211
5.601,1.196
5.620,1.181
5.639,1.167
5.659,1.152
5.678,1.137
5.697,1.122
5.716,1.108
5.735,1.094
5.753,1.080
5.772,1.066
5.789,1.053
5.807,1.040
5.824,1.028
5.841,1.016
5.857,1.005
5.873,0.995
5.889,0.984
5.904,0.974
5.920,0.964
5.935,0.955
5.951,0.945
5.966,0.935
5.982,0.926
5.998,0.916
6.014,0.906
6.030,0.896
6.047,0.885
6.065,0.875
6.083,0.863
6.101,0.852
6.120,0.840
6.138,0.828
6.157,0.816
6.177,0.804
6.196,0.791
6.216,0.779
6.235,0.767
6.255,0.754
6.274,0.742
6.294,0.730
6.313,0.718
6.332,0.706
6.351,0.695
6.369,0.683
6.387,0.672
6.405,0.662
6.423,0.651
6.441,0.641
6.458,0.631
6.476,0.622
6.493,0.612
6.510,0.603
6.528,0.594
6.546,0.585
6.564,0.576
6.582,0.567
6.600,0.558
6.619,0.550
6.638,0.541
6.657,0.532
6.677,0.524
6.698,0.515
6.718,0.507
6.739,0.498
6.760,0.490
6.781,0.481
6.803,0.473
6.825,0.465
6.846,0.456
6.868,0.448
6.890,0.439
6.912,0.431
6.934,0.422
6.955,0.414
6.977,0.405
6.999,0.397
7.020,0.388
