X	Y
61.789	43.208
61.929	42.818
62.110	42.451
62.330	42.107
62.584	41.784
62.867	41.482
63.176	41.200
63.507	40.937
63.855	40.692
64.217	40.465
64.588	40.254
64.965	40.060
65.343	39.880
65.718	39.715
66.086	39.563
66.446	39.424
66.799	39.298
67.147	39.185
67.491	39.085
67.833	38.997
68.174	38.922
68.517	38.859
68.863	38.809
69.214	38.771
69.570	38.745
69.934	38.732
70.308	38.731
70.692	38.742
71.086	38.764
71.490	38.796
71.902	38.837
72.323	38.887
72.753	38.945
73.189	39.009
73.633	39.079
74.084	39.155
74.542	39.234
75.005	39.318
75.473	39.403
75.946	39.491
76.424	39.579
76.906	39.668
77.392	39.756
77.879	39.843
78.368	39.928
78.857	40.013
79.346	40.095
79.832	40.174
80.316	40.251
80.797	40.325
81.272	40.396
81.742	40.463
82.205	40.525
82.660	40.583
83.106	40.636
83.542	40.684
83.968	40.726
84.382	40.762
84.783	40.793
85.174	40.820
85.554	40.845
85.925	40.869
86.288	40.894
86.642	40.921
86.990	40.952
87.332	40.989
87.668	41.032
88.000	41.084
88.329	41.146
88.654	41.220
88.978	41.305
89.301	41.402
89.625	41.509
89.949	41.623
90.275	41.745
90.604	41.873
90.938	42.006
91.276	42.142
91.620	42.280
91.971	42.419
92.329	42.557
92.696	42.694
93.073	42.828
93.458	42.960
93.851	43.090
94.251	43.218
94.658	43.344
95.071	43.468
95.489	43.590
95.912	43.711
96.339	43.831
96.770	43.949
97.203	44.066
97.639	44.182
98.077	44.298
98.515	44.413
98.954	44.527
99.391	44.641
99.826	44.757
100.257	44.876
100.681	44.997
101.098	45.124
101.505	45.256
101.902	45.394
102.285	45.541
102.654	45.696
103.007	45.861
103.343	46.037
103.658	46.226
103.953	46.427
104.225	46.642
104.473	46.868
104.696	47.102
104.892	47.342
105.061	47.582
105.201	47.821
105.311	48.054
105.389	48.279
105.435	48.491
105.448	48.689
105.431	48.874
105.394	49.052
105.345	49.230
105.294	49.414
105.249	49.611
105.220	49.827
105.211	50.068
105.222	50.331
105.246	50.614
105.281	50.916
105.321	51.232
105.363	51.562
105.401	51.903
105.432	52.251
105.450	52.606
105.453	52.963
105.434	53.322
105.393	53.678
105.332	54.030
105.253	54.373
105.157	54.704
105.046	55.021
104.923	55.321
104.790	55.599
104.649	55.853
104.502	56.080
104.350	56.276
104.196	56.440
104.041	56.579
103.886	56.706
103.730	56.832
103.576	56.968
103.424	57.127
103.274	57.320
103.127	57.558
102.984	57.843
102.843	58.166
102.704	58.519
102.566	58.894
102.428	59.283
102.289	59.677
102.149	60.069
102.007	60.449
101.862	60.810
101.714	61.144
101.561	61.441
101.403	61.695
101.241	61.900
101.082	62.065
100.935	62.201
100.806	62.319
100.706	62.429
100.641	62.542
100.619	62.669
100.628	62.810
100.649	62.963
100.662	63.125
100.648	63.291
100.589	63.460
100.481	63.629
100.332	63.801
100.149	63.975
99.942	64.152
99.719	64.333
99.487	64.518
99.255	64.708
99.031	64.903
98.822	65.104
98.627	65.310
98.446	65.520
98.274	65.733
98.109	65.946
97.949	66.159
97.792	66.371
97.635	66.579
97.476	66.784
97.312	66.983
97.144	67.177
96.975	67.368
96.807	67.557
96.641	67.746
96.481	67.936
96.327	68.128
96.183	68.323
96.051	68.524
95.929	68.729
95.813	68.937
95.697	69.146
95.576	69.352
95.444	69.555
95.297	69.750
95.129	69.936
94.933	70.110
94.709	70.271
94.460	70.421
94.189	70.561
93.902	70.692
93.603	70.816
93.297	70.935
92.987	71.050
92.679	71.163
92.376	71.275
92.083	71.387
91.805	71.503
91.542	71.621
91.292	71.744
91.055	71.872
90.830	72.006
90.616	72.147
90.412	72.295
90.216	72.452
90.028	72.619
89.847	72.795
89.671	72.982
89.502	73.180
89.338	73.387
89.179	73.605
89.025	73.833
88.875	74.072
88.729	74.320
88.586	74.579
88.447	74.848
88.311	75.127
88.179	75.416
88.052	75.714
87.930	76.021
87.815	76.336
87.706	76.660
87.605	76.991
87.511	77.330
87.427	77.676
87.352	78.028
87.286	78.387
87.232	78.752
87.188	79.121
87.154	79.493
87.132	79.867
87.121	80.241
87.122	80.614
87.134	80.985
87.158	81.353
87.194	81.715
87.243	82.072
87.303	82.421
87.376	82.762
87.462	83.093
87.560	83.416
87.670	83.732
87.791	84.042
87.923	84.349
88.065	84.652
88.217	84.955
88.379	85.258
88.550	85.562
88.729	85.870
88.916	86.182
89.111	86.500
89.312	86.823
89.521	87.151
89.735	87.482
89.955	87.815
90.179	88.149
90.408	88.483
90.641	88.814
90.877	89.143
91.116	89.468
91.356	89.788
91.599	90.101
91.842	90.406
92.087	90.702
92.331	90.989
92.577	91.268
92.826	91.539
93.077	91.806
93.333	92.068
93.594	92.327
93.861	92.584
94.136	92.841
94.418	93.099
94.709	93.359
95.011	93.623
95.323	93.892
95.647	94.166
95.982	94.446
96.324	94.728
96.672	95.010
97.021	95.289
97.370	95.561
97.715	95.825
98.053	96.077
98.381	96.314
98.696	96.534
98.996	96.733
99.278	96.909
99.538	97.059
99.774	97.180
99.984	97.272
100.173	97.343
100.347	97.401
100.510	97.457
100.667	97.517
100.823	97.592
100.984	97.688
101.152	97.806
101.330	97.944
101.522	98.097
101.728	98.264
101.953	98.440
102.198	98.624
102.466	98.811
102.761	98.999
103.083	99.185
103.432	99.367
103.800	99.547
104.184	99.724
104.578	99.898
104.976	100.069
105.373	100.238
105.763	100.404
106.141	100.569
106.502	100.732
106.840	100.893
107.150	101.052
107.427	101.211
107.664	101.368
107.864	101.523
108.036	101.674
108.190	101.821
108.335	101.960
108.482	102.091
108.641	102.212
108.821	102.320
109.028	102.417
109.254	102.507
109.488	102.597
109.719	102.693
109.936	102.801
110.129	102.929
110.286	103.081
110.398	103.265
110.461	103.481
110.487	103.722
110.490	103.980
110.481	104.247
110.475	104.513
110.483	104.771
110.520	105.012
110.598	105.229
110.724	105.412
110.885	105.557
111.062	105.658
111.238	105.711
111.394	105.709
111.513	105.649
111.587	105.537
111.634	105.405
111.672	105.286
111.721	105.216
111.793	105.218
111.885	105.291
111.991	105.426
112.102	105.615
112.213	105.852
112.317	106.129
112.410	106.438
112.490	106.773
112.558	107.124
112.614	107.486
112.655	107.850
112.682	108.210
112.695	108.557
112.692	108.885
112.672	109.186
112.637	109.453
112.584	109.678
112.514	109.857
112.429	109.993
112.330	110.085
112.219	110.136
112.096	110.147
111.965	110.123
111.827	110.075
111.685	110.013
111.541	109.946
111.399	109.884
111.259	109.827
111.122	109.769
110.991	109.703
110.865	109.623
110.746	109.523
110.632	109.406
110.517	109.285
110.396	109.173
110.265	109.080
110.118	109.018
109.951	108.995
109.767	108.998
109.567	109.018
109.352	109.042
109.126	109.057
108.890	109.053
108.645	109.017
108.395	108.943
108.143	108.834
107.896	108.698
