X,Y
39.658,10.677
39.768,10.721
39.881,10.773
39.994,10.830
40.107,10.890
40.217,10.951
40.324,11.010
40.426,11.064
40.521,11.117
40.611,11.169
40.694,11.224
40.770,11.283
40.840,11.349
40.901,11.424
40.952,11.506
40.990,11.596
41.014,11.695
41.023,11.802
41.016,11.913
40.996,12.024
40.963,12.131
40.918,12.229
40.863,12.316
40.800,12.392
40.730,12.460
40.656,12.523
40.578,12.586
40.498,12.651
40.417,12.719
40.335,12.791
40.251,12.866
40.166,12.943
40.079,13.023
39.989,13.104
39.898,13.186
39.804,13.265
39.707,13.339
39.608,13.408
39.506,13.467
39.400,13.518
39.291,13.561
39.178,13.597
39.060,13.629
38.938,13.657
38.810,13.683
38.678,13.708
38.543,13.732
38.406,13.756
38.269,13.780
38.134,13.806
38.002,13.833
37.874,13.861
37.750,13.891
37.630,13.921
37.511,13.950
37.394,13.978
37.276,14.002
37.157,14.022
37.038,14.037
36.918,14.045
36.800,14.045
36.684,14.036
36.571,14.015
36.463,13.983
36.360,13.940
36.263,13.888
36.172,13.828
36.086,13.764
36.008,13.697
35.935,13.627
35.868,13.553
35.803,13.474
35.741,13.388
35.680,13.296
35.619,13.196
35.559,13.090
35.501,12.982
35.445,12.873
35.392,12.766
35.342,12.662
35.296,12.562
35.253,12.463
35.213,12.363
35.175,12.258
35.139,12.147
35.104,12.027
35.070,11.902
35.035,11.776
34.999,11.652
34.961,11.535
34.920,11.428
34.876,11.335
34.836,11.253
34.807,11.177
34.797,11.102
34.815,11.021
34.858,10.937
34.920,10.852
34.991,10.771
35.064,10.696
35.131,10.631
35.195,10.578
35.262,10.539
35.339,10.513
35.432,10.501
35.541,10.502
35.662,10.511
35.791,10.526
35.923,10.544
36.056,10.560
36.185,10.572
36.309,10.578
36.431,10.580
36.551,10.579
36.670,10.574
36.791,10.567
36.914,10.559
37.039,10.549
37.166,10.539
37.294,10.529
37.421,10.520
37.548,10.512
37.673,10.506
37.796,10.501
37.917,10.499
38.038,10.499
38.159,10.501
38.281,10.505
38.404,10.510
38.529,10.517
38.654,10.525
38.778,10.535
38.900,10.545
39.018,10.557
39.131,10.568
39.239,10.581
39.344,10.596
39.448,10.616
39.552,10.643
39.658,10.677
