X,Y
889.000,694.000
890.345,692.461
891.972,691.526
893.854,691.094
895.964,691.067
898.274,691.345
900.755,691.831
903.380,692.424
906.122,693.025
908.954,693.557
911.856,694.011
914.805,694.396
917.784,694.721
920.770,694.995
923.744,695.227
926.687,695.424
929.577,695.595
932.394,695.750
935.118,695.896
937.730,696.042
940.226,696.198
942.633,696.376
944.981,696.585
947.301,696.837
949.624,697.143
951.978,697.515
954.395,697.964
956.904,698.500
959.536,699.135
962.304,699.873
965.182,700.703
968.139,701.610
971.145,702.580
974.168,703.600
977.179,704.656
980.146,705.733
983.039,706.819
985.826,707.898
988.478,708.958
990.963,709.984
993.261,710.966
995.397,711.905
997.407,712.807
999.329,713.677
1001.198,714.520
1003.051,715.342
1004.925,716.148
1006.856,716.942
1008.874,717.731
1010.973,718.518
1013.136,719.305
1015.348,720.096
1017.591,720.894
1019.849,721.702
1022.106,722.524
1024.346,723.361
1026.551,724.218
1028.714,725.095
1030.841,725.992
1032.941,726.907
1035.024,727.839
1037.098,728.785
1039.172,729.745
1041.254,730.717
1043.354,731.699
1045.480,732.689
1047.629,733.688
1049.794,734.693
1051.968,735.706
1054.143,736.724
1056.311,737.748
1058.464,738.778
1060.596,739.811
1062.698,740.849
1064.764,741.890
1066.798,742.936
1068.808,743.986
1070.803,745.042
1072.789,746.105
1074.776,747.175
1076.770,748.253
1078.781,749.341
1080.815,750.439
1082.871,751.545
1084.939,752.652
1087.006,753.753
1089.060,754.842
1091.088,755.913
1093.078,756.958
1095.018,757.971
1096.896,758.946
1098.700,759.880
1100.429,760.793
1102.084,761.711
1103.665,762.663
1105.174,763.673
1106.610,764.768
1107.975,765.976
1109.272,767.314
1110.517,768.761
1111.729,770.287
1112.927,771.861
1114.129,773.454
1115.356,775.034
1116.625,776.571
1117.953,778.039
1119.322,779.452
1120.696,780.847
1122.037,782.261
1123.311,783.731
1124.479,785.294
1125.505,786.989
1126.353,788.850
1127.014,790.880
1127.504,793.040
1127.843,795.291
1128.051,797.591
1128.148,799.902
1128.153,802.182
1128.087,804.392
1127.968,806.491
1127.796,808.445
1127.531,810.230
1127.128,811.824
1126.542,813.205
1125.728,814.351
1124.642,815.240
1123.293,815.889
1121.784,816.380
1120.223,816.801
1118.721,817.238
1117.389,817.780
1116.323,818.508
1115.492,819.422
1114.776,820.469
1114.055,821.598
1113.208,822.755
1112.131,823.889
1110.845,824.961
1109.427,825.937
1107.956,826.783
1106.510,827.466
1105.168,827.952
1103.993,828.226
1102.956,828.391
1101.995,828.591
1101.047,828.974
1100.060,829.647
1099.019,830.555
1097.921,831.591
1096.766,832.650
1095.551,833.626
1094.274,834.419
1092.928,835.018
1091.504,835.487
1089.993,835.894
1088.386,836.305
1086.673,836.787
1084.846,837.402
1082.916,838.143
1080.907,838.952
1078.843,839.771
1076.750,840.541
1074.652,841.204
1072.573,841.701
1070.538,841.973
1068.570,841.970
1066.683,841.714
1064.883,841.271
1063.179,840.702
1061.576,840.073
1060.083,839.446
1058.707,838.885
1057.446,838.441
1056.279,838.132
1055.184,837.975
1054.137,837.985
1053.113,838.167
1052.064,838.453
1050.937,838.747
1049.677,838.957
1048.234,838.991
1046.627,838.844
1044.944,838.591
1043.276,838.311
1041.713,838.085
1040.345,837.991
1039.248,838.098
1038.327,838.364
1037.398,838.686
1036.270,838.960
1034.784,839.092
1032.980,839.077
1030.993,838.948
1028.954,838.740
1026.999,838.486
1025.261,838.220
1023.873,837.976
1022.883,837.797
1022.086,837.754
1021.233,837.922
1020.099,838.367
1018.652,839.059
1016.959,839.925
1015.084,840.890
1013.095,841.881
1011.058,842.823
1009.038,843.642
1007.100,844.266
1005.267,844.665
1003.517,844.857
1001.827,844.863
1000.172,844.703
998.528,844.396
996.871,843.962
995.183,843.426
993.466,842.819
991.724,842.175
989.962,841.528
988.184,840.912
986.397,840.362
984.605,839.911
982.811,839.571
981.018,839.308
979.228,839.082
977.442,838.853
975.662,838.580
973.890,838.224
972.128,837.746
970.388,837.148
968.692,836.474
967.061,835.770
965.520,835.079
964.089,834.447
962.792,833.920
961.627,833.509
960.542,833.141
959.474,832.733
958.359,832.201
957.142,831.467
955.821,830.536
954.426,829.462
952.990,828.298
951.545,827.097
950.122,825.915
948.753,824.803
947.458,823.788
946.225,822.830
945.040,821.879
943.889,820.886
942.756,819.802
941.627,818.578
940.495,817.193
939.367,815.672
938.247,814.041
937.143,812.330
936.062,810.565
935.009,808.774
933.992,806.985
933.013,805.218
932.069,803.463
931.150,801.702
930.248,799.919
929.355,798.095
928.463,796.213
927.564,794.257
926.650,792.209
925.717,790.074
924.770,787.891
923.811,785.698
922.844,783.535
921.874,781.441
920.903,779.454
919.937,777.615
918.977,775.963
918.027,774.517
917.077,773.222
916.118,772.006
915.138,770.797
914.129,769.522
913.079,768.111
911.980,766.504
910.840,764.716
909.669,762.786
908.478,760.750
907.277,758.644
906.077,756.508
904.889,754.376
903.724,752.288
902.592,750.279
901.496,748.381
900.432,746.617
899.394,745.006
898.375,743.572
897.369,742.335
896.370,741.318
895.373,740.532
894.378,739.879
893.391,739.175
892.418,738.239
891.465,736.886
890.539,734.940
889.653,732.365
888.830,729.267
888.091,725.756
887.461,721.945
886.961,717.944
886.614,713.866
886.442,709.821
886.468,705.921
886.714,702.278
887.203,699.002
887.957,696.206
889.000,694.000
