X,Y
18.075,18.269
18.012,18.236
17.950,18.197
17.891,18.152
17.833,18.102
17.777,18.047
17.723,17.987
17.670,17.924
17.619,17.856
17.568,17.785
17.519,17.710
17.471,17.632
17.423,17.552
17.376,17.470
17.330,17.385
17.284,17.299
17.238,17.212
17.192,17.123
17.147,17.034
17.101,16.945
17.055,16.855
17.009,16.766
16.962,16.678
16.914,16.590
16.866,16.503
16.817,16.417
16.768,16.331
16.719,16.246
16.669,16.162
16.618,16.078
16.567,15.994
16.515,15.911
16.463,15.828
16.411,15.745
16.358,15.662
16.305,15.579
16.252,15.497
16.198,15.414
16.144,15.331
16.090,15.248
16.035,15.165
15.980,15.081
15.925,14.997
15.870,14.913
15.815,14.828
15.759,14.743
15.703,14.657
15.647,14.571
15.591,14.484
15.535,14.396
15.479,14.308
15.422,14.220
15.366,14.131
15.310,14.042
15.253,13.953
15.197,13.863
15.141,13.773
15.085,13.684
15.029,13.594
14.973,13.504
14.917,13.414
14.862,13.325
14.806,13.235
14.751,13.146
14.696,13.057
14.642,12.968
14.588,12.880
14.534,12.792
14.480,12.704
14.427,12.618
14.374,12.531
14.321,12.446
14.269,12.361
14.217,12.276
14.166,12.192
14.115,12.109
14.064,12.026
14.014,11.943
13.964,11.861
13.914,11.778
13.865,11.696
13.815,11.614
13.766,11.531
13.717,11.449
13.668,11.366
13.619,11.282
13.570,11.199
13.521,11.114
13.472,11.029
13.423,10.944
13.374,10.857
13.325,10.770
13.275,10.682
13.226,10.592
13.176,10.502
13.126,10.410
13.076,10.317
13.026,10.223
12.975,10.128
12.924,10.031
12.874,9.934
12.823,9.835
12.772,9.736
12.721,9.636
12.670,9.535
12.619,9.434
12.568,9.332
12.518,9.230
12.467,9.127
12.417,9.024
12.367,8.921
12.317,8.818
12.268,8.714
12.219,8.611
12.170,8.508
12.122,8.405
12.075,8.303
12.028,8.200
11.981,8.099
11.935,7.997
11.889,7.897
11.845,7.797
11.801,7.698
11.757,7.599
11.715,7.502
11.673,7.405
11.632,7.310
11.592,7.215
11.553,7.121
11.515,7.028
11.478,6.936
11.442,6.845
11.408,6.754
11.374,6.664
11.342,6.575
11.311,6.487
11.281,6.399
11.253,6.313
11.225,6.227
11.200,6.141
11.176,6.057
11.153,5.973
11.132,5.889
11.113,5.807
11.095,5.725
11.079,5.643
11.065,5.563
11.052,5.482
11.041,5.403
11.032,5.324
11.024,5.246
11.018,5.168
11.013,5.090
11.009,5.014
11.007,4.937
11.006,4.861
11.006,4.786
11.007,4.711
11.008,4.637
11.011,4.563
11.014,4.489
11.019,4.416
11.023,4.343
11.029,4.270
11.035,4.198
11.041,4.126
11.048,4.055
11.056,3.984
11.065,3.914
11.075,3.845
11.087,3.778
11.101,3.711
11.117,3.646
11.135,3.583
11.156,3.522
11.180,3.463
11.207,3.406
11.237,3.352
11.271,3.300
11.309,3.251
11.351,3.205
11.397,3.162
11.447,3.122
11.501,3.085
11.558,3.051
11.617,3.020
11.679,2.992
11.743,2.966
11.808,2.944
11.875,2.923
11.942,2.906
12.009,2.891
12.077,2.878
12.143,2.868
12.209,2.860
12.274,2.855
12.336,2.851
12.397,2.850
12.455,2.851
12.512,2.853
12.567,2.858
12.621,2.864
12.674,2.871
12.726,2.880
12.777,2.890
12.828,2.901
12.878,2.913
12.929,2.926
12.979,2.940
13.031,2.954
13.083,2.968
13.135,2.983
13.188,2.999
13.241,3.015
13.295,3.032
13.348,3.049
13.401,3.067
13.454,3.085
13.507,3.104
13.559,3.124
13.611,3.144
13.661,3.165
13.711,3.187
13.759,3.210
13.807,3.233
13.853,3.258
13.899,3.283
13.943,3.310
13.987,3.337
14.030,3.366
14.073,3.396
14.115,3.427
14.157,3.460
14.199,3.494
14.240,3.529
14.282,3.566
14.324,3.604
14.366,3.644
14.409,3.685
14.452,3.726
14.495,3.766
14.539,3.806
14.584,3.844
14.630,3.879
14.677,3.912
14.724,3.941
14.773,3.966
14.823,3.987
14.875,4.002
14.927,4.011
14.982,4.014
15.038,4.011
15.095,4.003
15.153,3.990
15.212,3.973
15.272,3.953
15.333,3.931
15.394,3.908
15.456,3.884
15.518,3.860
15.580,3.837
15.643,3.816
15.705,3.797
15.766,3.782
15.827,3.770
15.888,3.764
15.948,3.762
16.007,3.765
16.066,3.772
16.124,3.782
16.181,3.796
16.238,3.812
16.295,3.831
16.350,3.851
16.406,3.872
16.461,3.895
16.516,3.917
16.570,3.939
16.624,3.961
16.678,3.982
16.732,4.001
16.785,4.019
16.838,4.036
16.890,4.053
16.942,4.069
16.993,4.086
17.044,4.102
17.095,4.120
17.144,4.138
17.193,4.157
17.242,4.178
17.289,4.200
17.336,4.224
17.382,4.250
17.428,4.279
17.473,4.309
17.517,4.340
17.562,4.372
17.606,4.405
17.651,4.439
17.697,4.472
17.743,4.505
17.789,4.538
17.837,4.570
17.886,4.600
17.937,4.629
17.989,4.656
18.042,4.681
18.097,4.705
18.153,4.727
18.211,4.748
18.268,4.768
18.327,4.787
18.386,4.806
18.444,4.825
18.503,4.844
18.562,4.863
18.620,4.884
18.677,4.905
18.733,4.927
18.788,4.951
18.842,4.977
18.894,5.004
18.945,5.033
18.995,5.063
19.044,5.094
19.092,5.125
19.140,5.158
19.187,5.190
19.233,5.222
19.280,5.255
19.326,5.286
19.372,5.317
19.418,5.347
19.465,5.375
19.512,5.402
19.560,5.427
19.608,5.451
19.656,5.474
19.705,5.497
19.753,5.519
19.802,5.541
19.851,5.563
19.899,5.586
19.948,5.609
19.996,5.634
20.044,5.659
20.091,5.687
20.138,5.716
20.184,5.747
20.230,5.780
20.275,5.814
20.320,5.851
20.363,5.888
20.407,5.928
20.449,5.968
20.491,6.010
20.532,6.052
20.572,6.096
20.612,6.141
20.651,6.186
20.689,6.232
20.726,6.279
20.762,6.326
20.798,6.373
20.832,6.421
20.866,6.469
20.898,6.518
20.930,6.567
20.960,6.617
20.990,6.667
21.018,6.717
21.045,6.768
21.071,6.819
21.095,6.871
21.118,6.923
21.140,6.976
21.161,7.028
21.180,7.082
21.198,7.135
21.214,7.190
21.229,7.244
21.243,7.300
21.256,7.356
21.267,7.413
21.278,7.470
21.287,7.529
21.295,7.588
21.302,7.648
21.308,7.710
21.313,7.772
21.317,7.835
21.321,7.899
21.323,7.964
21.325,8.030
21.326,8.096
21.327,8.163
21.328,8.230
21.329,8.297
21.330,8.364
21.331,8.431
21.332,8.498
21.334,8.564
21.336,8.630
21.339,8.696
21.343,8.760
21.348,8.824
21.354,8.886
21.361,8.948
21.368,9.008
21.376,9.068
21.385,9.128
21.393,9.187
21.400,9.246
21.407,9.304
21.414,9.363
21.419,9.422
21.422,9.481
21.425,9.541
21.425,9.601
21.423,9.661
21.419,9.723
21.412,9.786
21.403,9.849
21.392,9.913
21.380,9.978
21.366,10.043
21.351,10.109
21.335,10.175
21.319,10.241
21.303,10.307
21.286,10.373
21.271,10.439
21.256,10.505
21.242,10.571
21.229,10.636
21.218,10.701
21.209,10.765
21.202,10.828
21.198,10.891
21.195,10.953
21.193,11.015
21.193,11.077
21.194,11.138
21.196,11.199
21.198,11.261
21.201,11.322
21.203,11.384
21.206,11.446
21.208,11.508
21.209,11.571
21.210,11.635
21.209,11.700
21.207,11.765
21.203,11.832
21.198,11.899
21.192,11.967
21.184,12.035
21.175,12.104
21.166,12.173
21.155,12.243
21.144,12.312
21.132,12.382
21.119,12.452
21.106,12.522
21.093,12.591
21.079,12.660
21.065,12.729
21.051,12.797
21.036,12.864
21.022,12.931
21.008,12.997
20.994,13.063
20.980,13.128
20.966,13.192
20.951,13.256
20.937,13.320
20.923,13.384
20.908,13.448
20.893,13.512
20.878,13.576
20.862,13.640
20.846,13.705
20.830,13.770
20.813,13.836
20.796,13.902
20.778,13.969
20.760,14.037
20.741,14.105
20.722,14.174
20.703,14.244
20.683,14.314
20.663,14.385
20.643,14.456
20.623,14.527
20.603,14.598
20.582,14.670
20.562,14.742
20.542,14.814
20.522,14.886
20.502,14.958
20.482,15.029
20.462,15.101
20.443,15.172
20.424,15.243
20.406,15.313
20.388,15.383
20.370,15.453
20.353,15.522
20.336,15.591
20.319,15.659
20.302,15.727
