X	Y
50.876	25.475
50.917	25.314
50.957	25.157
50.996	25.006
51.035	24.859
51.074	24.716
51.114	24.577
51.156	24.440
51.199	24.307
51.245	24.175
51.294	24.045
51.346	23.916
51.402	23.789
51.463	23.661
51.529	23.534
51.600	23.406
51.677	23.276
51.761	23.146
51.852	23.013
51.950	22.879
52.055	22.742
52.167	22.603
52.285	22.463
52.409	22.320
52.539	22.177
52.674	22.032
52.814	21.885
52.958	21.738
53.107	21.590
53.259	21.441
53.415	21.291
53.574	21.141
53.735	20.991
53.899	20.840
54.064	20.689
54.231	20.539
54.400	20.389
54.569	20.239
54.738	20.090
54.908	19.942
55.077	19.795
55.246	19.648
55.414	19.503
55.580	19.360
55.745	19.217
55.907	19.077
56.069	18.937
56.229	18.799
56.388	18.663
56.546	18.527
56.704	18.393
56.861	18.259
57.017	18.127
57.174	17.995
57.331	17.865
57.487	17.735
57.645	17.605
57.803	17.477
57.962	17.348
58.122	17.221
58.284	17.093
58.447	16.966
58.612	16.839
58.778	16.712
58.947	16.586
59.118	16.459
59.291	16.332
59.467	16.205
59.646	16.078
59.828	15.951
60.014	15.823
60.202	15.695
60.393	15.567
60.586	15.439
60.782	15.311
60.980	15.183
61.180	15.056
61.382	14.929
61.586	14.803
61.791	14.677
61.997	14.553
62.205	14.429
62.413	14.306
62.622	14.185
62.832	14.065
63.041	13.946
63.251	13.829
63.461	13.713
63.671	13.599
63.880	13.487
64.089	13.378
64.297	13.270
64.504	13.164
64.710	13.061
64.914	12.960
65.117	12.862
65.318	12.766
65.518	12.674
65.715	12.584
65.910	12.497
66.103	12.413
66.294	12.332
66.483	12.253
66.670	12.178
66.856	12.106
67.040	12.036
67.222	11.969
67.402	11.905
67.581	11.844
67.758	11.786
67.934	11.731
68.109	11.678
68.282	11.628
68.453	11.581
68.624	11.537
68.793	11.495
68.961	11.456
69.129	11.420
69.295	11.387
69.460	11.357
69.624	11.329
69.787	11.304
69.949	11.282
70.110	11.264
70.270	11.251
70.428	11.242
70.584	11.239
70.739	11.242
70.891	11.252
71.041	11.269
71.189	11.294
71.334	11.327
71.477	11.369
71.617	11.420
71.753	11.481
71.887	11.553
72.017	11.636
72.144	11.731
72.267	11.838
72.386	11.957
72.501	12.089
72.611	12.231
72.717	12.384
72.818	12.545
72.915	12.715
73.005	12.893
73.091	13.076
73.170	13.265
73.243	13.458
73.310	13.655
73.371	13.854
73.424	14.055
73.471	14.257
73.510	14.458
73.542	14.658
73.566	14.856
73.582	15.051
73.590	15.242
73.589	15.427
73.579	15.607
73.561	15.780
73.533	15.945
73.496	16.102
73.450	16.250
73.397	16.392
73.336	16.528
73.269	16.658
73.197	16.783
73.119	16.905
73.038	17.023
72.954	17.139
72.867	17.253
72.778	17.366
72.688	17.479
72.599	17.592
72.509	17.707
72.421	17.824
72.336	17.944
72.253	18.067
72.173	18.195
72.098	18.328
72.027	18.464
71.960	18.605
71.897	18.750
71.838	18.898
71.784	19.049
71.734	19.202
71.687	19.358
71.646	19.516
71.608	19.675
71.575	19.836
71.546	19.998
71.521	20.160
71.501	20.322
71.485	20.485
71.473	20.647
71.466	20.808
71.463	20.969
71.464	21.127
71.470	21.285
71.480	21.440
71.493	21.595
71.509	21.749
71.527	21.902
71.548	22.055
71.569	22.208
71.592	22.362
71.615	22.516
71.638	22.671
71.661	22.827
71.682	22.985
71.702	23.144
71.720	23.306
71.735	23.469
71.747	23.636
71.756	23.805
71.761	23.978
71.761	24.154
71.756	24.334
71.747	24.517
71.732	24.703
71.713	24.891
71.688	25.080
71.660	25.270
71.626	25.460
71.589	25.649
71.547	25.837
71.502	26.022
71.452	26.204
71.399	26.383
71.342	26.558
71.281	26.727
71.217	26.890
71.150	27.048
71.080	27.198
71.007	27.340
70.931	27.473
70.852	27.597
70.770	27.711
70.686	27.815
70.600	27.908
70.511	27.990
70.420	28.064
70.327	28.128
70.231	28.185
70.133	28.235
70.034	28.277
69.932	28.314
69.828	28.346
69.722	28.374
69.614	28.398
69.504	28.419
69.392	28.437
69.279	28.454
69.163	28.469
69.044	28.484
68.921	28.497
68.795	28.510
68.663	28.522
68.527	28.534
68.384	28.546
68.235	28.557
68.079	28.570
67.916	28.582
67.744	28.596
67.564	28.610
67.374	28.626
67.175	28.643
66.965	28.661
66.744	28.682
66.511	28.704
66.266	28.729
66.008	28.756
65.737	28.785
65.452	28.818
65.154	28.853
64.841	28.891
64.517	28.931
64.181	28.974
63.834	29.017
63.477	29.063
63.111	29.109
62.737	29.155
62.356	29.203
61.968	29.250
61.575	29.297
61.176	29.343
60.774	29.389
60.369	29.433
59.961	29.476
59.552	29.516
59.142	29.555
58.732	29.591
58.324	29.624
57.917	29.655
57.513	29.681
57.113	29.704
56.717	29.723
56.326	29.737
55.942	29.747
55.564	29.752
55.194	29.751
54.833	29.745
54.481	29.732
54.140	29.714
53.810	29.688
53.492	29.656
53.186	29.616
52.895	29.569
52.617	29.514
52.356	29.451
52.110	29.379
51.881	29.298
51.671	29.208
51.479	29.109
51.306	29.000
51.154	28.880
51.022	28.751
50.909	28.613
50.814	28.467
50.735	28.313
50.673	28.153
50.625	27.986
50.590	27.815
50.568	27.639
50.557	27.460
50.556	27.278
50.565	27.094
50.582	26.908
50.605	26.723
50.635	26.537
50.670	26.353
50.708	26.170
50.749	25.991
50.791	25.814
50.834	25.642
50.876	25.475
