path,identifier2,species,dup,filename,filename2,higher_taxon,common_name,highest_common_name
lep_photos/Acanthopteroctetes unifascia/Acanthopteroctetes_unifascia_M_1477601198_lg.jpg,Acanthopteroctetes_unifascia_M_1477601198_lg.jpg,Acanthopteroctetes unifascia,FALSE,Acanthopteroctetes_unifascia_M_1477601198_lg.jpg,Acanthopteroctetes_unifascia_M_1477601198_lg,Neopseustoidea,Archaic bell moths,moths
lep_photos/Acanthopteroctetes unifascia/MCZ-ENT00754647_Acanthopteroctetes_unifascia_had.jpg,MCZ-ENT00754647_Acanthopteroctetes_unifascia_had.jpg,Acanthopteroctetes unifascia,FALSE,MCZ-ENT00754647_Acanthopteroctetes_unifascia_had.jpg,MCZ-ENT00754647_Acanthopteroctetes_unifascia_had,Neopseustoidea,Archaic bell moths,moths
lep_photos/Acrocercops transecta/transecta_Acrocercops_A_EIHU.jpg,transecta_Acrocercops_A_EIHU.jpg,Acrocercops transecta,FALSE,transecta_Acrocercops_A_EIHU.jpg,transecta_Acrocercops_A_EIHU,Gracillarioidea,Cocoon-maker/leaf blotch miner moths,moths
lep_photos/Actias luna/MCZ-ENT00639291_Actias_luna_had.JPG,MCZ-ENT00639291_Actias_luna_had.JPG,Actias luna,FALSE,MCZ-ENT00639291_Actias_luna_had.JPG,MCZ-ENT00639291_Actias_luna_had,Bombycoidea,Sphynx/Silk moths,moths
lep_photos/Actias luna/MCZ-ENT00639295_Actias_luna_had.JPG,MCZ-ENT00639295_Actias_luna_had.JPG,Actias luna,FALSE,MCZ-ENT00639295_Actias_luna_had.JPG,MCZ-ENT00639295_Actias_luna_had,Bombycoidea,Sphynx/Silk moths,moths
lep_photos/Actias luna/UDCC_TCN_00062177_1487105077_lg.jpg,UDCC_TCN_00062177_1487105077_lg.jpg,Actias luna,FALSE,UDCC_TCN_00062177_1487105077_lg.jpg,UDCC_TCN_00062177_1487105077_lg,Bombycoidea,Sphynx/Silk moths,moths
lep_photos/Actias luna/UDCC_TCN_00062222_1487351569_lg.jpg,UDCC_TCN_00062222_1487351569_lg.jpg,Actias luna,FALSE,UDCC_TCN_00062222_1487351569_lg.jpg,UDCC_TCN_00062222_1487351569_lg,Bombycoidea,Sphynx/Silk moths,moths
lep_photos/Adhemarius daphne/BC-EMEM_%5B292%5D%2B1165507284.JPG,BC-EMEM_%5B292%5D%2B1165507284.JPG,Adhemarius daphne,FALSE,BC-EMEM_%5B292%5D%2B1165507284.JPG,BC-EMEM_%5B292%5D%2B1165507284,Bombycoidea,Sphynx/Silk moths,moths
lep_photos/Agathiphaga queenslandensis/10ANIC_03227%2B1287104404.jpg,10ANIC_03227%2B1287104404.jpg,Agathiphaga queenslandensis,FALSE,10ANIC_03227%2B1287104404.jpg,10ANIC_03227%2B1287104404,Agathiphagoidea,Kauri moths,moths
lep_photos/Agrotis infusa/Preview001.jpg,Preview001.jpg,Agrotis infusa,FALSE,Preview001.jpg,Preview001,Noctuoidea,Owlet moths,moths
lep_photos/Alucita desmodactyla/MCZ-ENT00754689_Alucita_desmodactyla_lbs.jpg,MCZ-ENT00754689_Alucita_desmodactyla_lbs.jpg,Alucita desmodactyla,FALSE,MCZ-ENT00754689_Alucita_desmodactyla_lbs.jpg,MCZ-ENT00754689_Alucita_desmodactyla_lbs,Alucitoidea,Many-plumed moths,moths
lep_photos/Alucita desmodactyla/MCZ-ENT00754690_Alucita_desmodactyla_had.jpg,MCZ-ENT00754690_Alucita_desmodactyla_had.jpg,Alucita desmodactyla,FALSE,MCZ-ENT00754690_Alucita_desmodactyla_had.jpg,MCZ-ENT00754690_Alucita_desmodactyla_had,Alucitoidea,Many-plumed moths,moths
