 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,35.000,203.000
2,0,15,15,15,202.500,187.500
3,0,1,1,1,245.500,144.500
4,0,9,9,9,261.500,193.500
5,0,15,15,15,515.500,209.500
6,0,7,7,7,604.500,182.500
7,0,15,15,15,544.500,236.500
8,0,9,9,9,504.500,224.500
9,0,15,15,15,334.500,228.500
10,0,9,9,9,304.500,231.500
11,0,15,15,15,168.500,234.500
12,0,2,2,2,135.500,230.500
13,0,10,10,10,75.500,222.500
14,0,15,15,15,64.500,220.500
15,0,0,0,0,35.000,203.000
16,0,15,15,15,202.500,187.500
17,0,1,1,1,245.500,144.500
18,0,9,9,9,261.500,193.500
19,0,15,15,15,515.500,209.500
20,0,7,7,7,604.500,182.500
21,0,15,15,15,544.500,236.500
22,0,9,9,9,504.500,224.500
23,0,15,15,15,334.500,228.500
24,0,9,9,9,304.500,231.500
25,0,15,15,15,168.500,234.500
26,0,2,2,2,135.500,230.500
27,0,10,10,10,75.500,222.500
28,0,15,15,15,64.500,220.500
