 ,Area,Mean,Min,Max,X,Y
1,0,7,7,7,46.000,220.000
2,0,3,3,3,344.500,194.500
3,0,0,0,0,387.500,173.500
4,0,2,2,2,389.500,200.500
5,0,2,2,2,431.500,203.500
6,0,7,7,7,598.500,186.500
7,0,15,15,15,473.500,250.500
8,0,10,10,10,435.500,231.500
9,0,2,2,2,315.500,233.500
10,0,10,10,10,293.500,243.500
11,0,9,9,9,180.500,240.500
12,0,9,9,9,141.500,237.500
13,0,6,6,6,86.500,232.500
14,0,12,12,12,69.500,233.500
15,0,7,7,7,46.000,220.000
16,0,3,3,3,344.500,194.500
17,0,0,0,0,387.500,173.500
18,0,2,2,2,389.500,200.500
19,0,2,2,2,431.500,203.500
20,0,7,7,7,598.500,186.500
21,0,15,15,15,473.500,250.500
22,0,10,10,10,435.500,231.500
23,0,2,2,2,315.500,233.500
24,0,10,10,10,293.500,243.500
25,0,9,9,9,180.500,240.500
26,0,9,9,9,141.500,237.500
27,0,6,6,6,86.500,232.500
28,0,12,12,12,69.500,233.500
