 ,Area,Mean,Min,Max,X,Y,Ch
1,0,8,8,8,47.665,169.727,1
2,0,8,8,8,306.964,143.335,1
3,0,248,248,248,351.830,131.459,1
4,0,16,16,16,347.871,145.974,1
5,0,168,168,168,454.098,156.531,1
6,0,8,8,8,601.892,149.933,1
7,0,8,8,8,475.871,201.397,1
8,0,8,8,8,436.943,182.923,1
9,0,96,96,96,314.881,191.500,1
10,0,128,128,128,256.160,194.799,1
11,0,184,184,184,219.211,191.500,1
12,0,8,8,8,164.448,180.943,1
13,0,144,144,144,115.624,173.686,1
14,0,8,8,8,103.747,176.985,1
15,0,8,8,8,47.665,169.727,1
16,0,8,8,8,306.964,143.335,1
17,0,248,248,248,351.830,131.459,1
18,0,16,16,16,347.871,145.974,1
19,0,168,168,168,454.098,156.531,1
20,0,8,8,8,601.892,149.933,1
21,0,8,8,8,475.871,201.397,1
22,0,8,8,8,436.943,182.923,1
23,0,96,96,96,314.881,191.500,1
24,0,128,128,128,256.160,194.799,1
25,0,184,184,184,219.211,191.500,1
26,0,8,8,8,164.448,180.943,1
27,0,144,144,144,115.624,173.686,1
28,0,8,8,8,103.747,176.985,1
