 ,Area,Mean,Min,Max,X,Y,Ch
1,0,32,32,32,39.088,160.490,1
2,0,40,40,40,275.954,132.119,1
3,0,72,72,72,326.758,96.490,1
4,0,208,208,208,336.655,135.418,1
5,0,32,32,32,485.108,143.335,1
6,0,32,32,32,589.356,144.655,1
7,0,48,48,48,500.943,178.304,1
8,0,64,64,64,473.892,165.768,1
9,0,32,32,32,300.366,174.345,1
10,0,144,144,144,256.820,176.985,1
11,0,232,232,232,175.665,170.387,1
12,0,112,112,112,128.160,173.026,1
13,0,96,96,96,62.180,167.088,1
14,0,40,40,40,49.644,165.768,1
15,0,32,32,32,39.088,160.490,1
16,0,40,40,40,275.954,132.119,1
17,0,72,72,72,326.758,96.490,1
18,0,208,208,208,336.655,135.418,1
19,0,32,32,32,485.108,143.335,1
20,0,32,32,32,589.356,144.655,1
21,0,48,48,48,500.943,178.304,1
22,0,64,64,64,473.892,165.768,1
23,0,32,32,32,300.366,174.345,1
24,0,144,144,144,256.820,176.985,1
25,0,232,232,232,175.665,170.387,1
26,0,112,112,112,128.160,173.026,1
27,0,96,96,96,62.180,167.088,1
28,0,40,40,40,49.644,165.768,1
