 ,Area,Mean,Min,Max,X,Y
1,0,4,4,4,50.000,207.000
2,0,14,14,14,229.500,173.500
3,0,5,5,5,277.500,146.500
4,0,15,15,15,297.500,174.500
5,0,8,8,8,496.500,196.500
6,0,9,9,9,598.500,155.500
7,0,0,0,0,541.500,235.500
8,0,15,15,15,497.500,217.500
9,0,5,5,5,370.500,217.500
10,0,3,3,3,338.500,224.500
11,0,14,14,14,190.500,223.500
12,0,8,8,8,158.500,226.500
13,0,11,11,11,109.500,216.500
14,0,2,2,2,94.500,219.500
15,0,4,4,4,50.000,207.000
16,0,14,14,14,229.500,173.500
17,0,5,5,5,277.500,146.500
18,0,15,15,15,297.500,174.500
19,0,8,8,8,496.500,196.500
20,0,9,9,9,598.500,155.500
21,0,0,0,0,541.500,235.500
22,0,15,15,15,497.500,217.500
23,0,5,5,5,370.500,217.500
24,0,3,3,3,338.500,224.500
25,0,14,14,14,190.500,223.500
26,0,8,8,8,158.500,226.500
27,0,11,11,11,109.500,216.500
28,0,2,2,2,94.500,219.500
